lhs,rhs
169,60
25,32
1002,142
159,0
16,98
817,62
355,21
111,126
1319,157
74,44
1657,29
43,81
68,51
518,46
498,62
34,126
1,103
347,102
1461,26
1064,13
240,22
35,1
291,2
753,2
205,59
1047,105
30,93
12,62
472,12
524,28
266,53
1042,127
113,107
0,92
1361,154
1260,15
865,98
410,6
1723,7
588,141
5,126
43,1
1091,21
122,105
1015,16
1657,56
1139,109
41,141
1660,136
719,6
1359,104
1,44
1069,13
3,89
964,62
19,60
255,125
588,97
27,1
779,95
492,124
18,0
1268,23
4,78
101,1
166,32
940,29
1148,8
76,49
441,2
1020,83
604,133
1644,157
1242,15
636,9
14,11
341,111
47,43
197,154
1120,23
15,40
1721,4
7,110
1573,47
0,69
1497,83
335,14
1104,4
798,97
82,108
691,79
8,82
201,84
373,141
2,61
8,104
320,88
1069,69
146,132
1057,133
1063,1
251,33
1503,22
1016,94
109,37
75,137
1674,86
5,38
1605,75
1046,156
10,104
1168,45
1638,2
29,104
76,79
577,119
230,149
1429,69
147,35
1544,110
276,9
7,0
744,129
1568,68
199,157
903,22
593,123
1509,1
811,16
1280,100
121,3
25,30
1056,45
50,25
1071,1
697,98
2,49
0,134
1703,128
279,40
264,34
209,95
162,95
4,44
216,22
23,58
811,46
831,4
552,129
631,82
1656,65
0,51
40,11
419,18
126,143
504,90
27,16
3,12
30,103
867,113
17,7
98,60
1185,14
1213,112
442,107
363,151
1301,94
0,24
1147,14
1456,30
1719,21
113,95
1,89
1410,138
2,146
1178,35
1513,84
28,113
24,104
25,19
208,98
499,68
80,125
1449,52
31,145
464,60
888,107
1643,86
42,110
161,135
46,117
1031,72
1275,103
1154,16
207,126
1028,20
1025,124
968,19
377,160
0,18
298,99
73,56
489,13
1244,54
1,19
1373,6
2,165
956,36
2,17
1727,6
31,85
147,56
705,123
184,55
1111,1
108,47
89,3
14,82
825,118
121,106
163,72
27,149
7,52
1114,20
161,43
57,31
1156,74
612,124
257,29
539,124
680,100
772,124
144,11
43,49
24,120
109,122
0,24
91,76
1154,38
1240,38
27,126
705,144
264,25
258,5
273,121
1595,111
20,54
1147,105
374,106
265,115
534,127
793,34
707,95
157,30
534,4
715,28
2,31
51,119
58,2
295,67
769,74
102,156
1131,76
37,46
1501,31
1567,103
41,49
242,139
828,131
1292,23
724,53
634,82
1528,53
569,119
422,11
729,57
38,156
36,95
1069,9
69,55
286,35
1499,10
65,61
0,144
976,118
331,97
408,26
1228,87
173,136
304,0
261,82
1068,112
0,78
486,142
1231,135
9,30
105,15
478,10
1019,99
14,35
135,3
319,120
105,48
11,18
27,62
443,89
663,133
898,0
188,73
0,18
61,105
0,62
136,116
504,28
1261,162
132,0
58,64
234,38
1391,17
1732,118
100,39
429,122
126,90
879,8
5,41
274,11
23,62
1582,136
1617,23
1441,116
1744,156
1130,83
219,20
129,61
212,102
414,11
36,12
19,118
1553,7
58,36
3,116
164,12
1286,130
999,104
14,81
0,4
266,37
959,159
43,116
1557,38
7,67
159,100
1686,56
1608,21
308,39
126,46
1658,0
774,33
401,32
564,81
124,145
356,91
90,20
648,131
733,82
639,7
1086,133
1456,148
1496,92
83,47
322,14
879,117
1432,84
77,162
955,161
875,10
1673,0
1679,58
528,121
9,127
789,9
3,137
1178,88
322,110
1605,59
896,2
1,127
964,38
582,87
1632,75
877,108
0,91
106,95
813,148
0,35
625,121
372,155
92,9
746,81
31,20
187,85
5,10
932,0
11,14
679,89
865,3
788,102
1,135
624,35
749,39
1285,116
585,64
0,18
869,34
270,157
586,8
1327,115
220,26
18,55
926,73
638,147
27,141
299,31
106,14
1261,62
1386,54
67,17
143,16
18,94
81,55
764,62
1474,106
1198,102
467,105
630,1
136,1
440,54
16,105
228,118
0,90
452,157
1182,48
269,118
0,82
23,131
327,97
45,90
59,8
54,35
1555,31
619,41
858,75
807,14
385,15
62,2
159,94
149,2
847,15
405,53
23,83
13,124
962,31
141,69
1000,86
877,43
10,143
217,51
233,163
877,0
556,67
167,114
223,130
746,39
478,143
1194,71
654,33
1261,34
169,129
113,67
32,88
822,34
915,10
108,128
1280,42
55,26
9,9
979,101
117,38
0,76
74,81
607,1
817,2
892,135
1169,140
282,46
1282,153
73,18
671,49
200,146
249,110
1646,47
104,68
436,37
1069,164
655,28
2,19
528,134
838,48
597,153
36,127
964,149
906,4
174,97
3,31
1204,8
15,81
171,103
1223,28
1048,153
1295,81
755,111
199,42
837,2
190,147
1302,96
31,58
420,134
774,32
57,83
887,58
110,52
8,12
2,5
49,152
904,0
17,13
26,1
3,69
202,146
347,54
1417,17
1542,21
512,94
563,103
251,69
1154,57
138,94
119,35
121,111
94,6
1,65
211,162
539,36
1086,71
192,131
1372,24
1311,5
1727,56
11,138
561,19
1163,154
313,95
2,109
159,70
86,163
436,139
843,32
0,111
626,115
9,35
518,140
1222,41
641,118
923,143
614,54
193,20
559,83
1367,129
1072,44
1232,0
974,13
895,34
0,17
3,13
607,128
194,27
1388,12
1153,160
696,94
82,0
38,22
222,44
923,5
368,14
237,17
90,128
1009,143
135,22
4,141
1391,37
135,129
18,63
113,61
1566,99
1469,25
1325,145
755,92
1290,97
140,122
467,125
1512,58
26,106
0,110
1460,77
1588,71
1370,105
4,6
85,34
1477,56
7,145
681,60
670,156
161,109
24,166
13,162
1,0
232,115
58,63
312,60
1202,127
1194,53
581,158
92,12
589,157
1330,46
660,14
17,8
504,117
2,56
1085,105
0,8
133,44
64,88
1491,5
16,32
595,36
476,97
709,38
1558,23
99,0
1222,97
6,19
5,20
612,9
36,37
518,104
0,101
456,72
17,76
840,87
1000,54
460,31
1691,144
64,115
386,100
268,12
0,56
1506,0
1613,59
1421,18
1515,75
205,44
430,161
940,51
1,150
93,6
145,2
491,14
1178,8
162,44
28,5
477,151
270,53
846,104
482,87
204,1
1439,37
881,91
148,69
626,111
176,20
574,41
47,72
5,69
904,22
208,42
375,20
84,121
315,91
236,81
12,55
436,39
949,48
730,27
255,79
608,158
229,71
493,28
494,76
738,68
1025,129
998,158
1404,72
664,32
1106,53
12,166
229,148
1200,0
63,56
63,18
596,144
350,0
1642,45
238,1
229,93
1153,105
128,35
27,1
5,103
1452,22
131,145
30,71
1223,108
1,8
18,47
48,57
5,0
345,101
181,0
1043,89
653,14
1,37
1467,105
53,5
464,88
220,10
62,8
802,43
1037,46
123,22
284,94
45,70
1308,145
1330,159
960,104
427,165
34,115
228,68
166,85
1652,32
1051,133
1447,4
137,153
342,78
184,3
383,55
1043,100
8,6
392,139
499,84
185,64
802,81
386,28
218,95
148,104
1436,35
23,74
1474,147
32,27
6,132
2,53
643,100
14,23
885,50
0,65
15,28
605,132
49,107
1398,42
63,123
647,32
741,56
1451,147
101,137
2,98
959,61
1572,38
1015,6
438,56
178,17
575,153
310,121
629,5
462,69
1423,94
39,111
44,37
0,29
396,133
137,40
368,144
1099,66
473,64
782,4
189,103
1022,107
1678,7
90,50
577,85
455,49
1412,122
80,92
43,97
659,109
1043,34
25,97
31,22
771,110
519,9
988,44
796,50
35,130
874,14
12,67
12,94
410,137
721,94
0,50
328,16
1325,36
262,98
23,56
694,157
109,148
1480,130
30,18
11,4
179,30
873,0
69,59
235,49
1584,13
32,24
22,30
141,14
481,60
883,100
272,131
63,159
1072,53
190,136
1094,162
1446,97
1240,155
1,123
108,120
51,112
304,141
1617,21
1177,4
0,58
26,2
252,37
255,115
755,91
286,99
1576,58
37,6
159,133
435,28
1318,25
246,34
360,53
1448,5
32,119
2,105
3,147
77,100
222,40
224,102
37,37
922,1
841,20
5,1
9,66
25,138
557,56
875,103
339,94
345,135
229,106
4,59
666,93
117,27
31,30
598,75
617,85
10,10
0,6
1128,129
22,88
676,51
630,82
7,7
1077,22
392,38
806,44
836,20
1,137
1239,138
22,10
158,124
260,157
11,83
680,21
24,1
174,112
0,12
217,28
209,58
5,74
969,23
223,52
31,104
142,35
454,110
0,132
1357,32
317,9
1534,165
1038,94
128,14
43,4
282,115
323,10
986,51
1445,162
1320,95
747,73
807,4
2,21
1107,4
437,5
117,163
1423,101
549,4
497,36
9,24
584,51
1291,116
770,7
124,0
171,5
1307,24
124,2
1315,135
579,38
1422,59
760,67
361,151
955,23
824,18
71,4
725,133
1721,31
73,102
836,13
1295,41
562,2
179,89
26,54
44,145
664,20
1145,0
881,3
75,97
36,22
49,95
908,164
3,81
1077,5
79,122
351,34
18,30
61,98
407,161
1,89
1398,101
525,52
1100,34
1436,43
11,26
849,31
47,33
796,68
1529,104
369,154
82,5
1320,68
551,114
1735,72
1006,34
431,67
201,63
750,160
0,65
953,34
1366,7
238,0
1271,141
37,0
128,8
1307,17
131,125
0,67
183,12
1,24
1543,107
200,39
519,105
345,7
165,69
527,80
522,155
134,98
12,55
128,161
1204,21
7,139
312,59
105,135
476,21
12,37
1221,126
76,11
315,151
69,0
745,117
8,32
1442,32
155,63
1357,73
651,4
146,21
325,41
352,20
5,23
761,55
768,92
1459,24
1546,5
640,102
148,87
565,151
416,40
741,14
1065,39
501,27
1501,41
519,41
1480,128
1594,15
1459,75
64,5
115,123
277,60
509,36
758,55
1657,1
543,90
223,61
62,160
65,2
1532,64
290,16
893,3
13,51
1540,72
104,112
1488,147
44,141
19,149
1397,7
415,148
257,66
184,83
1657,25
858,101
1475,100
384,59
47,33
86,17
1454,81
113,160
11,75
183,1
51,31
1398,48
514,105
909,59
17,51
399,70
7,139
498,90
482,115
1487,1
1580,78
143,6
993,95
158,25
233,113
1593,50
835,111
866,4
6,45
64,47
1450,134
537,39
6,33
446,131
146,63
1092,54
225,118
501,23
23,18
89,102
1246,145
149,34
118,2
1145,163
1095,127
213,120
611,126
1118,50
1188,34
165,7
492,114
1519,69
16,2
374,149
67,29
144,92
430,120
448,85
203,138
1096,31
2,17
443,1
324,48
1619,113
13,105
755,5
26,1
701,37
15,69
22,149
563,97
219,23
14,20
501,83
172,23
417,64
62,119
19,0
8,44
439,100
814,151
38,134
148,47
8,2
102,73
528,9
78,46
0,25
1177,48
1,43
1297,1
1520,10
40,37
1138,76
98,152
273,88
209,7
592,133
43,115
455,6
567,122
37,85
69,53
1447,85
1020,82
71,38
15,63
1018,109
733,114
1458,1
354,138
37,0
51,121
1589,31
133,120
762,60
12,65
328,110
1254,111
1614,47
1187,76
486,84
538,166
642,3
13,2
632,27
1285,119
468,129
1,157
15,45
219,8
547,13
151,124
51,63
1,97
368,26
57,113
392,49
1293,2
1291,144
141,9
612,103
319,14
218,133
11,160
119,151
518,47
684,0
1480,66
21,11
902,137
236,69
643,52
56,26
179,118
818,4
11,5
936,39
39,88
303,8
777,58
77,37
128,29
672,52
193,28
30,100
1607,72
93,21
865,85
936,70
20,155
779,4
53,85
11,133
684,5
391,106
1211,41
96,21
84,42
144,32
182,65
105,163
441,148
988,85
657,82
664,14
218,28
660,35
82,147
16,27
115,94
1166,41
55,134
1417,7
39,143
438,71
1539,2
66,59
8,100
296,27
335,125
574,74
27,109
428,86
209,130
149,88
40,36
1597,94
133,86
371,102
246,86
351,0
5,33
1484,33
40,150
1675,143
435,81
329,110
625,140
786,156
33,48
798,0
958,9
52,24
1202,65
541,130
755,154
1482,8
291,12
1211,52
103,38
0,45
1238,71
178,13
18,20
498,17
1348,49
168,150
838,145
310,163
953,113
63,79
8,49
1,73
1296,63
398,102
601,34
192,128
491,150
155,28
408,7
539,140
1366,91
3,0
1396,6
27,24
51,14
147,73
148,74
549,135
83,83
137,106
215,80
94,84
1147,24
7,84
297,10
1631,4
1099,72
23,129
133,105
1680,0
234,100
619,38
330,96
976,21
791,18
116,45
0,113
452,161
0,57
97,71
801,142
111,58
680,8
473,49
654,25
22,127
568,8
37,103
517,26
177,156
529,94
1264,57
1100,8
25,25
309,72
12,46
25,51
1356,37
1086,109
168,26
0,141
279,9
1417,59
1514,138
60,51
736,75
1410,7
1669,144
1,92
54,49
227,31
1102,13
127,28
103,3
1596,96
34,23
118,110
1174,54
766,51
1462,159
180,67
726,160
580,26
45,16
143,9
101,39
182,121
1386,112
841,59
989,4
1385,39
35,119
621,1
1022,45
948,140
2,165
1081,34
210,44
1153,75
936,42
48,6
374,83
793,85
11,25
439,131
1349,145
356,29
30,70
5,8
677,100
1086,162
1720,154
9,162
65,92
505,115
556,49
530,129
836,21
222,58
562,162
603,112
2,154
1328,28
264,77
160,88
1370,32
48,64
471,56
4,13
323,53
988,54
890,162
897,6
1533,144
760,99
437,73
0,76
446,112
77,107
12,33
613,9
264,13
6,39
892,71
557,101
1218,25
1399,79
137,86
23,11
75,115
1238,141
22,2
1158,8
1295,47
629,95
108,121
227,2
1514,14
37,20
66,20
939,157
403,164
897,81
18,83
0,151
1022,16
14,39
210,88
10,41
713,137
198,109
11,35
945,14
1156,26
4,116
1615,76
703,0
1496,14
30,116
766,110
234,48
51,80
6,106
1591,152
2,28
278,16
147,141
1276,1
199,112
470,18
201,24
6,35
58,75
0,12
153,3
139,0
122,54
1180,17
9,1
162,77
1192,70
395,131
1737,98
112,6
481,25
3,38
86,10
179,86
427,121
4,31
780,90
1653,3
6,24
60,82
198,9
10,50
13,37
180,86
88,89
2,127
91,2
1301,21
1157,24
191,50
642,5
1012,111
0,142
1114,67
308,96
825,163
0,80
100,143
147,155
206,65
212,112
241,135
0,46
1477,16
614,156
1224,15
567,82
33,62
274,92
194,107
635,11
197,135
1273,125
143,5
17,118
425,47
334,48
43,88
1056,62
2,7
792,51
52,86
542,27
891,19
1195,17
1164,24
342,77
32,131
1203,94
1234,105
101,60
1030,62
1192,114
1479,54
15,159
1432,134
116,2
840,108
135,155
1508,114
778,40
1294,57
991,159
444,32
448,140
23,53
208,73
1541,52
812,14
1091,55
4,43
1,7
43,31
1392,52
330,161
1018,108
65,5
