column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80
68,3,65,27,13,1,2,3,16,8,4,0,1,1,4,3,0,1,0,1,2,3,1,3,2,0,3,3,0,2,4,3,1,4,1,3,4,4,4,1,4,0,0,1,0,3,0,2,1,1,1,2,0,1,4,2,1,4,3,0,3,4,2,1,0,4,4,4,0,4,3,1,3,4,0,2,3,3,1,1
82,4,47,12,17,2,1,3,7,4,2,2,0,1,1,2,0,1,0,0,2,1,0,3,2,1,2,2,0,1,0,2,4,4,2,1,3,1,2,3,0,0,4,2,0,4,3,0,0,0,4,0,0,1,1,1,2,2,3,2,1,0,2,0,1,3,2,2,1,4,2,3,3,4,0,1,1,3,0,0
92,0,96,37,14,0,0,0,12,4,3,0,4,1,0,0,4,2,2,1,2,0,4,1,4,1,1,1,2,4,2,0,1,4,4,4,4,0,2,0,2,0,0,0,1,2,1,2,0,3,0,1,0,1,0,4,0,1,4,4,1,4,1,1,2,2,1,2,2,4,2,4,2,0,0,4,2,1,4,1
26,4,85,38,13,0,0,1,19,3,2,0,4,0,4,3,4,0,4,3,1,0,4,1,2,0,3,0,2,3,3,2,0,1,3,1,4,2,2,4,4,0,0,0,3,4,2,4,4,0,3,4,0,2,3,4,2,4,0,0,2,0,1,0,2,0,1,0,1,4,3,0,3,0,0,4,1,1,3,1
16,1,5,36,13,4,2,2,19,3,1,3,2,5,2,1,0,2,1,2,0,1,0,3,2,0,3,2,1,2,4,3,4,1,0,0,4,3,3,2,4,0,1,0,4,2,0,4,4,0,1,3,1,4,4,3,0,2,1,1,3,3,0,1,1,0,1,1,0,2,0,4,0,2,4,4,1,0,0,0
18,0,88,50,7,0,1,2,12,1,3,2,0,3,0,0,0,4,2,1,2,1,0,3,4,1,1,2,0,1,0,0,0,1,2,0,2,1,1,3,1,1,0,1,0,1,0,4,3,0,4,0,0,1,2,0,0,2,4,4,1,4,3,3,1,2,1,1,2,3,2,0,1,4,4,1,4,2,0,4
41,3,28,16,19,0,3,2,11,0,1,2,4,4,0,0,2,2,4,1,2,0,0,0,0,4,3,4,4,4,3,3,1,0,1,3,2,3,0,1,2,4,0,2,0,2,1,2,1,3,2,4,1,3,4,0,0,1,0,2,1,0,0,0,1,0,0,4,0,2,2,2,0,2,1,2,3,2,3,1
0,0,82,23,15,4,1,2,22,3,3,1,2,4,0,0,0,2,1,4,3,1,1,1,2,0,1,3,1,2,4,1,4,2,4,4,4,1,1,2,3,1,1,3,3,2,1,3,1,1,1,0,2,1,0,0,1,1,1,4,4,0,3,1,3,1,0,0,0,0,0,3,2,1,2,1,3,4,4,0
19,3,98,98,7,4,1,3,18,6,3,3,3,1,1,2,2,1,1,2,0,1,1,1,3,2,0,1,4,3,3,3,3,3,0,4,4,0,0,1,4,3,3,3,3,3,0,0,0,0,1,0,1,0,0,0,4,0,2,0,4,3,2,0,3,3,0,1,3,4,4,0,0,2,2,1,3,1,3,3
35,0,45,56,17,3,2,0,4,5,1,3,2,5,1,2,1,2,4,0,4,4,4,4,4,1,1,0,3,1,0,2,4,4,4,4,3,1,2,3,0,4,0,2,1,3,0,1,1,0,4,1,0,1,2,0,0,3,3,1,3,0,2,0,0,3,4,1,0,0,2,0,0,4,3,2,3,1,0,4
27,2,52,68,8,0,2,0,3,9,3,0,1,2,2,1,0,2,1,3,1,3,4,1,3,2,0,4,2,1,0,3,1,0,1,3,3,2,4,2,0,2,0,3,4,0,2,1,2,2,3,3,2,4,4,3,2,4,4,3,3,2,3,2,2,0,0,0,1,2,2,3,4,0,2,1,4,3,4,0
92,3,26,80,3,2,3,2,2,8,1,0,0,1,1,1,2,2,4,0,4,1,0,3,4,1,0,2,3,4,2,4,1,0,4,4,3,4,0,2,1,0,2,0,4,3,1,0,0,3,4,0,0,0,3,0,4,3,3,2,1,0,2,3,0,0,0,0,4,2,0,4,4,1,3,1,1,4,1,3
96,1,92,41,4,0,0,2,18,2,3,3,2,2,0,0,4,4,1,3,1,3,1,1,1,3,3,2,1,4,2,1,1,0,3,1,4,1,2,2,2,3,1,0,0,3,4,2,0,0,0,1,3,2,0,0,2,0,4,0,2,0,3,2,1,1,0,1,0,0,0,1,0,4,4,2,4,2,1,4
17,4,18,93,5,0,1,2,23,2,2,2,1,2,1,2,0,2,1,3,1,0,3,2,0,4,0,2,3,0,1,3,2,1,2,2,3,4,0,0,1,4,2,4,2,4,0,2,2,2,2,2,4,0,4,0,4,4,1,4,4,3,2,2,0,3,1,1,2,4,3,3,4,2,4,1,4,1,4,3
34,4,81,74,3,4,2,1,10,8,3,0,2,3,2,1,1,4,0,2,0,1,3,2,3,2,0,3,4,2,4,1,1,1,4,4,0,2,1,1,4,3,0,0,0,0,2,0,4,0,1,3,1,4,2,2,0,2,2,2,0,2,2,1,1,2,1,4,3,2,2,2,3,1,3,0,4,1,1,1
93,1,53,84,8,0,2,1,19,3,0,2,3,3,2,1,4,1,0,2,0,1,3,2,2,0,1,2,0,4,2,3,0,0,2,2,4,2,2,1,2,0,3,3,0,0,0,0,3,0,1,2,0,1,0,4,2,1,1,0,1,2,0,1,0,0,0,1,1,2,2,0,3,1,3,1,4,3,0,0
57,0,70,4,5,1,0,2,5,2,3,1,2,5,4,3,2,0,2,0,4,3,1,3,3,2,1,2,0,3,2,3,2,1,4,4,3,4,0,2,2,0,2,1,4,1,0,0,2,0,0,1,1,0,3,0,0,3,3,1,1,0,1,3,2,2,1,1,3,1,1,0,0,2,1,0,4,2,1,3
89,3,98,98,6,4,0,1,9,0,0,1,4,2,4,3,3,2,3,1,0,4,1,0,0,4,3,0,2,3,3,3,3,3,1,3,3,2,4,4,2,1,1,4,1,1,2,0,2,0,0,4,2,0,3,2,4,2,3,0,0,1,1,4,0,0,3,4,1,2,3,4,2,2,4,1,4,0,1,3
18,0,52,0,8,0,2,1,5,2,2,0,3,2,1,2,1,4,3,2,0,1,3,2,3,2,4,0,4,4,2,3,1,0,0,1,4,0,2,0,0,1,1,0,0,2,0,1,2,2,1,4,1,2,3,0,0,2,1,2,3,1,2,0,0,0,0,4,1,2,1,1,1,2,3,2,1,2,1,4
24,0,59,33,3,0,1,2,20,0,2,0,4,0,2,1,0,0,3,4,3,1,0,3,4,1,1,0,3,3,3,2,1,2,4,4,4,0,0,4,2,0,2,1,0,2,0,3,4,0,4,1,2,4,0,0,0,2,0,0,0,2,3,0,0,0,0,1,3,0,4,3,0,4,2,3,4,1,4,0
64,4,45,56,3,0,1,2,21,8,3,3,1,1,4,3,0,0,3,3,1,1,3,2,0,4,0,4,2,1,0,1,1,1,2,2,3,3,0,0,2,0,0,2,0,2,3,2,3,2,2,4,4,0,2,2,1,4,0,0,4,0,1,4,0,2,1,4,0,4,0,0,2,4,0,2,3,4,3,0
80,1,44,35,5,4,2,1,0,9,1,1,0,3,2,1,3,4,2,3,1,1,2,4,4,1,0,2,3,3,3,1,1,1,1,3,3,0,3,4,2,4,0,0,0,0,0,4,3,1,0,3,0,4,0,1,3,0,0,2,0,2,3,4,2,1,0,3,3,1,1,3,3,4,4,3,4,3,3,0
94,4,98,98,6,0,0,2,6,3,3,1,2,1,2,1,1,3,3,3,1,4,0,1,2,0,3,3,0,1,0,3,0,2,0,0,3,1,2,3,0,0,4,0,3,4,2,2,2,1,1,3,1,0,4,4,2,4,1,1,0,2,1,0,4,1,0,1,0,4,1,0,0,4,2,2,1,2,1,1
54,1,0,10,8,1,1,0,8,0,3,0,1,2,2,1,3,3,4,3,1,2,0,0,2,0,4,0,4,3,3,3,4,4,0,0,3,1,2,4,3,1,0,4,3,1,0,2,0,1,0,0,0,4,2,4,0,4,0,0,1,2,0,1,0,4,3,0,4,4,2,0,0,0,2,0,3,4,0,3
1,0,93,73,1,2,1,2,16,8,3,0,3,0,4,3,0,4,2,2,1,1,2,4,1,3,0,2,3,2,4,3,1,0,2,2,4,2,2,3,4,4,0,2,4,1,0,4,3,4,3,2,4,2,2,4,0,0,0,4,1,1,1,3,1,1,2,4,4,4,3,3,2,3,3,1,2,1,2,0
6,4,20,1,18,1,1,1,6,0,3,0,3,0,0,0,0,2,1,2,0,1,0,3,3,2,2,0,4,2,4,2,1,2,2,2,4,1,1,1,4,3,2,2,0,1,1,3,3,2,0,4,4,3,0,2,0,2,2,4,3,1,1,3,3,0,0,4,4,2,1,0,0,4,1,3,1,4,1,0
51,0,63,25,18,2,0,2,14,4,3,2,3,4,2,1,0,1,0,1,2,4,3,2,1,3,2,0,4,4,2,1,1,3,0,0,4,0,0,1,2,3,0,2,0,3,0,3,3,4,0,0,0,4,3,2,0,1,0,0,4,0,0,0,0,3,0,4,1,1,4,2,1,2,2,2,1,1,0,0
18,0,81,74,3,2,3,2,23,2,3,0,1,2,0,4,4,2,2,1,2,4,2,3,2,1,1,0,3,0,1,1,0,0,1,3,3,2,4,1,0,0,2,2,4,0,1,0,2,3,1,4,1,0,2,0,2,2,0,1,1,3,4,3,2,1,2,0,3,3,1,1,2,0,4,0,2,4,2,3
97,2,88,50,13,2,1,2,8,7,3,2,4,3,2,0,2,0,2,3,1,1,2,4,2,0,1,2,1,4,2,2,3,0,4,4,3,0,1,0,2,0,1,0,0,1,2,0,3,0,4,1,4,2,3,0,4,4,1,0,4,0,2,2,2,1,0,2,0,1,2,4,3,0,2,2,2,0,1,4
19,3,83,60,7,2,2,1,1,4,3,0,2,3,1,2,0,4,2,0,4,1,4,0,3,2,3,3,0,3,3,2,0,1,2,2,4,1,1,4,3,1,3,4,3,2,1,0,3,2,0,2,2,0,1,2,1,4,0,0,0,1,2,4,0,2,1,0,1,2,0,2,4,0,1,3,4,0,4,4
55,1,56,65,16,2,2,2,14,4,2,3,1,1,1,2,2,2,4,3,1,4,0,1,1,3,3,1,3,4,2,0,0,1,0,0,4,4,4,0,2,4,0,0,1,4,4,0,0,4,1,0,2,0,4,3,1,4,4,2,3,0,2,1,0,0,1,2,4,1,1,4,1,0,2,3,3,0,3,4
46,0,88,50,8,4,2,2,0,0,2,2,3,3,1,2,3,4,2,1,2,1,0,3,4,1,4,0,4,1,0,1,4,0,1,3,3,1,2,3,2,3,3,0,0,2,1,0,0,0,4,2,2,1,1,3,0,2,3,1,0,3,0,3,0,0,2,4,4,4,2,2,2,2,2,0,3,1,0,4
83,0,85,38,19,4,2,2,17,5,3,1,0,5,4,3,2,0,2,2,0,1,0,3,3,2,0,0,1,0,1,3,1,0,0,0,3,0,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,2,3,4,0,0,2,0,3,1,1,2,4,4,0,0,0,2,1,2,0,1,3,1,4,1,0,4
4,3,86,18,14,0,0,2,12,1,4,3,0,1,1,2,0,1,0,3,1,1,2,4,0,4,2,0,4,0,1,0,2,2,0,0,3,0,3,1,0,3,2,0,0,2,0,0,0,0,0,0,2,4,3,1,1,4,3,1,0,3,3,1,0,0,2,3,3,1,3,4,0,3,1,2,4,1,4,3
41,3,45,56,16,4,0,1,23,2,2,2,2,0,2,1,1,0,2,3,1,1,0,3,2,0,4,0,4,3,3,2,1,2,3,1,1,1,1,1,2,3,0,2,4,0,0,4,1,1,1,4,4,0,0,0,0,0,0,1,3,2,3,1,3,3,0,1,1,2,2,0,0,4,2,2,0,3,1,1
46,0,73,26,4,4,3,1,20,8,3,2,4,3,2,1,4,3,3,0,4,1,0,3,3,2,3,2,1,4,2,4,3,1,1,3,3,1,2,2,0,1,1,1,4,2,2,0,3,0,1,4,4,1,2,4,0,4,3,1,1,0,0,4,4,2,1,4,4,4,4,2,2,4,3,3,4,4,4,2
20,2,92,41,3,4,1,2,19,3,4,3,3,1,0,0,3,2,3,1,2,0,4,3,0,4,4,4,1,2,4,1,1,1,1,0,4,1,2,2,4,1,4,0,4,3,2,1,2,1,0,3,0,2,1,0,2,0,0,3,0,0,3,4,4,2,0,0,0,4,2,2,1,2,4,2,4,4,1,1
17,4,15,32,8,0,2,2,17,5,3,0,0,4,1,2,2,4,1,3,1,1,0,3,1,3,0,4,2,4,2,3,1,0,1,3,3,1,2,2,0,2,1,0,4,1,0,3,3,4,3,2,0,2,0,4,1,4,0,2,3,0,2,0,3,0,2,0,2,4,2,0,2,0,3,1,1,0,4,0
10,0,66,94,7,0,1,1,2,8,3,0,1,3,4,3,3,2,0,3,1,4,3,2,3,2,1,4,4,4,2,1,0,0,2,2,3,1,0,2,2,1,1,0,4,4,1,0,3,2,1,2,4,0,2,2,4,4,1,3,0,0,1,1,1,0,0,2,4,3,0,0,3,0,1,1,4,3,2,1
47,1,76,76,9,3,3,0,2,7,1,0,2,2,2,1,3,2,3,3,1,2,0,0,0,4,0,3,0,4,2,3,1,0,3,1,3,2,4,0,0,0,0,0,1,1,0,2,2,0,2,4,3,0,0,3,1,4,0,1,1,2,0,3,0,4,0,2,4,1,1,4,3,4,2,1,4,4,1,4
48,3,96,37,17,0,2,1,17,4,2,0,0,0,4,1,4,0,4,2,0,0,0,4,0,4,4,3,4,4,2,0,4,0,3,1,3,1,2,0,2,3,3,0,1,3,0,4,2,2,2,2,3,3,0,4,2,0,3,0,1,0,0,1,1,0,2,0,1,4,2,0,3,2,2,3,3,1,2,3
64,4,88,50,7,0,1,2,22,3,4,3,2,0,2,1,4,1,0,4,2,1,4,0,1,3,0,1,4,4,2,1,0,0,0,0,3,4,0,0,0,3,0,1,1,1,0,4,4,0,3,3,0,3,1,2,0,0,0,0,4,0,2,1,2,4,2,1,1,4,1,0,2,4,3,4,1,2,4,0
10,0,89,2,8,1,0,2,23,2,3,0,1,2,0,0,2,0,2,4,3,2,4,4,4,1,1,4,4,2,1,1,2,0,1,3,4,1,1,2,1,1,0,0,1,2,0,2,2,0,4,4,1,1,0,2,1,2,0,1,0,0,3,2,2,1,0,1,1,1,4,1,3,2,3,3,4,2,4,0
7,2,36,99,15,3,2,2,17,5,2,1,4,5,4,3,4,1,0,3,1,1,3,2,3,2,1,4,4,4,4,1,4,2,4,4,2,4,2,2,3,1,0,0,2,0,0,1,1,2,0,1,1,0,4,2,2,0,2,2,3,1,1,0,2,1,4,3,2,0,0,0,0,4,3,4,4,0,3,1
41,3,26,80,6,2,3,2,19,3,0,0,1,2,2,1,3,0,1,0,4,1,2,4,4,1,3,0,2,2,4,0,4,0,1,3,3,0,3,2,4,2,0,0,3,3,0,1,2,0,4,3,2,3,3,0,3,3,0,1,1,0,0,0,3,3,2,0,4,1,0,3,3,0,0,1,4,2,1,3
98,3,99,0,5,4,2,1,13,7,3,2,2,0,2,1,1,1,1,2,0,1,4,0,3,2,4,1,0,3,3,3,4,4,1,0,4,1,1,1,2,2,0,0,1,3,1,3,2,4,0,3,0,1,4,2,0,1,2,2,3,1,0,2,1,4,1,4,1,2,0,2,4,2,3,3,3,1,3,3
29,3,47,12,17,4,3,2,23,2,2,3,2,5,0,4,2,2,4,3,1,1,2,4,0,4,1,2,0,0,0,3,1,0,2,2,3,1,2,0,3,0,3,0,2,3,1,1,1,0,2,2,0,1,1,0,2,4,3,0,1,1,4,0,2,0,0,1,3,2,2,0,0,2,3,1,4,2,3,0
84,1,87,42,19,2,1,2,11,0,2,0,0,0,0,0,0,2,1,2,0,1,0,3,2,0,4,4,1,4,0,2,3,0,1,3,3,3,1,3,1,2,0,1,4,2,3,4,2,1,3,0,4,1,4,0,0,0,1,3,0,4,1,0,3,3,2,4,1,4,4,2,4,2,0,0,3,4,2,4
37,4,66,94,3,1,0,1,11,1,2,2,0,5,2,1,3,4,2,3,0,4,2,3,2,0,1,2,0,4,2,1,1,1,2,0,4,3,3,2,0,2,2,1,0,0,2,0,0,1,1,3,1,4,4,1,3,2,2,1,0,0,0,3,0,2,1,1,2,0,1,1,1,1,0,0,2,0,0,0
10,0,29,62,3,2,3,2,17,5,3,2,3,4,4,3,1,2,4,3,1,0,1,3,1,3,1,0,3,4,2,3,1,0,2,2,4,0,2,0,2,4,2,0,0,2,1,3,3,0,1,2,0,0,0,3,2,0,0,1,1,4,2,1,1,1,2,1,0,0,3,2,3,3,0,2,3,4,1,3
31,3,45,1,0,4,0,1,18,9,3,0,0,4,2,1,2,2,4,3,1,1,3,2,4,0,0,0,4,1,0,4,4,0,4,0,1,0,1,3,2,3,3,0,2,3,4,0,1,1,1,0,0,0,1,2,0,0,0,0,0,1,3,1,1,0,2,3,3,2,3,0,0,2,1,2,3,1,2,0
77,4,13,85,8,2,0,1,16,0,0,3,1,1,4,3,4,4,1,0,4,0,4,0,1,3,0,3,0,4,2,0,1,4,3,2,0,4,3,3,2,0,4,4,0,3,3,2,0,4,0,2,0,1,2,1,0,3,1,0,1,0,2,0,0,4,4,4,4,2,4,2,4,3,4,2,4,0,2,0
49,4,84,59,17,3,2,0,14,0,4,3,4,3,4,3,4,1,0,3,1,0,4,1,1,3,0,2,3,1,0,0,3,0,4,4,3,1,2,2,1,4,0,0,1,2,3,4,4,0,0,1,1,0,0,4,1,0,0,1,1,1,1,0,0,2,2,4,4,1,0,2,4,0,0,0,1,1,3,3
95,4,36,99,1,2,1,1,24,5,1,0,1,0,2,1,4,2,2,1,2,1,0,4,4,0,1,0,3,2,4,1,4,2,1,3,3,2,4,2,1,0,3,2,0,4,4,0,3,1,1,1,2,2,0,3,0,2,4,4,4,2,3,3,2,1,4,0,3,2,2,0,0,0,4,3,2,3,3,4
12,3,63,0,10,3,2,2,0,0,3,0,2,3,0,0,0,0,3,3,1,1,4,0,3,2,0,1,4,3,3,1,1,1,4,4,3,2,4,0,3,3,0,0,1,1,0,4,3,0,1,0,2,1,4,3,0,4,0,1,0,0,3,4,0,2,1,4,1,3,2,2,0,4,3,1,1,1,4,0
17,4,5,36,5,3,1,2,23,2,4,0,1,3,4,3,3,2,3,4,3,4,1,0,3,2,0,2,0,3,3,0,3,3,4,4,4,2,2,4,3,1,4,4,3,4,3,4,3,2,0,1,0,0,4,0,2,0,0,4,0,0,2,0,4,3,1,1,3,4,2,1,3,1,1,1,4,2,1,1
42,0,99,0,14,0,0,2,19,3,2,0,1,4,1,2,3,2,3,3,2,2,0,0,1,3,4,3,2,2,4,3,0,2,2,2,3,0,3,2,4,2,4,4,0,2,1,1,1,4,3,0,4,2,4,0,3,3,4,1,2,1,2,0,0,0,4,1,0,1,1,2,1,0,2,2,1,2,2,0
19,3,47,12,15,0,2,1,17,4,0,1,1,3,2,0,2,2,4,4,3,1,3,3,4,1,3,0,2,3,3,3,2,1,3,1,3,4,0,4,3,0,0,2,4,3,0,0,4,0,4,4,2,0,2,0,4,0,1,0,3,4,4,0,0,0,1,2,1,2,0,1,2,2,2,1,2,3,0,0
33,2,5,36,9,4,0,2,19,3,3,3,1,5,1,1,1,4,3,2,0,3,4,1,4,1,0,3,0,2,4,3,2,1,4,4,0,1,2,2,4,1,4,3,3,1,2,1,0,0,1,1,2,4,4,0,1,2,2,0,0,2,3,0,4,0,1,0,1,2,2,0,1,1,1,2,3,1,1,0
67,2,65,27,19,0,1,2,11,0,3,0,2,0,2,1,4,1,0,2,0,1,4,1,0,4,1,2,0,1,0,3,4,4,4,4,3,1,2,3,1,0,4,0,1,0,2,3,3,2,2,0,1,2,1,4,0,0,2,4,0,2,0,0,3,3,3,4,4,2,2,3,4,4,3,1,3,0,4,0
67,1,65,27,9,4,0,0,2,7,2,3,0,0,4,3,2,1,3,0,4,2,0,0,4,1,2,4,3,2,4,1,4,0,0,0,3,1,1,2,4,4,2,4,1,1,4,0,2,3,3,3,1,1,1,0,0,3,2,3,2,1,1,0,4,1,2,4,0,4,0,2,1,2,3,3,3,2,4,4
54,1,91,63,4,0,0,1,3,2,3,0,1,2,0,4,3,2,3,2,0,0,0,0,4,1,3,1,4,4,2,3,3,3,1,3,4,4,4,0,0,1,1,4,1,4,4,1,2,3,3,4,2,4,2,0,2,0,3,1,4,4,2,4,4,3,3,1,3,4,4,0,4,0,3,2,3,4,4,4
26,4,86,18,13,2,1,2,21,8,1,2,2,0,2,1,4,2,2,0,4,1,1,1,3,2,4,2,3,0,1,1,0,4,1,0,3,3,1,1,1,0,2,3,0,1,0,3,4,2,1,0,2,2,1,2,1,3,1,0,4,2,3,1,0,4,3,0,0,2,1,0,4,2,2,4,4,4,2,0
73,2,37,40,9,0,0,0,16,8,3,3,4,0,4,3,0,3,0,2,0,2,4,4,2,0,0,0,1,2,0,1,4,0,4,4,0,3,4,3,3,2,0,0,1,0,2,0,3,0,1,1,0,3,4,0,0,0,2,0,1,1,2,0,4,0,2,0,0,1,1,2,2,2,3,1,0,4,1,1
75,0,64,70,11,1,3,2,12,1,2,3,2,5,2,1,0,4,2,3,1,3,4,1,1,1,4,0,4,3,3,3,3,3,0,0,0,1,2,1,3,0,1,0,1,2,1,1,1,0,3,0,0,0,2,2,0,4,0,4,0,2,0,1,1,3,2,0,2,2,4,0,4,0,2,2,1,3,4,1
71,1,87,42,12,1,0,3,3,4,0,2,4,0,0,4,0,2,1,2,3,0,1,3,0,4,4,1,0,1,0,4,2,4,2,2,3,1,2,0,0,0,3,1,4,1,0,4,3,2,2,2,0,1,4,4,2,1,1,0,1,3,0,2,0,2,3,2,0,1,2,2,0,2,2,2,3,1,1,0
