column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70
93,1,98,66,10,2,2,0,9,2,2,0,1,4,4,1,4,3,0,0,2,3,2,3,3,4,3,2,2,4,3,4,0,4,2,3,3,0,1,1,1,1,1,0,1,0,0,1,0,2,4,1,0,1,1,0,0,1,0,1,2,3,4,1,1,1,1,1,0,4
18,3,8,12,18,2,0,2,1,1,0,1,2,0,3,3,0,3,3,1,0,2,0,0,1,2,2,2,3,4,3,0,0,0,1,4,1,3,1,2,4,1,0,4,4,1,2,0,2,1,4,4,4,0,4,4,2,4,4,0,1,1,1,3,1,4,1,2,0,0
7,2,77,99,9,2,3,1,2,6,1,1,2,4,3,3,1,3,2,1,0,3,3,1,4,3,0,4,0,1,4,1,0,4,1,3,1,1,0,2,0,4,3,0,3,1,0,0,0,0,4,1,4,3,0,4,2,1,2,1,1,0,4,4,4,4,4,3,2,4
69,0,97,97,4,3,0,1,17,7,0,0,1,2,4,1,4,0,2,0,2,4,2,2,2,4,0,3,3,3,2,1,2,0,0,1,0,0,1,1,0,0,1,0,3,1,4,4,4,2,0,0,1,1,0,3,0,2,0,0,1,2,1,3,0,4,3,2,0,2
50,1,43,64,0,3,3,3,7,1,2,1,4,5,3,3,3,1,3,3,3,4,0,3,4,3,1,3,2,1,4,3,1,4,4,0,1,0,0,1,0,4,3,3,1,3,0,1,0,0,2,3,0,0,1,1,0,1,4,4,2,2,3,3,1,0,3,0,4,3
93,3,65,65,0,1,1,3,6,9,4,0,2,5,3,3,0,3,3,0,0,4,0,0,3,4,1,3,2,0,0,0,2,0,0,3,1,2,1,1,4,3,1,4,1,4,1,1,0,0,1,1,0,0,1,0,2,1,3,3,0,2,0,2,0,4,3,3,4,0
37,1,14,75,7,4,0,3,11,2,0,1,1,3,4,1,1,3,2,2,4,3,3,1,1,2,2,3,0,4,0,3,4,0,0,3,2,0,2,2,4,4,0,2,1,0,1,4,0,4,1,0,2,0,2,0,0,3,0,1,2,2,4,4,2,2,2,4,2,4
26,1,45,91,7,0,1,1,24,6,0,3,0,0,0,0,2,0,3,2,4,4,2,0,3,4,1,0,1,4,3,3,1,4,0,4,2,3,4,0,2,2,2,0,1,0,4,3,0,1,0,1,0,3,3,2,0,4,2,4,3,1,1,3,1,3,4,4,1,1
42,2,44,34,14,4,2,1,6,0,4,3,1,5,0,2,1,3,2,0,2,3,4,2,0,1,1,3,2,0,0,3,0,3,0,0,0,0,4,0,3,1,1,0,2,2,1,4,0,2,1,2,2,0,2,1,0,2,0,1,2,1,1,3,1,4,1,1,3,1
59,4,74,47,10,2,2,2,23,4,4,1,1,0,4,1,0,1,2,3,3,4,2,2,1,2,1,1,4,0,0,1,2,0,3,0,0,3,2,3,3,0,1,1,0,4,2,0,0,4,1,1,1,1,1,2,1,4,2,0,1,1,1,2,3,3,1,3,3,4
62,2,32,90,19,1,0,1,20,4,2,3,0,3,4,3,1,0,1,0,2,2,2,2,2,0,3,1,3,4,3,1,2,0,0,1,0,4,0,1,4,0,3,4,2,0,1,4,0,4,0,4,0,4,0,0,0,2,0,0,2,2,4,0,0,4,4,1,2,4
44,1,78,3,9,1,3,2,2,9,2,1,2,2,3,3,4,2,1,3,3,1,1,0,1,2,2,2,3,0,0,3,1,4,1,1,2,2,0,0,0,4,3,4,4,0,3,1,1,4,1,0,4,3,4,3,1,0,3,3,3,2,2,4,1,3,3,3,1,3
40,3,66,0,9,4,0,3,0,3,3,1,3,3,4,1,3,0,4,3,3,1,0,2,3,4,1,0,0,0,0,3,0,3,3,1,3,3,1,1,4,0,2,3,4,3,0,2,0,3,1,1,2,1,0,0,1,4,3,1,3,1,1,1,1,0,1,3,0,0
94,2,37,14,13,3,0,3,24,0,0,3,0,0,4,1,3,4,0,2,4,4,2,0,4,3,3,0,0,3,2,4,2,2,0,0,0,3,1,1,4,2,0,0,2,2,2,3,1,2,0,0,2,2,2,0,0,0,2,2,4,3,4,3,1,3,4,4,0,2
78,0,28,1,4,1,3,0,19,9,3,1,4,0,3,3,3,4,0,3,3,4,4,1,0,1,4,4,2,4,0,4,2,2,2,1,3,0,4,2,1,4,3,3,4,1,4,1,3,2,0,2,1,1,1,1,0,4,4,3,1,4,4,4,2,4,3,2,0,0
43,4,42,2,2,0,0,2,16,5,2,3,0,3,1,4,3,3,1,1,0,1,0,2,4,3,1,2,0,0,0,3,3,1,0,1,2,4,0,1,4,0,0,0,0,4,0,3,3,1,1,1,1,1,0,4,2,0,4,2,2,0,0,4,0,0,2,1,4,4
4,1,86,48,1,0,0,3,16,4,4,3,3,1,3,3,1,2,0,3,3,3,0,0,4,3,4,3,3,3,2,3,0,3,1,4,0,2,0,1,0,0,3,4,1,3,3,2,1,0,2,0,1,0,4,3,1,1,2,1,3,1,0,4,2,0,3,3,4,3
60,0,14,75,4,3,0,1,18,5,2,3,1,1,2,2,4,3,1,1,0,4,1,0,0,1,4,3,3,3,2,0,4,1,0,3,1,2,0,1,4,3,1,0,3,1,4,0,1,1,0,1,4,2,0,3,0,0,4,2,1,1,4,2,1,1,0,3,1,4
67,0,91,1,14,3,1,0,23,4,0,2,1,4,0,0,2,3,4,2,4,4,3,0,4,3,1,0,1,3,2,2,0,0,1,4,3,0,0,2,0,2,2,0,0,0,2,4,2,3,0,3,3,0,3,3,0,0,2,0,0,3,1,2,3,3,0,1,4,3
68,3,24,86,13,2,0,1,5,2,2,1,2,2,1,4,1,1,0,2,4,0,3,3,4,3,3,3,4,1,4,2,3,3,0,3,3,0,1,1,0,2,0,0,1,3,0,2,3,0,4,3,0,0,1,0,0,4,0,0,3,0,2,4,1,4,0,3,0,0
6,0,45,3,10,1,2,1,4,3,4,3,3,1,1,4,2,2,2,1,0,4,3,4,3,4,4,1,4,3,4,1,1,1,2,2,0,2,2,1,3,3,0,0,0,0,2,3,0,1,0,3,1,4,4,2,2,2,0,4,2,3,0,4,0,0,2,3,0,0
60,2,28,19,5,2,1,3,16,4,0,1,1,3,2,2,2,3,4,0,2,4,0,3,0,1,2,1,4,3,2,1,3,2,3,2,2,4,4,3,0,2,4,0,2,3,2,1,2,3,1,1,3,2,2,0,0,2,2,3,1,0,2,1,3,0,0,0,4,2
93,0,0,7,3,0,2,0,4,3,0,0,1,2,4,1,4,4,3,1,0,2,1,1,2,0,2,1,4,4,3,3,3,1,0,3,3,2,3,4,3,3,2,0,3,0,0,3,0,4,4,0,3,1,3,2,2,0,1,4,2,4,3,0,0,1,0,1,0,1
44,1,89,0,9,4,0,3,11,2,1,3,1,2,3,3,3,3,1,2,4,0,2,4,3,4,1,3,2,3,2,2,2,0,2,2,3,0,4,1,4,0,3,0,1,3,1,1,1,1,0,1,2,0,0,1,0,0,3,0,2,2,4,4,4,3,0,0,0,4
91,1,96,33,12,3,0,3,5,4,0,3,0,0,2,0,0,3,3,3,3,3,0,0,2,0,1,3,2,3,2,3,2,2,2,4,0,4,3,1,4,0,0,3,4,0,1,1,2,4,1,0,0,1,0,1,1,0,2,1,0,2,1,3,1,4,3,1,0,4
66,1,8,12,2,1,2,0,0,9,0,2,2,2,4,1,2,3,4,1,2,4,3,4,4,3,4,0,0,4,3,3,1,4,1,0,3,0,0,2,3,2,2,0,4,3,3,1,0,1,1,1,2,0,0,0,3,2,3,3,1,2,1,4,0,0,0,3,0,4
66,1,82,22,15,0,3,3,8,2,4,1,1,0,1,4,4,2,2,4,1,1,3,4,0,3,2,4,2,0,0,3,2,0,1,2,0,3,1,1,1,1,0,2,1,0,2,0,0,2,3,2,2,0,0,1,0,3,0,0,2,2,0,4,0,3,1,0,2,2
92,4,1,0,18,3,3,0,3,0,2,0,0,1,1,4,1,0,1,4,1,3,4,2,2,0,3,1,3,3,2,3,3,1,0,0,0,2,3,1,0,0,2,2,1,4,3,0,0,4,0,0,0,4,0,0,0,2,0,0,0,2,3,3,0,3,3,0,4,4
8,4,89,42,3,0,2,2,0,5,4,1,1,0,3,3,2,4,0,0,2,4,0,3,4,3,3,2,2,0,0,4,2,1,4,3,0,3,0,1,0,3,0,4,1,4,4,0,0,2,1,2,1,4,4,1,3,1,1,2,4,1,0,4,0,4,4,0,4,4
71,4,94,93,1,2,3,0,18,2,1,3,1,0,2,2,1,3,2,4,1,3,3,1,3,4,1,3,2,3,3,4,0,4,1,1,3,0,2,0,1,1,0,0,2,4,2,0,0,1,0,4,0,1,1,1,4,2,0,0,1,0,0,4,3,2,2,0,0,3
32,4,63,77,18,1,3,2,23,4,4,1,1,0,3,2,4,2,1,3,3,2,0,0,4,3,1,1,4,4,3,2,1,4,0,4,0,3,0,1,0,4,1,0,1,4,3,1,1,0,0,4,0,0,0,0,0,1,2,1,4,2,3,2,0,1,4,1,0,2
27,4,35,21,15,2,2,0,5,8,2,0,0,1,4,1,1,1,0,0,2,3,2,3,4,3,2,3,0,4,3,3,4,0,4,1,0,2,0,2,0,3,2,1,0,1,1,1,0,2,4,1,0,2,2,0,3,2,1,4,1,3,0,0,3,3,1,3,0,4
39,3,73,96,7,1,2,0,1,4,2,1,0,5,4,1,3,1,3,4,2,3,4,2,3,4,4,0,0,3,2,1,0,4,0,1,1,0,1,1,4,2,0,4,4,1,3,4,0,1,0,1,2,4,0,4,0,2,1,1,1,2,4,0,1,3,4,2,0,2
67,4,34,0,5,4,3,0,19,9,2,0,1,4,1,4,1,3,2,4,1,2,0,0,1,2,2,3,0,4,3,0,1,0,1,0,4,0,1,0,1,4,2,2,0,1,1,4,0,0,0,0,1,1,0,4,1,1,3,3,3,1,0,0,3,4,2,1,1,3
38,2,22,79,13,2,0,1,4,3,4,1,0,1,4,1,1,3,2,3,3,4,3,4,3,4,0,3,3,4,3,2,3,3,0,2,1,1,1,3,4,0,1,1,2,2,0,2,4,0,4,4,0,4,0,0,0,4,0,1,2,3,3,1,3,2,3,1,3,3
94,2,2,6,13,3,0,0,10,2,2,1,1,5,3,3,1,4,4,0,0,3,2,3,1,2,1,3,0,3,2,2,1,0,4,2,0,2,0,2,0,2,0,2,0,4,2,0,2,0,1,1,0,2,0,0,2,2,3,1,1,3,1,3,1,0,4,4,3,2
59,4,63,77,3,2,2,3,3,7,4,2,0,3,4,0,1,0,1,4,1,2,3,3,2,0,1,3,2,4,0,3,3,1,4,3,1,0,0,4,3,3,2,3,1,3,1,3,0,0,4,3,4,3,1,1,0,1,0,0,2,3,2,0,0,3,4,0,1,4
4,1,35,21,7,0,0,0,1,4,4,1,1,0,3,3,4,3,0,0,2,3,0,0,2,0,2,2,3,1,4,2,2,0,1,1,0,0,1,4,0,0,1,4,1,0,1,4,3,2,2,3,3,2,1,0,0,3,2,1,1,3,3,4,3,3,3,1,0,4
68,3,33,43,7,3,3,1,19,0,0,0,1,2,4,1,1,3,0,3,3,1,3,4,3,4,1,4,3,3,2,2,3,3,2,4,0,1,0,1,0,0,0,1,0,1,0,2,3,0,1,1,0,3,4,0,0,2,2,3,1,1,4,3,3,4,1,2,3,3
90,0,80,20,7,4,0,0,8,5,2,1,2,2,3,3,0,1,2,3,3,0,1,1,4,3,4,2,1,0,0,3,2,2,2,1,3,1,1,1,0,0,0,4,0,0,2,4,0,4,3,2,4,1,0,2,1,0,1,1,3,0,3,2,3,3,0,3,0,4
8,4,73,96,7,3,3,0,21,7,0,3,0,0,3,3,1,1,0,0,2,3,4,1,0,0,3,3,4,1,4,0,2,0,1,0,1,3,1,4,1,1,3,4,1,1,3,4,4,0,0,3,3,0,1,1,0,2,0,0,1,2,3,4,4,4,0,4,2,4
42,2,57,16,12,0,1,0,1,4,4,3,2,2,3,0,1,3,2,1,0,4,1,0,2,0,2,4,2,1,4,2,0,2,1,3,3,1,3,1,4,2,1,3,2,2,2,1,0,0,1,3,0,1,1,2,2,0,2,4,2,0,0,4,3,3,3,0,3,2
11,3,60,11,11,2,0,1,24,6,2,1,0,4,2,2,3,3,1,2,4,4,1,0,0,1,3,2,2,4,3,1,1,1,0,0,3,1,4,2,0,0,4,0,0,3,1,2,0,1,4,1,0,0,1,2,3,1,2,3,2,2,3,0,0,1,0,0,2,2
48,1,32,90,2,3,0,0,16,0,2,1,0,4,3,3,0,3,3,3,3,4,0,3,1,2,1,4,3,1,4,3,4,0,4,3,0,0,3,2,0,2,3,4,1,3,1,3,0,1,2,3,4,3,4,0,0,1,2,3,0,2,4,2,1,3,0,3,3,3
81,2,2,6,7,2,1,2,11,4,2,3,2,5,1,4,0,4,4,4,1,2,1,1,0,1,0,2,1,3,2,2,1,4,2,1,0,2,0,3,0,2,2,0,0,4,0,3,2,0,0,1,1,2,3,0,4,2,0,1,1,3,4,2,3,4,0,4,4,4
58,4,98,66,18,2,0,0,20,0,2,3,0,3,1,4,3,2,2,2,4,4,2,2,4,3,2,1,3,0,0,4,4,3,0,0,0,0,0,1,0,0,2,2,0,1,3,1,4,2,1,2,0,1,0,2,3,0,0,3,4,2,1,0,1,3,3,0,1,1
9,1,57,16,14,3,1,1,22,3,0,3,2,4,0,0,4,3,0,3,3,4,3,4,1,1,4,3,3,0,0,4,0,4,0,0,2,1,4,0,0,2,2,0,4,0,1,1,3,2,0,3,0,3,0,3,0,0,0,4,2,0,4,3,3,0,3,2,0,2
95,0,40,85,6,3,0,1,8,4,2,1,3,0,4,1,4,3,0,4,1,0,4,2,2,0,2,1,4,4,3,3,1,4,0,1,0,0,0,1,2,0,2,0,3,0,3,1,0,0,4,1,1,0,1,4,1,3,2,4,0,2,4,4,0,1,0,1,4,2
23,0,23,15,9,3,1,1,18,5,0,3,4,4,4,1,2,3,4,3,3,2,0,0,1,2,1,3,2,3,2,1,0,4,4,1,2,1,2,0,0,0,0,1,0,0,3,0,2,1,2,0,0,1,0,1,1,4,4,2,4,1,1,2,2,0,4,2,2,2
0,2,38,98,2,1,2,2,4,7,2,3,1,2,4,1,3,0,4,3,3,1,4,1,3,4,3,2,2,1,4,2,1,4,0,3,0,1,0,1,1,3,0,1,1,2,3,0,0,3,1,0,4,4,0,1,1,4,2,2,1,3,4,2,1,3,2,3,4,2
72,2,68,0,5,4,0,1,19,2,0,1,0,0,2,2,0,3,3,0,2,4,0,3,1,2,4,0,0,0,0,0,4,1,4,3,0,0,3,3,4,2,4,0,1,2,4,2,4,4,0,4,0,4,0,4,0,1,3,1,4,0,1,2,0,2,1,2,0,4
28,3,6,18,14,0,3,1,5,2,4,0,4,1,0,0,3,2,2,2,4,4,0,3,2,0,3,3,1,0,0,1,0,2,3,0,0,1,3,1,1,1,0,0,0,1,2,0,4,2,1,1,0,0,3,3,1,1,0,0,1,2,2,2,1,3,0,0,2,2
24,1,14,75,1,4,3,1,20,4,2,0,0,1,4,1,2,3,4,4,1,3,1,4,4,3,3,1,3,3,2,3,0,3,2,0,1,1,1,3,0,4,1,1,4,0,0,2,2,3,0,1,4,2,4,0,1,1,0,1,3,3,3,3,2,4,3,1,3,2
40,3,43,64,6,2,3,0,7,6,3,1,4,0,3,3,3,0,4,0,2,2,0,0,2,4,1,1,4,0,2,0,2,0,1,4,0,0,1,0,0,1,0,2,0,1,2,3,0,2,1,0,2,2,1,3,0,2,0,4,2,0,3,3,1,3,4,1,1,2
31,1,22,79,7,1,2,2,16,5,0,1,0,0,4,4,0,3,3,2,4,2,1,1,3,4,1,3,2,3,2,3,1,4,0,0,0,3,4,0,0,3,2,0,1,2,3,2,0,2,0,1,0,0,1,1,0,4,1,3,1,3,1,3,1,1,4,1,0,2
93,3,64,36,9,2,0,0,23,0,4,0,1,1,4,1,3,3,1,0,2,1,1,0,1,2,2,0,1,0,2,0,0,2,0,0,0,2,1,2,4,3,1,1,1,1,2,0,1,1,1,0,2,1,2,3,0,1,1,3,1,4,2,1,0,3,3,3,2,1
14,4,29,41,12,0,1,3,0,3,3,1,1,5,3,3,4,4,3,1,4,2,1,1,1,0,1,0,0,3,2,2,2,0,0,3,1,2,3,4,2,2,0,0,1,4,2,0,0,4,0,1,2,2,0,4,1,1,1,3,3,0,0,2,1,3,1,0,4,4
14,4,80,20,14,3,1,0,1,4,4,1,0,1,3,3,0,3,3,2,4,2,4,4,2,0,2,4,2,2,1,3,0,3,3,2,1,3,3,4,2,2,3,3,0,1,3,2,1,4,3,1,1,1,1,0,1,0,2,0,3,1,0,4,2,3,1,0,4,2
28,3,26,4,14,4,2,1,10,8,0,3,0,0,4,1,0,3,3,2,0,1,1,0,3,0,1,0,1,4,3,4,3,0,4,0,3,0,3,4,3,3,0,1,4,3,2,4,2,0,0,1,1,1,3,2,2,0,2,0,1,1,2,3,0,4,3,2,0,3
6,0,23,15,10,2,2,1,24,6,2,0,0,1,1,4,3,2,2,0,2,4,4,1,2,0,2,3,0,0,0,2,0,2,2,0,0,1,0,0,1,3,2,3,3,0,2,1,4,0,4,2,0,1,2,4,0,1,4,0,1,2,0,1,1,3,4,1,0,2
68,3,77,99,9,1,3,1,5,2,2,0,1,4,0,0,3,2,2,0,2,3,4,1,0,1,1,1,4,4,3,0,1,2,0,1,4,0,4,1,1,4,0,0,4,3,2,1,4,2,4,0,4,3,1,3,3,0,3,0,2,2,1,3,1,0,0,3,3,2
48,1,12,30,9,3,1,2,22,1,0,2,1,4,4,1,1,4,4,2,4,2,4,2,2,0,4,1,4,1,3,1,4,3,3,1,4,1,3,4,0,0,0,1,4,3,3,2,0,3,1,4,0,1,4,3,0,3,4,1,0,4,3,1,2,2,1,3,3,2
67,4,66,9,17,3,2,0,11,8,3,1,0,3,4,1,0,2,1,2,0,2,1,1,3,4,3,3,4,0,0,1,0,4,1,1,2,4,2,0,2,0,1,1,1,4,0,1,0,1,1,0,1,3,4,3,0,1,2,1,2,4,3,4,4,0,2,4,0,0
8,0,9,73,5,3,0,2,19,9,0,0,4,5,4,1,4,1,1,4,1,4,3,4,2,0,4,0,0,0,0,4,2,2,2,2,1,0,3,1,4,2,2,1,3,1,2,3,0,2,1,2,2,0,0,0,3,2,3,3,2,3,1,4,0,4,0,4,2,4
32,4,8,1,9,1,3,1,12,9,2,1,0,4,4,1,3,0,4,4,1,4,1,0,2,0,2,2,3,0,0,3,2,2,4,4,3,1,3,0,1,0,1,0,0,4,1,1,0,3,2,2,0,1,0,0,4,2,0,3,3,2,4,3,0,4,0,2,3,3
62,2,32,90,2,3,0,2,5,2,0,1,3,5,0,0,2,3,4,4,1,2,4,4,0,1,4,3,3,3,2,3,0,3,2,4,1,0,4,2,0,3,1,3,0,2,0,0,2,2,2,1,4,4,4,3,3,3,0,0,2,1,3,1,0,1,3,2,0,4
36,4,1,0,0,3,3,0,17,4,0,1,0,0,4,1,4,1,4,0,2,2,0,0,1,2,3,1,3,4,3,3,2,0,1,4,3,3,3,0,0,1,0,1,0,2,2,4,3,3,3,1,2,0,4,0,0,3,1,1,1,4,3,4,1,2,4,3,1,0
77,1,15,80,18,4,1,1,0,2,2,0,1,4,3,3,3,3,1,0,2,0,0,0,4,3,4,0,0,3,2,4,2,1,0,4,4,1,0,2,0,0,3,3,1,0,4,3,1,4,1,1,0,0,2,0,0,1,3,1,1,3,0,4,3,1,1,3,1,4
99,4,73,96,7,3,3,1,2,6,4,1,0,1,3,3,4,2,1,2,4,2,0,0,1,3,1,4,3,4,3,4,1,1,1,3,0,3,0,4,0,0,3,4,0,1,0,0,1,2,4,4,3,4,4,0,2,0,2,4,0,2,4,4,2,0,1,3,2,2
15,2,41,40,15,4,3,1,13,2,0,2,3,3,3,3,0,4,4,3,3,4,3,4,3,4,0,4,0,0,0,2,3,3,4,2,2,0,1,1,3,1,3,2,2,0,3,2,0,1,1,0,1,1,0,0,1,4,0,0,1,1,4,2,3,4,4,1,0,0
75,0,80,20,5,4,0,1,14,3,4,1,1,0,1,4,1,1,0,0,2,2,4,4,1,2,1,0,1,2,1,3,0,3,2,2,0,3,2,2,4,0,2,3,3,4,0,4,0,0,0,4,4,0,4,2,3,1,1,1,3,0,0,3,4,0,0,1,0,4
42,2,20,2,4,3,0,0,12,3,4,3,1,5,4,1,0,1,2,0,2,4,4,3,0,1,2,3,0,0,0,0,2,0,4,3,0,0,0,4,2,1,1,1,2,2,2,4,0,2,2,2,0,1,0,0,3,2,2,3,2,3,0,4,3,3,2,1,0,4
