column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50
72,2,2,39,13,0,3,3,0,2,4,1,2,5,4,4,1,3,4,3,3,2,4,2,0,3,4,1,2,2,1,1,2,2,4,1,3,4,3,3,0,3,1,4,0,4,2,3,1,2
70,3,48,26,3,1,1,1,6,4,3,3,1,3,1,0,1,2,1,3,3,3,0,0,0,4,1,3,1,3,4,0,0,3,1,1,1,0,0,1,0,2,2,0,4,0,2,0,2,4
3,1,80,2,3,3,2,0,18,9,4,3,3,4,1,0,0,0,2,0,4,2,0,1,0,4,2,2,3,4,0,0,4,4,2,0,1,1,3,1,0,0,1,1,3,4,1,0,3,0
15,4,14,0,0,0,2,3,17,2,3,3,2,5,0,2,0,0,2,3,3,4,0,2,4,0,0,2,0,4,3,1,4,1,0,2,3,2,2,1,0,2,1,0,4,2,4,3,3,0
77,2,14,59,18,3,0,1,5,5,3,3,2,0,0,2,1,2,1,3,3,3,4,3,2,0,4,3,3,2,2,0,0,2,1,2,0,2,0,1,0,1,2,4,0,2,4,1,3,4
84,4,30,96,19,2,0,1,0,6,3,2,2,4,2,1,1,0,2,4,0,2,3,3,0,0,2,3,1,1,0,0,4,4,3,0,4,2,1,2,3,1,4,2,3,2,1,2,0,0
42,4,76,95,7,3,0,1,19,2,3,0,1,2,0,2,3,1,1,1,0,2,1,3,0,2,2,2,2,3,1,1,0,3,0,2,3,0,4,4,4,1,4,1,0,4,3,2,3,3
36,4,22,61,2,3,1,3,21,3,0,3,4,1,2,1,3,4,0,1,0,4,1,3,1,1,3,1,2,3,1,2,1,0,0,2,4,0,1,0,4,0,4,3,0,4,1,1,4,2
96,2,55,68,13,0,3,3,16,0,2,1,0,4,1,0,3,3,4,3,3,4,2,2,0,1,4,3,2,2,2,0,2,0,0,1,1,1,1,4,4,4,4,0,3,1,4,3,2,0
10,1,94,80,10,3,0,3,3,3,4,0,0,1,1,1,2,2,0,1,0,2,3,0,0,2,0,3,3,1,0,2,1,2,0,2,4,2,0,1,4,2,0,3,0,1,2,0,3,0
75,1,64,53,12,0,1,3,15,6,3,0,1,2,3,3,0,2,3,4,2,4,4,4,3,1,3,4,0,0,2,0,0,0,1,0,3,0,0,2,1,1,2,1,2,1,4,3,4,1
48,1,38,87,8,4,3,0,9,9,0,0,0,0,2,1,0,3,1,4,2,4,1,3,3,2,4,2,0,0,4,1,4,2,2,0,4,1,3,1,4,2,3,3,3,1,3,0,1,2
45,2,42,0,1,4,1,0,5,3,0,1,0,4,0,2,3,0,3,3,3,4,4,2,0,0,0,3,1,0,4,1,1,1,2,1,0,2,4,2,3,1,3,0,3,2,2,1,2,1
59,3,34,35,3,1,1,2,4,9,0,2,0,0,0,2,3,3,4,2,1,2,1,3,2,1,4,2,1,0,0,4,0,3,0,0,3,1,1,2,4,0,0,3,4,2,4,0,3,0
76,3,89,81,16,0,1,1,18,4,2,1,3,4,3,3,4,0,3,3,3,4,1,3,1,4,4,2,1,3,0,1,1,4,1,3,1,3,0,1,0,1,3,4,3,0,4,4,4,1
38,1,75,14,19,1,1,0,13,5,2,0,0,0,1,0,4,2,4,3,3,2,2,0,0,2,1,3,1,3,0,1,0,0,3,1,2,1,0,2,0,1,2,0,4,4,1,3,3,1
96,2,89,81,12,2,3,2,15,4,4,0,3,1,1,0,1,4,2,0,4,4,4,4,0,2,4,0,2,0,0,2,3,1,1,3,3,1,1,1,0,0,4,4,4,1,3,3,3,4
15,4,14,0,1,3,3,1,17,3,0,1,2,1,2,1,3,2,1,4,2,4,4,4,4,1,2,4,0,0,0,2,4,3,2,2,2,0,4,1,1,2,0,1,3,0,0,0,0,0
80,2,99,86,17,3,3,1,22,0,1,2,4,3,0,2,1,0,2,1,0,2,4,2,0,2,4,1,0,1,3,0,3,0,3,1,4,2,0,3,1,0,3,2,4,2,4,1,2,2
5,2,92,49,11,0,2,2,4,9,0,2,2,0,2,1,4,4,1,1,0,4,4,4,1,1,3,0,4,4,0,4,4,4,1,4,4,2,0,3,3,3,1,3,4,0,4,2,1,3
36,4,28,36,16,1,3,1,9,1,1,3,0,4,2,1,2,4,3,3,3,2,0,1,3,0,0,0,2,3,3,1,0,1,0,4,1,0,1,0,0,1,3,0,4,0,1,2,1,2
92,3,92,49,8,1,3,3,11,2,3,2,3,0,1,4,1,4,4,4,2,3,2,2,1,1,4,1,2,0,4,4,0,0,0,0,1,4,1,3,1,2,3,0,2,2,4,0,0,2
65,2,66,31,0,2,3,1,18,4,2,2,0,5,4,4,2,0,4,0,4,4,2,0,0,0,0,2,2,0,1,1,0,1,0,4,0,4,1,3,3,0,2,4,2,2,1,3,1,4
81,1,14,59,0,0,2,1,2,2,4,3,3,4,4,4,1,4,3,4,2,4,1,3,2,0,4,2,0,4,1,1,2,1,4,0,0,4,3,1,1,2,1,1,3,3,4,3,2,2
12,4,88,67,18,1,3,3,5,4,3,0,1,2,1,0,1,0,2,3,3,2,3,0,4,3,0,3,0,0,2,1,4,4,0,4,0,4,1,4,0,2,3,0,2,2,4,3,2,4
30,2,60,64,1,3,2,3,22,9,3,1,4,2,1,0,1,0,3,3,3,3,2,1,1,0,1,2,2,4,1,1,0,1,1,1,2,0,1,1,0,1,1,4,0,1,3,3,4,2
77,2,89,81,12,0,3,1,7,7,0,2,3,0,3,3,4,1,0,4,2,4,1,3,1,4,4,2,2,0,4,1,0,2,4,0,0,1,0,3,4,1,2,0,0,1,4,0,1,3
97,1,86,75,0,1,0,1,15,9,3,3,0,2,0,2,0,1,3,0,4,2,4,2,0,2,4,1,0,1,2,1,0,0,0,0,0,2,3,1,0,3,4,4,3,1,1,4,3,2
59,3,87,27,9,0,1,3,13,7,4,3,3,4,1,0,1,3,4,4,2,4,4,2,4,0,0,0,3,0,0,0,2,0,4,4,2,0,1,2,2,2,4,0,2,1,4,0,2,0
85,0,1,54,0,0,2,1,8,3,3,3,3,5,1,0,1,3,4,3,3,1,0,0,2,0,1,3,1,1,3,1,2,0,0,3,2,3,0,4,0,2,4,0,2,1,4,3,3,4
69,0,90,84,12,1,0,1,10,6,1,3,4,1,1,0,3,1,1,4,2,3,2,2,3,2,1,1,1,1,4,0,0,4,3,4,2,1,2,4,3,2,2,0,3,4,4,3,2,0
67,4,81,12,2,3,3,3,17,2,1,2,3,5,2,4,1,3,4,4,0,3,3,4,0,1,0,0,0,0,0,0,2,4,4,1,0,4,3,0,4,0,1,0,1,0,4,2,3,4
20,4,78,58,2,4,2,0,7,2,0,2,1,3,0,2,4,0,3,2,1,2,3,0,3,2,0,3,0,4,3,2,1,2,4,1,2,2,4,0,2,0,3,1,1,0,2,3,3,0
33,1,60,64,15,1,0,2,18,5,0,1,1,5,1,0,4,4,1,0,0,3,1,0,4,1,0,0,0,1,1,1,4,3,1,1,2,1,3,1,0,1,0,4,3,1,0,1,3,0
43,0,39,45,18,1,3,1,18,4,0,2,1,1,1,0,4,0,3,0,4,2,1,3,3,0,2,4,2,2,4,0,1,1,0,4,3,1,0,4,3,3,4,4,4,2,3,0,1,0
88,2,68,2,16,3,3,1,5,5,0,2,2,3,1,0,3,2,1,4,2,2,4,2,2,3,4,2,0,0,2,0,0,3,4,2,2,1,4,3,1,1,1,4,3,2,2,4,1,2
58,1,17,60,16,2,0,1,8,0,4,2,2,0,2,1,1,2,1,1,0,2,3,0,4,3,0,0,4,3,0,1,0,0,0,0,2,2,0,1,0,3,3,0,3,1,3,1,3,1
90,0,39,0,3,4,3,3,4,7,1,3,0,4,2,1,1,2,1,2,1,4,4,4,0,2,3,4,4,2,0,2,1,2,0,0,4,2,0,0,2,4,1,1,1,2,4,2,3,4
11,2,13,0,15,1,1,1,2,2,0,0,3,2,3,3,2,2,0,4,2,0,1,2,0,1,0,1,2,3,0,1,0,1,0,0,1,3,0,3,1,2,0,4,4,0,4,3,4,0
61,4,48,26,4,3,2,2,15,4,3,3,4,4,0,2,3,0,3,4,2,1,0,0,4,1,0,0,0,4,4,0,0,2,3,3,3,0,3,0,4,1,1,1,3,3,2,3,1,4
21,1,57,70,18,1,3,2,10,1,2,2,0,1,4,4,4,4,1,2,1,4,1,3,2,3,2,1,2,0,1,2,0,3,4,0,0,4,3,1,2,4,0,2,3,3,1,2,3,0
59,3,87,27,16,1,2,1,5,5,2,0,3,5,1,0,0,2,0,3,3,4,1,3,1,3,2,2,2,4,4,1,0,0,1,2,2,1,0,2,4,2,4,2,4,4,4,0,3,2
14,3,30,96,17,0,3,3,10,1,4,3,1,2,1,0,4,2,4,0,4,3,4,3,4,3,2,1,2,2,2,1,2,2,2,4,2,2,1,2,0,0,2,1,4,3,4,0,4,4
9,0,81,12,2,1,0,2,22,5,0,2,2,3,2,1,4,2,4,1,0,0,4,2,0,4,0,3,3,1,3,3,2,0,3,0,2,0,0,1,4,3,1,3,0,2,4,1,2,0
71,0,3,77,0,3,1,0,13,5,3,3,1,3,2,0,0,4,1,4,2,2,1,3,3,4,2,3,0,1,3,3,4,3,3,0,1,1,0,4,3,2,4,2,1,2,1,3,1,0
93,4,66,31,8,4,0,1,11,2,1,2,3,5,2,1,2,1,1,4,2,1,4,3,0,0,4,2,3,2,1,0,0,3,4,2,2,4,4,1,1,1,4,0,3,2,0,1,0,0
6,4,95,89,15,3,2,1,23,1,1,0,0,5,1,0,4,4,1,1,0,4,0,2,0,1,0,2,0,0,3,1,4,0,2,4,2,1,1,0,4,1,1,0,4,2,4,0,2,2
17,2,58,0,8,4,0,1,17,3,3,0,2,3,3,3,4,4,1,1,0,4,2,0,4,0,1,0,1,1,4,0,0,2,0,2,0,2,1,3,4,4,1,1,3,2,1,4,1,0
51,3,64,53,15,1,1,1,3,0,3,0,0,0,4,2,4,4,1,4,2,0,1,1,0,0,2,0,1,0,0,4,0,4,3,1,3,0,4,1,0,1,1,0,3,0,1,3,1,0
41,3,80,0,16,1,2,3,4,7,0,2,4,4,0,2,4,1,0,4,2,2,4,2,2,0,0,2,1,4,0,1,1,2,0,4,3,1,0,1,1,1,4,1,2,2,4,0,4,0
36,4,62,29,15,0,2,3,8,9,3,2,4,1,2,1,0,3,1,4,2,2,2,4,3,1,0,1,0,4,0,2,4,4,1,0,4,0,1,1,4,1,2,0,3,1,4,1,3,1
30,2,41,1,18,4,3,2,19,2,0,3,2,5,2,1,1,0,2,1,0,3,2,0,2,0,0,3,0,1,0,1,4,0,0,1,0,2,2,3,4,3,4,3,3,0,4,1,4,1
64,2,24,42,16,0,1,3,9,3,1,0,4,5,3,3,4,2,4,1,0,2,2,4,1,4,3,4,3,3,3,0,2,0,2,2,0,3,1,1,4,3,0,0,4,2,4,0,2,0
7,1,94,80,15,0,2,3,3,3,2,2,0,1,1,0,4,4,1,4,0,2,2,4,2,2,3,4,0,1,2,2,0,3,2,2,1,0,3,2,0,1,4,3,4,1,2,3,3,0
62,1,87,27,8,0,0,1,6,4,0,0,0,0,0,2,1,2,1,4,2,4,1,0,4,0,1,0,3,1,0,1,0,4,1,3,3,2,0,1,4,1,4,1,3,2,1,0,3,4
76,3,1,54,16,3,3,0,18,9,1,0,1,4,0,1,0,2,0,3,3,2,2,4,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,4,2,4,3,4,2,1,2,1,0
93,4,45,66,9,1,2,1,13,8,3,2,2,4,1,0,4,3,2,3,3,3,3,4,2,0,0,4,3,4,0,0,3,4,2,0,1,0,4,0,0,2,2,0,1,1,4,0,3,3
32,0,69,44,6,1,0,2,11,3,3,0,3,4,2,1,4,4,1,1,0,3,2,2,1,0,0,2,3,3,0,0,0,3,2,4,2,0,2,4,4,3,2,0,4,3,0,0,4,1
9,0,46,6,3,2,0,1,6,1,1,3,2,2,4,4,2,2,0,2,1,2,1,3,3,0,4,1,3,0,1,0,0,0,0,0,1,4,2,4,4,4,3,1,2,2,4,0,4,1
81,1,35,50,11,1,3,3,4,7,3,3,1,0,2,1,3,0,3,1,0,2,2,4,0,4,0,4,2,2,0,4,0,0,1,4,0,2,3,3,0,3,0,0,3,1,1,1,3,2
59,3,87,27,17,0,3,1,17,3,0,1,3,2,1,0,1,4,3,4,2,4,2,0,1,3,1,1,2,0,0,2,1,0,0,1,4,4,0,0,4,1,4,0,0,4,4,4,3,3
36,1,48,26,16,1,2,1,0,6,3,1,0,5,3,3,4,1,0,4,2,4,4,2,0,4,4,1,0,4,1,1,2,0,3,1,0,1,3,2,4,1,4,1,3,1,2,0,2,2
14,3,41,0,3,0,0,0,4,4,3,3,2,5,4,4,2,2,0,3,3,0,4,2,4,0,1,1,3,1,3,0,0,2,1,1,2,1,1,2,0,2,1,3,0,0,1,2,3,0
38,1,69,44,9,1,2,1,10,6,4,1,2,0,3,3,4,1,0,4,2,2,2,4,1,0,2,0,0,4,4,1,2,2,3,1,2,3,3,1,4,1,3,0,0,2,4,2,2,2
36,4,94,80,11,0,2,3,3,3,2,0,2,2,0,2,1,4,3,3,3,4,4,4,3,2,3,1,1,4,0,1,1,0,0,2,3,2,1,1,4,2,4,0,4,1,4,0,1,4
70,3,1,54,17,2,0,3,12,6,4,0,3,1,1,0,1,4,3,2,0,4,1,3,4,0,2,2,2,1,1,2,0,2,0,1,0,1,1,1,3,1,4,2,3,2,3,4,1,4
41,3,31,85,7,3,0,0,23,2,4,0,2,3,0,2,3,3,4,1,0,3,3,4,1,4,3,1,3,1,3,0,0,1,0,1,0,2,0,2,0,1,2,0,4,2,0,0,3,2
57,2,97,40,3,3,3,3,23,8,0,2,3,0,1,0,4,1,0,1,0,2,2,4,3,3,3,4,2,0,0,1,1,0,2,0,1,4,0,3,4,1,4,0,0,0,4,2,1,4
7,1,20,3,0,1,0,1,0,6,0,0,3,2,2,1,1,0,2,4,2,4,1,3,0,1,2,2,3,1,0,0,3,0,0,0,4,0,3,1,3,0,4,0,3,4,1,3,3,4
71,3,9,43,10,1,1,1,16,8,3,1,2,3,0,2,0,2,0,3,3,2,1,3,0,0,2,0,0,3,1,0,1,2,2,0,1,0,2,3,0,2,1,0,4,4,1,3,1,4
62,1,44,0,17,1,0,1,0,6,3,2,1,0,2,1,4,4,1,4,2,4,0,2,0,1,2,1,3,2,0,1,0,4,3,1,0,2,3,1,1,0,2,4,2,1,2,3,3,4
43,0,90,84,10,4,0,0,21,2,3,1,3,4,3,3,3,2,1,1,0,3,3,4,4,2,3,1,3,2,4,0,2,3,4,2,1,3,2,4,0,0,4,1,4,2,4,3,0,4
84,4,79,24,13,1,1,1,20,6,4,3,0,2,2,1,1,3,4,0,4,1,1,3,2,0,2,2,0,3,2,2,2,1,3,1,0,0,4,0,0,3,3,0,3,2,1,0,3,0
13,0,80,25,10,0,0,0,11,2,1,2,1,2,4,4,1,1,0,1,0,2,4,2,0,0,4,1,4,2,2,1,1,2,4,2,3,0,2,4,3,3,4,0,0,1,4,1,1,4
53,4,20,3,3,0,0,1,12,1,1,0,3,3,3,3,2,0,4,4,2,2,1,3,1,2,2,1,1,1,3,3,0,3,3,4,0,3,4,4,3,1,2,2,2,0,2,3,0,0
84,0,90,84,4,1,0,3,21,3,0,3,4,1,0,2,2,0,4,3,3,2,1,3,3,1,4,3,1,1,0,2,0,3,0,4,3,2,2,4,0,2,4,0,3,2,4,2,3,0
57,2,17,60,8,2,2,3,6,5,2,3,2,5,0,2,0,4,4,3,3,4,2,0,0,3,1,0,4,4,3,0,2,0,1,1,3,2,1,3,1,2,1,0,0,2,4,3,3,0
89,1,63,1,3,4,2,1,21,7,0,0,1,3,3,3,4,2,4,4,2,2,3,0,4,3,0,2,1,1,3,0,2,0,4,4,2,3,0,2,1,1,1,0,4,3,4,0,2,1
16,0,30,96,1,4,1,3,13,7,1,2,0,1,2,1,4,1,0,1,0,3,2,2,0,4,4,1,1,3,0,2,0,2,1,0,2,0,2,4,4,3,3,2,3,0,1,3,0,0
5,2,64,53,9,1,2,3,23,8,4,2,2,0,4,4,4,0,3,4,2,2,3,0,0,1,0,3,0,4,4,4,1,2,4,1,1,4,4,1,4,1,4,4,2,2,1,2,1,4
32,0,94,80,16,3,3,0,17,6,4,0,0,1,4,1,1,0,2,4,2,0,1,1,2,4,1,1,0,2,0,2,3,0,3,1,4,2,0,4,4,1,1,4,2,2,1,0,3,0
42,4,80,25,16,0,1,1,1,8,3,2,0,3,4,4,2,2,0,2,2,4,2,0,2,0,1,3,1,0,1,0,1,2,2,3,0,4,2,1,3,1,4,4,2,3,4,2,1,0
40,1,9,43,6,0,1,1,13,8,2,0,3,5,3,2,1,2,1,0,4,4,2,0,0,3,1,3,1,0,1,1,4,3,2,2,0,0,3,2,3,3,1,0,3,2,1,1,3,2
96,2,82,83,3,1,1,0,15,3,3,0,1,2,4,1,2,1,1,3,3,4,1,3,4,3,2,2,1,3,3,0,0,3,0,2,1,0,1,0,0,2,4,0,3,4,2,3,4,4
42,4,75,14,8,3,1,1,15,9,0,0,2,1,0,2,2,0,4,0,4,4,2,0,0,0,1,3,3,0,0,0,2,3,1,0,3,2,1,2,0,3,4,3,3,4,3,1,4,0
32,0,21,30,8,1,3,1,5,1,0,3,4,1,1,0,1,4,3,3,3,1,3,2,4,0,4,2,2,0,1,0,1,1,2,3,2,3,0,1,0,2,2,0,2,2,1,2,3,2
91,1,4,76,8,1,3,1,15,0,1,2,0,1,1,0,4,2,4,3,3,1,1,3,1,0,0,3,0,1,0,2,2,3,0,1,1,1,3,2,0,3,2,3,1,2,0,3,2,1
72,2,81,12,8,1,1,3,24,4,4,2,2,1,1,2,1,2,1,3,3,1,2,1,1,4,1,0,4,0,0,0,2,3,0,1,0,1,2,4,4,3,3,3,3,0,0,2,3,4
36,4,17,60,6,3,0,3,9,3,0,0,4,5,4,4,3,1,2,3,3,2,1,3,0,1,3,1,3,1,1,1,2,1,0,2,1,4,2,0,4,1,3,4,4,1,3,1,1,4
19,1,94,0,8,2,2,2,21,1,4,3,4,5,2,1,1,1,0,4,2,2,1,3,0,3,4,2,0,4,3,1,1,4,0,1,2,0,4,2,4,1,4,4,1,3,4,0,3,0
84,4,57,70,1,1,1,2,13,0,4,3,2,0,4,0,1,1,0,4,2,3,2,2,2,4,4,1,0,0,2,4,0,1,0,1,1,1,2,4,2,1,0,2,2,1,2,3,1,0
6,4,78,58,15,2,3,1,22,0,0,2,2,3,2,1,1,1,0,3,3,3,1,1,3,2,1,0,2,2,3,0,0,2,3,1,1,0,1,0,4,3,0,3,0,4,1,2,0,0
93,4,62,29,17,1,0,2,13,7,3,2,4,1,1,0,2,2,2,4,2,2,1,3,3,1,2,3,0,1,1,2,4,4,4,4,2,2,2,2,1,2,4,4,0,2,1,0,4,0
17,2,23,56,18,1,3,3,12,6,3,2,0,3,0,2,1,4,3,2,1,2,1,3,3,3,4,3,0,2,1,0,1,0,2,0,0,0,1,3,2,0,0,4,1,3,4,4,3,0
13,0,66,31,13,2,2,0,3,6,0,3,2,5,2,0,3,1,2,4,2,4,2,2,0,1,4,1,2,4,3,1,3,1,0,1,2,1,0,0,4,0,4,4,4,2,4,2,1,0
23,3,57,70,7,1,1,3,2,0,3,0,0,0,1,0,0,4,4,3,3,4,1,3,1,4,3,0,1,0,4,1,2,3,3,0,2,0,0,2,4,1,0,4,2,1,0,0,2,1
13,0,16,97,8,4,3,3,23,8,4,3,1,2,1,0,1,1,0,0,4,2,1,0,1,1,1,3,0,1,0,2,0,2,0,3,2,1,2,4,3,0,1,2,2,1,1,3,1,4
60,0,98,79,15,1,1,1,3,0,3,2,3,0,0,2,0,1,3,4,2,0,4,2,0,1,4,0,2,3,0,1,3,1,0,0,0,2,2,4,1,1,1,0,3,1,1,3,1,0
62,3,60,64,12,4,0,0,11,2,0,1,0,4,4,4,1,3,4,0,4,1,2,1,0,0,0,0,3,2,0,0,2,0,3,2,1,1,0,2,3,0,2,3,2,0,4,4,1,4
33,1,48,26,14,1,3,3,11,2,2,0,1,0,4,4,3,1,2,1,0,0,0,3,1,4,2,2,0,2,4,4,3,2,4,2,1,4,3,1,1,3,0,0,3,1,2,0,2,0
6,2,90,84,7,3,0,1,19,2,0,2,2,3,0,2,2,1,1,0,4,1,2,1,4,1,1,0,0,2,1,3,4,3,3,2,3,0,4,0,3,1,2,4,2,1,1,4,2,0
49,0,48,26,0,1,0,2,8,6,4,2,1,5,2,1,2,4,3,1,0,3,4,3,3,4,4,1,1,3,3,1,0,1,0,1,1,0,2,0,0,3,4,3,0,1,4,2,4,2
76,3,4,76,11,1,3,3,9,3,2,0,2,0,0,2,4,3,2,3,3,0,1,1,1,1,1,2,0,0,4,1,3,0,2,3,0,2,1,2,0,1,4,0,4,2,3,4,4,0
31,4,2,39,13,3,0,1,3,0,4,2,0,1,2,1,4,4,1,3,3,0,4,2,1,3,4,3,1,2,1,0,0,3,3,1,1,0,2,1,1,3,4,3,3,4,0,2,1,0
76,3,85,28,1,1,1,1,18,4,2,3,0,2,1,0,0,0,2,4,2,1,2,1,1,4,0,1,0,3,2,2,3,0,1,3,2,1,0,0,1,1,3,4,2,2,4,3,4,0
15,4,39,45,16,3,3,1,4,9,4,0,3,1,1,0,4,1,2,3,3,3,1,1,3,1,0,1,0,3,1,0,3,0,0,1,1,1,4,4,4,2,4,3,4,3,4,3,3,3
99,3,23,56,14,1,3,2,23,4,1,1,1,1,3,3,3,0,4,1,0,3,4,3,0,3,2,3,2,0,0,2,2,2,1,3,2,3,1,2,3,0,4,3,0,0,4,0,2,4
46,3,73,88,13,0,3,1,14,3,0,0,0,0,3,0,0,0,2,2,1,4,0,2,4,4,0,1,0,3,4,1,2,1,1,2,2,1,2,2,2,4,1,3,2,0,2,2,1,1
70,4,89,81,18,1,3,1,18,4,1,0,4,0,2,1,1,3,4,1,0,4,1,3,0,4,2,3,2,2,4,1,2,2,0,3,0,0,1,4,4,0,4,4,4,2,0,0,3,4
87,4,36,2,12,1,0,0,6,5,0,0,2,1,3,3,2,4,3,4,2,1,2,1,3,1,1,4,3,2,1,0,2,1,3,2,0,1,3,4,1,1,0,3,4,0,3,0,0,0
62,1,31,85,3,1,1,0,3,6,1,0,4,5,2,2,4,3,2,3,3,4,2,0,1,4,0,0,1,3,4,0,4,4,3,1,0,2,0,2,4,3,3,0,0,0,4,2,2,1
83,3,18,20,7,0,3,2,6,4,3,3,1,3,4,1,4,4,1,4,0,0,4,2,1,0,4,4,2,2,3,3,0,1,0,2,4,0,1,2,0,3,3,4,2,2,2,0,2,2
81,1,9,43,19,4,2,3,10,1,2,0,0,0,0,2,4,2,2,3,3,1,0,0,0,2,0,2,0,3,4,3,3,4,1,4,0,2,3,1,4,3,1,0,3,0,4,0,3,1
17,2,88,67,14,1,3,2,11,3,3,2,4,1,0,2,1,0,3,2,1,3,3,4,0,2,2,4,0,0,0,0,1,1,0,2,0,2,1,0,2,0,4,0,0,0,4,2,4,4
59,2,33,7,19,0,1,3,13,0,3,3,3,5,4,4,1,2,1,4,1,1,2,0,0,1,1,0,1,0,1,0,4,0,3,0,1,4,3,0,3,0,4,4,4,0,0,3,0,2
73,4,87,27,7,1,1,2,22,5,0,2,2,3,2,1,2,2,0,1,0,2,4,2,2,3,0,0,0,0,3,3,0,0,1,2,4,1,4,4,0,3,3,4,2,2,0,3,3,0
66,3,1,54,9,1,2,0,20,4,2,3,2,5,3,3,4,1,0,1,0,0,3,4,2,4,3,4,3,1,0,1,2,2,1,3,0,1,1,1,4,3,4,4,4,1,4,3,3,0
43,3,31,85,12,4,0,1,2,2,0,0,0,0,0,2,4,0,3,4,2,3,0,0,2,4,0,3,2,2,2,4,2,1,4,0,0,0,0,2,1,1,0,0,3,3,2,0,4,0
46,3,23,56,5,3,3,1,24,5,1,0,3,3,4,4,1,4,3,2,1,4,0,2,0,3,4,1,0,2,1,0,0,2,1,2,0,3,0,2,2,4,0,3,0,4,4,2,0,4
22,0,16,97,2,3,1,1,15,9,3,3,2,5,1,0,1,0,2,0,4,2,1,3,3,2,2,2,3,3,1,0,4,4,0,1,2,0,0,2,0,0,3,0,4,0,3,1,1,1
