column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40
53,2,68,32,6,0,0,3,19,2,2,1,2,0,4,1,1,4,2,0,1,3,4,2,4,1,4,1,4,4,1,2,1,3,4,4,0,3,3,1
21,0,30,43,6,4,2,0,7,7,1,1,3,0,0,0,4,2,1,4,2,2,2,3,0,1,0,3,0,1,1,0,2,3,3,0,3,0,2,3
11,0,6,73,4,0,3,1,1,5,4,1,3,0,0,0,0,1,1,2,4,4,4,0,0,1,0,4,2,0,0,4,0,1,0,1,3,2,3,4
31,4,27,96,8,1,3,3,1,2,1,2,2,1,4,1,2,1,1,0,4,0,3,2,0,0,0,1,1,0,4,3,3,1,3,1,0,2,0,0
35,0,72,11,8,4,1,3,16,0,1,2,0,5,4,1,4,0,3,0,1,3,1,1,0,0,1,1,0,1,0,0,0,3,2,1,4,1,0,1
21,0,94,19,11,4,2,2,7,1,3,2,0,2,0,0,4,0,3,4,3,3,4,1,2,2,1,1,3,3,4,0,2,2,0,4,4,4,3,2
87,3,59,94,8,2,2,3,6,3,4,1,4,4,1,2,4,4,4,4,3,0,1,4,1,1,0,2,3,1,0,3,4,2,0,2,3,1,1,0
17,4,45,59,8,2,2,1,10,6,0,2,0,1,4,2,1,1,1,1,0,0,0,1,4,2,0,3,1,2,0,2,4,1,3,2,2,3,0,4
33,1,44,8,12,2,1,0,8,0,4,1,4,4,2,3,4,0,1,1,0,0,1,0,3,1,2,2,1,1,0,2,4,3,4,2,4,0,1,0
87,3,56,48,9,3,0,1,2,4,1,2,3,3,4,1,2,1,1,0,1,4,0,2,4,2,2,4,1,0,2,0,2,3,4,3,2,1,1,2
31,4,59,94,16,0,3,0,11,8,2,1,4,4,3,4,2,0,2,1,2,0,1,4,4,2,1,1,4,4,0,1,2,4,2,4,2,4,3,3
88,4,93,53,4,2,1,0,7,7,4,3,3,0,1,2,1,1,1,1,0,4,4,4,4,2,1,3,1,2,1,0,2,2,3,4,1,4,1,0
99,2,80,1,6,1,3,0,22,0,3,2,1,5,0,0,2,1,1,1,2,3,1,3,0,0,0,4,1,1,1,2,0,3,3,0,4,2,1,0
43,1,62,78,2,2,2,3,7,1,4,1,4,4,4,1,4,0,3,4,0,0,0,1,4,4,4,1,4,3,1,1,2,4,0,0,4,2,0,0
93,4,34,17,18,0,2,3,18,3,4,0,0,0,2,2,4,0,3,4,2,4,2,0,2,0,4,3,0,0,2,1,2,3,4,2,3,4,1,4
98,1,89,1,2,1,0,3,15,1,3,1,4,0,1,2,1,0,0,0,1,3,1,3,4,4,4,0,2,1,1,0,0,1,3,2,3,3,3,1
4,0,88,93,15,4,3,0,22,0,1,2,3,3,3,4,2,1,1,1,3,3,1,2,4,1,1,4,2,4,1,2,0,4,3,4,3,0,0,4
25,4,39,68,14,0,3,0,9,5,1,1,4,4,0,0,4,3,2,0,4,2,1,3,0,2,0,0,4,4,0,4,4,3,0,3,4,0,2,0
36,1,68,32,13,0,1,1,12,5,1,0,4,2,1,2,1,4,2,3,0,0,1,4,1,1,3,0,0,1,4,4,0,2,3,0,0,0,3,0
27,3,34,17,15,0,2,0,3,6,1,1,0,1,1,2,1,4,2,2,3,2,3,2,1,2,2,0,4,2,2,4,0,3,0,1,4,2,1,2
66,3,17,90,13,0,1,0,1,2,2,0,3,2,4,1,2,1,1,2,1,3,0,2,4,2,3,4,0,3,4,3,1,4,0,4,0,3,2,2
79,0,66,23,4,4,2,3,4,8,2,1,4,2,4,1,4,0,3,4,0,2,2,1,4,1,0,3,0,2,0,2,2,1,4,0,3,4,3,0
15,3,43,66,0,4,0,3,16,0,4,1,4,4,2,3,4,4,4,0,1,1,0,4,2,2,2,2,0,1,4,4,4,3,3,4,4,4,1,4
31,4,55,81,7,2,0,1,13,1,4,1,4,4,1,2,3,4,2,4,1,0,1,4,2,2,1,0,4,0,1,4,0,0,1,2,1,4,0,3
80,3,97,46,12,4,2,2,2,5,3,1,1,4,0,0,4,3,0,4,4,0,1,1,0,4,2,1,0,0,0,2,4,3,4,0,4,0,3,0
7,1,66,23,6,3,0,1,9,3,4,2,3,3,1,2,0,4,1,1,1,3,3,3,1,4,3,1,0,2,1,3,4,2,2,0,4,4,1,1
5,0,18,97,16,3,0,1,9,3,4,1,4,3,2,3,2,0,2,4,0,4,1,0,2,0,1,0,4,0,2,0,2,2,4,2,0,0,3,0
28,1,80,95,19,1,3,2,3,6,3,0,4,2,2,3,1,2,3,1,2,4,0,0,2,4,3,1,1,0,0,0,0,3,3,4,1,3,2,0
96,4,43,66,14,0,3,0,4,2,2,0,4,5,1,0,4,0,3,0,2,3,4,3,1,0,1,3,3,1,4,3,3,3,4,4,3,2,0,0
26,4,70,44,9,3,0,1,12,5,3,2,4,1,1,2,3,4,2,0,1,2,2,4,4,2,0,0,1,4,3,2,4,2,0,0,3,2,4,4
81,2,99,34,9,3,2,0,4,2,2,1,4,4,2,3,4,0,3,4,3,2,1,0,3,1,4,3,3,3,0,4,3,1,3,0,1,4,1,0
0,3,3,24,2,1,0,3,8,5,2,0,3,4,1,2,4,0,3,0,0,1,0,2,1,1,2,1,3,4,0,2,0,2,0,3,3,4,4,0
81,2,71,83,19,0,1,0,22,0,3,1,3,1,2,3,3,1,1,2,0,1,3,2,2,1,0,4,0,1,0,2,4,3,4,3,1,4,2,1
74,1,28,29,8,3,0,0,11,8,1,1,4,4,2,3,2,0,1,0,1,3,2,0,4,4,2,4,1,0,0,1,2,4,0,1,3,3,3,3
86,2,40,35,10,3,2,3,19,2,1,1,3,3,4,1,1,2,3,4,1,4,0,2,4,2,4,3,3,0,0,3,4,1,3,0,1,4,4,2
53,2,39,68,12,3,2,1,1,1,4,1,2,1,1,2,4,4,4,0,3,2,3,2,1,3,0,2,0,0,0,1,1,4,2,1,1,3,3,0
41,3,55,81,8,3,0,3,24,4,2,2,0,3,1,2,1,2,3,0,4,4,0,0,4,2,0,1,3,1,3,2,0,3,2,2,1,0,1,1
8,2,53,7,14,2,0,2,9,7,2,1,1,1,1,2,3,0,3,0,1,0,3,1,2,3,0,3,3,0,2,1,1,2,4,1,2,3,3,3
97,4,68,32,1,4,2,3,20,8,2,0,0,4,4,1,4,0,0,0,1,2,1,2,4,0,0,0,2,2,2,1,0,2,0,4,3,4,3,3
95,0,91,21,8,0,3,3,6,3,3,1,4,0,4,1,4,2,1,0,2,0,4,2,4,0,1,4,1,3,3,1,2,0,3,4,0,4,4,4
40,0,11,88,18,1,2,2,19,5,1,1,0,1,4,1,2,4,4,4,3,2,2,1,4,1,1,1,3,3,3,1,4,2,3,4,0,0,1,1
4,0,3,24,6,0,3,1,10,2,1,1,4,4,4,2,2,2,3,0,3,2,1,4,1,1,0,3,3,4,0,2,1,2,4,3,3,3,1,1
48,1,91,21,12,2,1,3,13,0,2,2,2,5,1,2,1,1,1,0,0,4,1,4,1,1,3,3,1,0,0,2,0,3,3,3,4,4,3,2
42,2,23,42,12,0,3,2,19,5,0,3,3,3,4,0,4,1,0,1,2,4,1,1,0,1,0,1,0,0,4,0,0,1,4,1,3,4,1,3
21,0,66,23,11,3,3,3,13,0,1,2,0,5,0,0,1,0,0,1,4,0,2,1,0,0,0,1,0,2,0,2,4,2,0,2,2,0,1,1
95,0,59,1,6,3,0,2,22,9,3,1,1,4,4,1,4,4,4,0,4,0,1,1,0,1,0,4,0,0,0,0,0,2,0,1,4,4,3,3
88,4,55,81,17,4,1,0,0,8,4,0,4,2,2,3,2,2,3,2,0,4,2,0,3,2,2,3,3,0,1,1,2,3,4,1,3,4,1,0
40,0,48,20,1,0,2,2,22,9,1,1,0,1,1,2,4,2,1,0,2,4,3,4,4,1,1,4,1,1,0,3,3,2,2,2,0,3,0,0
6,0,47,50,15,4,3,3,20,8,2,1,3,2,4,1,4,0,3,1,2,1,2,2,0,1,1,3,3,3,0,0,0,0,1,3,0,2,3,0
15,3,73,9,1,3,3,3,2,7,0,1,2,4,4,1,1,1,1,2,2,0,0,1,4,2,2,3,1,3,3,0,2,0,4,2,0,1,4,0
2,2,44,8,12,4,2,1,19,2,4,1,0,0,1,0,2,2,4,0,4,4,4,3,0,1,0,2,1,0,0,3,3,3,3,4,3,4,1,0
49,4,14,54,6,3,0,3,4,0,4,3,4,3,0,1,4,4,4,0,1,3,0,1,0,2,3,1,0,1,2,4,4,2,4,1,1,4,4,2
70,4,4,70,12,3,2,3,10,6,4,1,0,0,4,1,2,4,4,4,3,3,4,1,0,1,2,2,0,3,0,4,4,3,3,0,2,4,1,0
29,3,38,2,19,0,1,0,23,3,0,3,3,3,1,2,4,4,4,2,1,3,0,4,1,1,2,0,0,1,0,1,1,3,2,2,4,0,4,3
93,4,95,52,2,3,1,3,16,0,1,1,4,4,2,3,0,0,1,1,1,2,1,2,3,0,3,1,2,4,0,2,4,4,0,0,4,4,0,0
24,4,55,81,4,0,3,2,12,1,1,3,4,1,1,2,1,0,0,1,2,1,1,2,1,2,0,4,2,0,1,0,0,3,0,3,3,3,0,3
25,4,81,18,5,0,3,3,8,0,2,0,4,5,2,3,2,2,3,2,1,3,1,2,1,2,0,3,3,4,2,2,0,3,0,1,3,4,3,3
67,4,63,67,7,4,3,3,0,5,2,0,1,0,4,1,2,2,2,1,2,2,2,1,4,2,0,1,4,3,1,1,0,4,0,3,0,3,1,2
27,3,26,64,15,4,3,3,17,6,0,1,4,5,1,2,0,4,0,0,3,1,1,4,4,1,2,1,0,2,4,0,0,2,3,0,0,0,4,1
47,3,90,63,19,3,1,3,11,2,4,0,4,2,1,2,2,4,4,2,0,2,2,0,2,3,3,1,0,3,1,2,1,2,3,3,2,1,0,1
92,1,8,82,0,0,3,0,5,1,4,2,3,3,4,1,1,1,1,1,3,4,1,2,4,0,4,4,0,2,2,0,2,0,3,1,3,0,4,4
25,4,22,0,3,1,3,3,14,7,0,1,4,5,1,2,1,0,0,1,3,3,4,0,4,2,0,0,0,0,1,0,2,1,0,3,4,1,1,0
66,3,89,1,19,3,1,2,15,4,3,0,2,0,2,3,4,4,4,2,0,3,4,2,3,2,4,2,0,3,1,0,4,0,0,3,1,4,1,1
97,3,91,21,17,0,1,1,0,7,4,0,4,2,4,4,1,2,3,0,0,2,0,1,4,1,0,3,1,3,2,0,0,4,0,4,3,2,1,3
58,1,77,85,8,1,1,3,9,9,3,0,3,5,4,1,2,4,4,2,1,3,1,2,4,1,4,3,1,0,0,0,0,0,2,3,3,0,3,4
22,1,26,64,18,0,2,1,16,6,3,1,0,4,4,1,2,0,2,4,3,0,1,2,4,1,2,0,0,2,0,4,0,2,1,0,0,2,1,0
95,0,59,94,1,2,3,3,19,2,3,1,2,3,4,1,2,1,1,1,2,4,0,2,0,0,1,1,1,4,1,3,4,1,4,2,3,0,4,3
70,4,97,46,14,3,3,2,15,0,4,0,1,2,3,4,1,1,1,3,0,0,2,0,2,2,0,4,0,1,2,2,4,4,0,4,3,4,3,2
29,0,26,2,10,3,2,3,0,1,4,1,2,1,1,0,1,4,2,0,4,2,2,3,1,0,1,0,0,1,0,4,0,2,0,2,4,4,0,1
91,0,98,45,18,4,3,0,8,0,4,1,4,4,4,1,1,4,2,1,2,2,2,1,0,2,1,0,4,4,3,2,4,4,0,1,1,4,0,3
43,1,77,85,7,0,3,3,10,6,0,1,2,4,1,2,2,1,1,1,2,0,0,0,1,4,2,1,3,4,1,0,0,1,3,1,1,0,3,0
62,0,9,55,18,2,0,3,21,9,3,2,4,1,4,1,0,4,1,4,1,1,3,2,4,0,0,1,3,0,3,1,0,1,2,0,3,3,4,2
71,3,99,34,16,4,0,3,19,2,4,1,3,0,0,0,2,1,1,4,0,3,1,2,0,1,0,0,0,3,2,4,3,2,4,0,1,1,4,1
91,0,28,29,7,4,3,1,14,9,3,1,0,4,2,2,1,2,1,1,2,2,1,1,4,0,1,4,1,0,1,1,1,3,0,3,1,4,0,0
11,0,19,38,6,4,1,0,2,3,4,1,4,4,0,0,1,4,2,2,1,0,2,3,0,1,1,0,0,4,1,3,1,4,3,4,2,4,0,4
55,4,48,20,5,3,1,1,15,2,3,1,3,1,1,2,1,0,0,3,1,2,0,4,4,0,0,1,0,1,2,3,1,3,3,1,3,2,2,3
88,4,58,51,16,2,1,0,13,7,0,1,3,1,0,0,3,4,2,2,1,2,4,3,0,0,0,0,4,1,1,0,1,0,2,4,4,2,3,3
81,2,78,3,8,0,3,3,0,1,0,3,3,3,3,4,3,0,3,1,2,3,1,1,2,2,4,3,0,0,2,4,1,1,2,1,3,4,0,3
83,0,14,54,15,2,0,3,19,0,4,2,4,1,4,1,0,1,1,3,1,1,4,1,0,0,0,3,0,1,0,2,0,2,0,2,0,4,2,0
1,1,43,66,12,1,0,0,1,2,2,1,0,0,4,1,4,1,0,0,1,3,1,1,4,1,3,1,2,4,4,3,3,3,0,0,3,2,2,1
98,0,5,0,15,4,3,3,19,2,4,3,3,5,2,3,3,4,1,1,2,0,4,2,3,0,0,4,3,0,2,4,4,3,3,0,4,1,4,1
51,4,73,9,14,1,2,0,18,3,0,1,3,4,4,1,1,1,1,2,3,0,1,1,4,4,2,3,1,1,1,2,4,3,0,2,3,4,0,2
36,1,37,10,1,4,2,0,10,2,3,2,4,1,2,3,1,4,2,4,3,1,0,0,1,0,3,1,0,3,0,3,3,4,3,2,1,4,4,0
83,0,84,92,14,0,3,3,18,0,1,0,3,0,4,1,2,0,2,1,4,3,4,1,0,0,0,1,4,2,2,2,4,4,2,1,0,4,4,0
72,0,61,30,12,4,2,1,7,8,3,1,4,0,0,0,1,3,4,2,2,3,1,3,2,1,0,2,0,2,2,0,2,3,3,2,2,4,2,4
51,1,45,59,6,1,2,3,11,0,0,2,0,2,0,0,1,3,4,4,1,1,1,1,0,0,3,3,0,2,2,1,4,0,2,0,0,0,3,2
89,1,92,6,12,2,1,1,7,8,3,2,3,2,1,2,2,4,4,1,1,1,1,4,2,1,3,1,0,4,0,1,2,1,0,1,3,0,1,3
98,0,45,59,5,3,1,3,1,1,3,0,4,2,1,2,1,1,1,3,2,1,1,4,4,0,0,1,0,2,2,4,2,0,3,2,0,0,2,0
91,0,52,57,11,0,1,2,15,4,3,1,3,1,4,1,4,4,4,2,0,1,1,1,0,0,0,2,0,1,2,1,0,1,1,2,1,1,1,0
34,0,43,66,5,3,1,3,15,1,1,1,4,4,2,3,2,0,2,2,1,0,1,2,1,0,1,1,1,0,0,0,0,2,0,3,3,4,1,1
10,3,27,96,18,3,2,1,13,1,1,2,4,2,4,1,2,4,4,3,3,0,1,2,0,2,1,1,1,2,4,4,1,1,1,2,3,0,0,2
22,3,26,64,5,2,0,1,15,2,2,2,4,0,1,2,2,4,4,2,0,2,3,4,1,1,2,4,0,1,0,3,3,4,3,2,1,4,2,2
41,3,76,62,4,4,2,3,5,4,2,2,4,0,3,0,2,0,2,4,1,0,4,3,1,1,4,0,0,4,1,0,0,2,4,0,0,4,4,0
47,3,26,64,4,3,1,3,13,0,1,2,4,2,1,2,2,2,3,1,1,1,4,4,1,2,2,0,3,0,4,2,4,0,0,2,1,0,1,2
97,3,35,71,9,0,2,3,3,0,3,2,2,5,1,2,2,0,0,3,3,1,1,0,1,2,0,0,2,4,2,4,0,3,4,1,2,4,2,2
31,4,34,17,14,2,0,2,1,9,2,1,4,4,0,0,1,2,3,0,1,2,0,3,1,2,0,3,0,1,2,4,3,2,0,1,3,2,4,4
33,1,30,43,12,0,3,3,8,5,3,1,4,0,1,2,1,2,3,0,2,3,4,3,4,1,3,1,3,0,1,1,4,4,3,1,2,2,0,0
40,0,67,0,2,0,1,1,21,3,4,1,3,5,0,0,2,4,4,2,0,3,2,0,2,1,0,2,0,3,1,3,4,4,0,0,3,1,3,3
67,1,94,19,12,3,0,0,15,9,4,1,2,1,1,2,2,1,1,3,1,2,3,2,4,4,3,4,1,3,1,3,3,0,4,3,1,4,2,2
33,1,34,17,8,3,0,3,16,1,4,1,3,5,0,0,4,2,1,0,1,3,1,3,2,4,4,0,1,0,4,2,2,1,0,0,3,4,4,1
8,2,51,1,9,0,2,0,19,4,4,1,2,1,0,0,1,1,1,3,3,1,0,0,0,2,0,4,0,0,0,0,2,4,0,3,3,3,3,3
32,2,70,44,12,4,2,0,12,0,4,2,1,0,2,1,2,2,3,0,0,3,4,1,4,2,0,1,3,0,1,4,4,0,1,2,1,0,3,0
67,4,12,49,11,3,3,1,3,6,3,1,1,4,1,2,3,4,2,0,3,4,1,4,1,2,1,0,1,0,4,2,3,1,0,0,0,0,4,4
15,3,7,56,9,3,0,0,7,7,2,1,4,4,0,0,1,1,1,3,0,2,0,1,0,2,2,4,2,4,1,1,1,1,4,1,3,3,1,4
98,1,77,85,14,1,2,0,11,8,1,1,3,3,2,3,1,1,0,1,3,0,1,2,3,4,2,1,2,4,1,1,2,1,3,2,3,0,3,3
87,3,22,0,3,0,0,1,24,5,2,1,4,4,0,0,4,1,0,0,1,0,1,0,0,2,1,1,2,3,1,1,1,4,4,0,4,4,4,0
17,4,51,2,12,4,2,3,24,4,3,1,3,1,4,1,1,4,2,3,3,2,3,2,0,4,0,1,4,4,0,1,2,0,3,3,1,0,3,1
29,0,61,0,14,1,2,3,13,0,2,1,2,0,1,2,1,4,2,4,0,3,4,0,4,1,1,1,4,0,1,1,0,3,4,1,3,0,1,2
88,4,8,82,12,2,1,0,14,5,0,1,2,4,1,2,0,3,4,1,0,0,1,3,2,4,0,2,3,1,0,1,0,3,3,4,0,3,1,3
22,3,40,35,8,2,2,3,5,4,3,3,4,4,3,4,0,3,4,4,3,1,0,3,2,1,3,0,0,0,4,1,2,2,2,2,3,2,2,3
35,0,54,16,6,4,1,3,22,7,0,2,3,5,1,2,4,4,4,2,1,0,4,4,1,0,1,2,0,2,3,1,3,0,0,0,2,3,4,1
58,1,38,2,1,3,3,3,24,4,3,1,4,0,1,2,1,4,4,2,3,3,2,4,1,0,2,2,0,2,3,1,0,3,4,4,3,3,2,2
61,2,82,0,19,4,2,0,3,6,0,1,4,5,3,4,3,1,0,4,3,0,1,2,2,0,0,0,2,2,0,4,2,1,0,0,2,3,1,0
91,0,39,1,12,0,3,0,13,7,3,2,4,1,1,2,2,4,4,1,0,0,3,3,1,0,1,2,0,1,0,0,1,0,3,0,2,0,3,4
86,2,64,3,9,2,1,1,8,7,4,2,3,3,2,3,1,3,4,2,1,4,3,2,2,3,1,1,0,0,0,1,1,2,3,0,3,0,0,0
89,1,44,2,4,1,0,3,6,3,0,2,1,3,2,3,1,2,3,0,4,3,1,1,2,4,3,3,3,2,1,0,2,4,3,2,3,3,1,0
73,2,5,13,19,1,3,3,19,2,3,2,4,0,1,2,1,1,1,1,2,3,4,4,1,3,4,4,0,2,1,4,3,2,1,2,1,4,3,2
74,1,62,78,16,2,1,3,5,0,3,1,2,3,1,0,2,4,4,2,1,2,1,3,2,4,3,0,0,2,0,1,1,1,3,3,3,2,1,1
9,3,22,1,14,4,1,2,4,4,2,1,0,3,4,1,1,1,1,1,0,3,0,2,4,1,3,4,1,1,0,2,4,2,0,3,1,2,4,3
9,3,41,79,4,3,0,1,5,2,3,1,4,0,2,3,2,2,3,3,0,1,1,1,2,1,0,1,0,0,1,3,1,0,0,0,4,0,1,0
88,4,84,92,4,0,3,3,2,7,4,1,1,3,0,3,1,1,1,1,4,4,1,0,3,2,0,3,1,1,1,0,1,0,3,2,2,3,1,0
96,4,48,0,14,3,3,0,6,4,3,1,4,0,4,1,4,2,1,1,1,3,2,2,0,4,1,4,0,0,1,1,2,3,0,2,3,0,4,3
17,4,22,0,7,0,3,0,16,6,4,1,4,4,2,3,1,2,3,1,3,0,1,1,1,0,0,1,3,4,1,0,4,1,3,4,0,4,2,1
46,0,26,64,8,3,0,0,7,1,3,3,4,4,4,1,2,4,0,1,0,2,1,1,0,1,1,2,2,0,0,0,2,1,1,4,3,0,2,2
92,1,3,24,13,0,1,3,0,1,0,1,3,1,2,3,4,1,0,2,0,2,0,0,2,2,0,1,3,4,0,1,0,4,0,4,2,4,1,0
26,2,62,78,9,3,0,3,6,3,3,2,4,1,1,2,4,1,0,0,1,1,3,0,4,3,0,1,2,3,0,1,4,2,4,0,0,3,1,0
85,0,7,56,0,3,0,3,14,7,2,3,2,1,1,2,4,1,0,3,0,0,3,0,1,1,0,1,0,4,0,1,1,3,3,0,0,3,4,3
61,2,60,80,6,4,1,1,18,9,0,1,2,4,0,0,4,2,1,2,0,2,4,3,0,2,0,1,2,0,4,1,3,2,4,4,0,4,3,0
33,1,98,45,5,1,1,3,13,3,0,0,4,2,1,2,0,3,4,1,2,1,2,2,1,4,3,0,4,4,3,0,3,4,0,2,0,0,2,1
27,3,61,30,0,2,1,0,5,1,4,1,4,4,2,3,1,2,3,1,1,2,1,0,2,1,1,3,3,1,2,4,2,4,1,3,3,4,0,3
