column1,column2,column3,column4,column5,column6,column7,column8,column9,column10
93,2,42,82,3,1,3,2,4,0
84,0,97,37,3,2,4,0,1,2
77,0,84,4,2,2,0,2,4,2
72,4,90,2,2,2,0,1,3,3
37,3,0,8,1,0,2,2,1,2
95,4,74,16,4,4,1,3,2,3
22,0,54,6,3,2,4,2,1,0
29,0,67,57,4,1,4,2,4,4
82,4,68,63,2,1,1,2,0,4
41,3,13,2,0,0,1,1,2,3
51,1,0,8,0,1,1,4,3,3
55,0,73,76,1,1,0,4,4,3
54,2,24,35,2,0,3,2,3,0
76,3,29,33,4,2,0,2,4,1
65,3,38,0,4,0,2,2,2,0
42,4,1,50,2,2,1,3,0,2
98,2,56,1,0,1,0,0,1,0
65,3,9,52,2,2,2,1,3,3
42,4,83,86,4,4,1,1,4,3
21,3,90,13,1,2,2,2,3,2
49,4,55,46,1,2,0,3,3,2
0,1,55,46,0,0,3,1,0,0
99,1,72,49,0,0,0,2,2,3
26,2,49,94,3,2,0,0,3,0
48,2,11,78,0,0,0,0,1,3
2,4,82,75,2,2,0,0,3,4
95,4,43,0,0,1,0,2,1,3
32,4,32,42,1,0,1,2,2,3
90,1,53,31,0,3,3,3,2,3
58,1,97,37,0,4,0,4,3,3
96,0,27,84,4,2,2,4,3,2
18,3,13,2,0,4,2,2,0,3
85,2,29,33,1,2,0,0,2,0
84,0,90,13,0,2,4,0,2,0
39,2,75,89,0,4,0,3,2,1
65,1,70,41,4,1,1,1,4,2
55,0,88,70,3,4,0,2,2,3
2,4,39,27,1,1,2,3,1,3
23,4,96,32,1,1,0,3,4,0
24,0,80,0,0,0,0,2,4,0
23,0,59,40,2,0,4,2,2,1
72,0,29,33,4,0,4,2,3,1
92,0,16,71,0,1,3,0,0,2
29,0,47,58,2,0,0,2,2,2
42,4,86,55,1,3,1,3,4,0
60,1,13,2,3,4,3,4,3,3
31,2,55,46,0,3,0,0,3,3
28,1,70,41,1,4,3,2,0,4
83,2,10,21,0,0,2,0,2,2
54,2,22,67,0,4,0,0,1,1
12,1,43,0,0,1,0,4,1,3
56,4,46,87,0,0,0,3,4,1
27,3,1,50,3,3,2,1,2,3
7,4,3,68,3,0,2,2,2,3
58,1,5,25,1,0,1,1,0,2
60,2,26,39,4,0,0,0,4,3
72,4,22,67,0,3,1,2,2,0
43,0,1,50,2,3,4,4,3,3
71,2,97,37,0,4,1,4,3,3
79,1,97,37,0,0,3,1,3,4
39,2,17,69,0,1,4,2,3,3
49,4,90,13,2,2,0,3,3,4
25,4,21,56,2,2,0,3,4,0
88,1,58,30,0,1,0,3,2,4
97,3,58,30,0,1,0,2,2,4
96,0,14,23,0,2,4,2,0,4
93,2,35,65,2,1,1,4,0,1
50,4,26,39,2,0,1,1,2,3
99,1,44,24,0,3,3,4,1,3
31,2,83,0,4,1,0,4,4,3
25,4,53,31,4,3,1,1,4,3
21,3,60,14,0,0,0,2,2,0
49,4,54,6,3,2,1,2,0,4
59,2,1,50,0,3,2,0,4,3
36,1,89,96,3,1,0,1,1,0
53,1,64,95,0,0,1,1,2,3
14,4,95,80,0,3,0,3,4,3
9,1,79,97,1,3,1,4,3,3
86,4,69,45,3,1,0,1,1,0
64,4,10,21,2,4,1,3,4,3
66,2,2,34,0,4,3,4,2,2
13,3,16,71,3,1,1,1,0,0
68,4,83,0,2,1,1,3,2,3
57,3,55,3,4,0,0,1,2,0
12,1,0,8,0,1,0,4,1,3
93,2,28,47,3,0,0,3,3,3
23,0,59,40,2,0,4,3,2,3
32,4,73,76,1,1,0,1,2,0
42,4,36,3,4,0,0,3,2,3
34,3,30,88,4,0,0,3,2,2
71,0,63,93,1,4,4,2,2,0
95,4,0,8,0,1,1,1,0,1
55,0,17,69,3,2,4,0,4,2
72,0,65,90,1,1,1,4,3,3
82,4,87,0,1,0,1,2,0,3
37,3,49,2,2,4,2,2,2,3
59,2,2,0,2,0,1,0,4,0
66,2,1,50,0,2,0,1,1,1
54,2,16,71,1,2,2,2,1,3
65,3,60,14,0,0,0,2,2,3
95,4,42,82,0,1,0,1,4,3
72,4,45,0,1,1,0,3,1,3
94,3,92,73,3,2,2,3,0,2
98,2,38,19,1,4,0,0,1,0
66,2,77,11,1,1,4,0,1,4
44,1,40,74,2,1,0,4,4,4
41,3,22,67,0,4,0,1,3,2
81,3,39,27,1,3,1,2,0,3
20,2,82,4,3,1,0,1,3,3
77,0,19,5,2,3,0,4,4,4
27,3,70,41,1,0,1,3,0,1
52,0,4,9,3,3,4,2,3,3
39,2,66,36,3,2,0,4,3,0
96,0,84,4,4,3,0,0,0,2
31,2,43,0,2,0,2,0,1,4
76,3,56,1,2,4,1,1,3,0
66,0,43,4,0,1,3,4,3,3
49,4,68,63,4,0,0,3,3,1
36,3,51,18,0,2,2,1,2,1
1,2,68,63,0,0,1,0,1,3
70,3,86,55,0,3,2,2,4,3
64,4,40,74,0,1,0,3,4,1
35,4,97,37,0,0,1,2,3,1
30,1,10,21,0,4,3,4,1,2
61,3,83,86,3,2,0,1,0,4
42,4,91,0,1,1,0,1,2,4
46,3,81,85,4,4,2,3,1,3
15,2,23,12,1,3,0,4,4,3
61,3,19,4,4,3,1,2,0,0
55,0,90,13,2,4,0,1,2,0
14,4,40,0,1,0,1,0,3,1
47,0,36,3,0,1,4,2,2,2
66,2,59,40,0,0,4,0,0,2
78,4,0,8,0,4,1,1,1,4
23,0,54,6,3,2,0,2,3,0
65,3,93,20,1,1,2,1,1,3
1,2,30,88,0,0,0,0,3,3
78,4,55,46,0,3,2,4,3,0
70,3,98,0,1,0,2,4,1,2
85,2,65,90,1,3,0,0,0,3
31,2,78,77,2,4,2,0,1,0
84,0,2,34,0,4,4,2,1,1
98,2,46,87,3,0,1,0,1,1
23,0,76,38,1,2,4,2,2,3
38,0,11,78,0,0,0,4,0,3
10,0,23,12,0,1,4,2,2,4
19,4,90,13,0,4,0,2,3,3
0,1,63,93,3,2,3,1,2,1
98,2,30,88,1,1,0,0,4,4
66,2,18,51,1,2,2,0,0,3
13,3,27,84,4,2,2,1,3,3
68,4,86,55,4,0,0,2,3,1
79,1,68,63,2,0,3,4,2,0
38,0,73,76,2,1,4,2,0,4
85,2,52,99,0,2,0,4,2,3
34,3,1,50,2,3,2,4,4,3
98,1,16,71,3,1,0,4,4,1
48,2,87,17,4,0,0,0,1,3
59,2,21,56,0,3,0,0,0,2
70,3,79,97,1,0,2,1,2,1
41,1,56,1,0,4,3,4,2,0
98,2,54,6,3,2,2,4,2,0
95,4,32,42,0,1,1,1,3,4
98,2,13,1,2,1,0,2,0,0
42,4,60,14,3,0,1,3,0,3
97,3,86,55,1,0,2,3,0,1
58,1,0,8,0,0,3,4,2,3
0,1,65,90,1,1,3,4,4,0
59,2,88,70,2,0,2,1,0,1
64,4,86,55,4,3,0,3,1,2
52,0,70,41,0,0,1,0,3,4
6,3,96,1,2,4,0,1,4,3
55,0,40,74,1,0,0,2,0,0
18,3,2,34,3,4,2,1,4,2
18,3,19,44,0,0,0,2,3,0
43,0,30,88,0,0,4,2,2,1
2,4,41,91,0,1,1,1,3,3
63,1,30,88,0,1,0,4,3,4
98,2,10,21,2,0,0,3,4,4
25,4,32,42,1,0,0,1,1,2
93,2,13,2,3,0,1,1,4,4
88,1,29,33,4,4,3,4,2,0
76,1,8,54,4,1,3,1,0,4
70,3,19,44,2,3,0,1,4,1
19,4,73,76,1,1,2,2,4,3
60,2,47,58,2,0,0,1,3,4
45,1,24,35,2,1,0,4,4,0
27,3,16,71,3,2,0,1,3,1
31,2,6,72,4,4,0,0,2,4
43,0,90,13,0,4,1,4,4,2
15,0,56,1,0,1,0,0,0,4
73,1,88,70,2,4,2,4,2,1
97,3,13,2,3,1,0,1,1,0
45,1,29,33,4,2,1,4,2,3
41,3,93,20,0,0,0,2,4,3
22,1,30,88,0,4,3,4,1,3
77,0,99,83,0,3,4,2,0,0
68,4,56,1,0,1,0,3,3,1
31,2,16,71,0,1,0,0,3,3
0,1,11,78,0,2,0,4,3,1
23,4,49,3,0,1,1,2,4,2
16,0,33,0,0,1,0,2,1,1
48,2,44,24,2,0,0,1,1,3
35,4,32,42,0,4,2,2,2,0
66,2,23,12,4,0,2,4,3,0
76,0,0,2,2,0,0,4,3,1
40,2,83,86,2,4,0,4,3,0
58,1,75,0,1,1,1,1,2,2
53,3,0,8,0,0,0,2,2,1
34,3,34,0,1,1,0,3,1,4
40,0,36,3,1,0,2,2,2,2
51,1,36,3,0,2,0,4,4,1
31,2,80,66,1,3,0,0,3,3
61,3,36,3,0,2,1,1,2,4
93,2,0,8,2,4,0,0,0,0
48,2,53,31,0,1,0,0,0,3
8,0,59,40,2,2,0,2,2,3
52,0,97,37,3,4,2,4,2,4
64,4,56,1,2,1,0,4,3,4
12,2,59,40,0,0,2,1,4,2
14,4,77,11,4,0,0,3,4,0
55,0,65,90,1,3,4,2,0,0
94,3,0,8,0,3,0,1,3,3
2,4,71,61,1,0,1,2,3,3
5,0,52,99,3,2,4,4,0,3
1,0,8,54,0,2,0,2,3,0
89,3,11,78,4,2,0,1,0,1
16,0,47,58,2,0,0,4,3,2
17,0,70,41,1,2,4,4,3,0
57,3,30,88,3,1,2,1,0,3
89,3,4,9,3,1,0,1,2,0
20,4,91,64,2,4,2,3,4,0
55,0,85,26,1,3,4,4,4,3
41,3,83,86,1,4,0,1,1,1
1,2,10,21,2,0,2,2,2,3
7,4,99,83,0,3,2,3,0,1
34,3,5,25,1,0,0,1,3,2
73,1,97,37,4,1,3,1,1,3
65,3,32,42,0,1,2,1,2,3
31,0,70,41,0,1,2,3,1,0
84,0,98,92,0,2,4,2,2,3
33,0,72,49,4,2,4,2,4,1
63,1,52,99,3,2,0,4,4,4
9,1,81,85,4,4,1,2,2,1
5,0,29,2,3,4,0,4,4,4
17,0,10,21,0,4,4,2,3,3
82,4,24,35,2,0,1,3,4,2
89,3,36,3,4,0,2,2,2,0
54,2,73,1,2,0,2,4,3,1
59,2,90,13,1,4,2,0,2,4
37,1,60,14,0,1,1,4,3,1
49,4,38,19,1,4,0,2,4,4
35,1,55,46,0,0,3,4,1,4
49,4,24,35,2,1,0,1,0,3
35,4,10,0,1,1,2,3,4,0
34,3,28,47,3,0,2,1,3,1
97,0,67,57,2,0,1,4,2,3
82,4,30,88,0,0,1,3,1,3
46,3,99,83,0,3,0,1,1,3
18,3,92,73,4,1,2,2,3,0
10,0,52,99,0,2,4,4,3,4
20,2,1,2,3,0,2,0,3,0
9,1,1,50,3,3,0,4,4,4
11,2,25,0,4,0,0,0,1,0
34,3,78,77,2,1,2,1,1,1
77,0,54,6,2,2,4,4,3,0
47,0,64,95,1,0,4,4,2,3
88,1,75,89,2,1,3,4,3,0
2,4,85,26,4,3,1,3,2,0
84,1,82,75,0,0,1,4,1,1
45,1,0,8,3,0,1,1,3,0
60,2,47,58,2,0,0,4,3,0
66,2,40,74,1,0,0,4,0,3
88,1,77,11,1,0,0,4,1,3
20,1,69,45,1,2,3,4,3,4
25,4,50,28,0,4,0,3,0,3
98,2,34,79,0,3,0,0,3,2
25,0,16,71,0,2,4,4,1,0
10,0,21,56,0,0,0,2,3,3
36,1,50,28,2,1,3,3,0,3
37,0,30,88,1,1,2,2,4,3
98,1,82,75,0,0,3,3,3,1
76,3,0,8,1,0,2,2,4,4
21,3,43,0,1,0,2,1,2,3
23,4,93,0,1,0,0,3,2,0
9,1,45,43,3,0,3,4,4,3
24,0,45,43,3,0,0,3,3,0
23,4,10,21,2,4,0,3,1,3
70,3,54,6,2,1,2,1,3,1
39,2,71,61,1,3,1,3,4,1
23,4,29,33,1,2,1,3,2,3
14,4,99,83,0,4,0,2,4,4
54,2,81,85,0,2,2,4,2,0
75,2,35,65,1,1,2,4,4,1
84,1,60,14,0,1,3,4,3,0
34,3,34,79,3,2,2,1,1,4
44,1,8,54,0,4,3,3,3,0
90,1,81,85,4,4,0,3,3,1
51,1,86,55,0,3,3,2,4,3
12,1,87,17,0,2,1,4,3,1
9,1,29,33,4,2,3,4,3,0
25,4,0,8,0,4,1,3,1,2
23,4,35,65,0,4,1,4,0,3
43,0,6,72,0,0,3,0,4,3
40,2,70,41,1,2,0,0,2,2
53,1,49,94,2,3,3,1,4,3
4,0,40,74,3,0,4,2,1,3
65,3,12,81,1,1,0,1,3,2
23,4,60,14,2,1,1,0,4,0
95,4,29,33,1,4,0,3,4,3
38,0,97,0,4,0,4,2,2,3
27,3,98,92,2,4,0,1,4,1
59,2,42,82,4,0,3,0,3,3
74,0,40,0,1,1,0,2,2,3
93,2,96,32,1,0,2,2,2,3
47,0,55,46,0,2,0,0,2,0
38,0,26,39,4,1,1,4,2,1
26,2,53,31,4,3,0,2,2,0
71,2,13,2,2,0,2,0,2,0
83,2,59,40,2,2,3,3,0,3
33,0,23,12,4,1,0,2,0,3
42,4,31,5,2,4,1,3,2,2
76,3,93,20,0,1,0,1,0,0
23,4,24,35,0,1,0,3,4,1
16,1,17,69,3,2,0,3,4,3
88,1,29,33,1,2,3,0,1,2
39,2,38,19,1,4,2,0,1,3
4,0,53,31,4,2,4,2,0,2
37,3,34,79,0,0,2,1,1,2
51,1,23,12,4,3,0,1,1,0
79,1,52,99,0,2,3,4,3,4
11,2,98,92,0,0,1,1,1,2
19,4,10,21,2,4,0,1,2,1
94,1,12,81,1,4,0,1,3,2
58,1,64,95,0,1,0,1,2,4
59,2,70,3,4,2,3,1,0,3
98,2,10,21,2,2,0,0,4,4
24,2,30,88,3,1,1,0,2,3
58,1,9,52,0,1,3,2,4,0
33,0,19,44,2,1,0,0,4,2
97,3,91,64,4,3,2,1,1,4
9,1,97,37,2,2,3,3,3,3
15,2,87,17,4,2,4,4,0,0
6,3,64,1,0,1,2,2,3,2
35,4,49,94,0,2,0,3,2,3
76,3,38,19,0,1,2,2,0,0
29,0,17,69,3,2,2,2,0,0
14,4,32,42,0,4,1,3,0,3
95,4,76,38,1,4,0,3,2,0
96,0,92,73,3,3,4,0,2,2
72,4,60,14,1,1,0,0,4,2
37,3,69,45,3,3,2,1,3,3
2,3,41,91,0,1,2,1,0,4
54,1,44,24,0,0,3,4,3,0
72,4,1,50,0,0,1,4,4,3
1,2,52,99,3,2,0,0,1,3
32,4,31,5,2,4,0,3,3,3
60,0,24,35,2,1,0,2,2,4
95,4,21,4,0,1,0,0,1,0
31,2,70,41,1,0,1,0,2,4
18,3,30,88,0,0,0,2,1,1
4,0,41,91,0,3,4,2,1,2
70,3,64,95,4,1,2,1,3,0
87,0,39,27,1,2,4,2,2,4
23,4,83,0,1,0,0,3,2,2
32,4,99,83,0,1,0,1,3,0
38,0,78,77,2,1,4,2,0,0
14,4,40,74,1,2,1,1,2,3
76,3,77,1,0,4,2,2,2,2
13,3,48,59,2,3,2,1,3,3
75,2,28,4,0,3,2,0,1,3
16,1,21,56,2,2,3,1,1,2
86,4,99,83,0,4,1,4,2,2
31,2,94,62,0,4,1,0,0,3
53,3,30,88,4,1,0,2,2,3
63,1,27,84,0,0,3,1,3,3
58,2,18,51,0,2,2,2,3,2
15,2,58,30,0,1,0,1,0,2
65,1,70,41,4,0,0,3,4,2
84,0,55,46,0,3,2,4,3,3
31,2,86,55,4,3,0,0,2,3
72,4,51,18,4,0,1,3,1,1
77,0,85,26,0,2,0,2,4,2
81,3,29,33,4,4,0,1,0,1
86,4,32,42,0,4,2,1,4,0
18,3,99,83,2,4,0,2,0,4
1,2,72,7,1,2,3,0,2,3
47,0,86,55,4,1,4,4,2,1
44,1,68,63,0,0,0,3,4,0
86,4,43,0,4,1,1,3,1,1
96,0,68,63,0,1,4,2,1,3
12,1,21,56,2,2,3,4,4,2
63,1,87,17,4,2,0,3,1,1
9,1,62,29,0,4,1,3,2,1
0,1,97,37,0,4,0,4,2,3
79,1,28,47,2,0,3,4,1,3
37,3,30,88,0,3,0,2,3,3
84,0,58,30,0,1,0,0,1,2
89,3,97,37,0,2,4,1,1,0
59,1,20,15,1,1,1,3,2,0
51,1,65,90,1,3,3,4,4,3
87,0,38,19,0,0,1,2,2,2
76,0,96,32,1,1,4,2,1,2
30,1,48,1,2,4,0,4,1,3
75,2,85,26,0,2,0,0,1,1
33,0,50,28,0,2,4,3,1,3
65,0,30,88,4,0,2,2,4,4
21,3,29,33,4,4,2,1,2,2
51,1,80,66,1,3,3,4,3,4
35,4,64,95,3,0,1,4,4,3
44,1,68,63,4,0,3,2,1,0
38,0,61,53,2,0,4,4,0,3
9,1,10,4,0,3,0,4,4,3
59,2,38,19,2,4,0,1,3,2
80,1,74,16,2,0,3,4,0,1
32,4,48,59,3,0,0,3,0,1
75,2,8,54,0,0,2,0,1,3
73,1,35,65,1,1,1,2,2,4
49,4,32,42,1,4,2,3,2,3
29,0,10,21,0,1,1,2,0,3
94,1,50,28,0,4,1,4,2,4
88,1,75,89,0,1,2,1,2,4
2,3,67,57,2,1,2,1,4,2
22,1,11,78,4,0,3,4,3,0
52,0,8,54,4,0,0,0,2,1
2,4,36,3,4,2,0,2,1,0
34,3,45,43,0,4,2,2,2,3
89,3,97,37,3,1,2,1,4,2
8,2,59,40,2,2,2,3,4,1
37,1,30,88,0,1,3,4,3,0
9,0,97,37,4,2,2,2,3,0
31,2,97,37,2,2,2,0,1,0
21,2,65,90,0,0,0,4,1,1
63,1,56,1,0,0,3,4,2,4
63,1,12,81,1,1,3,2,2,1
28,1,4,9,4,3,0,3,2,3
1,2,52,99,0,2,2,0,0,3
30,1,19,44,4,3,3,2,1,3
91,4,65,90,0,1,1,3,2,1
26,2,86,55,1,0,1,3,3,3
42,4,88,70,2,0,0,1,4,0
41,3,22,1,2,1,0,2,4,2
27,3,16,71,0,2,2,2,3,0
49,4,54,1,0,1,1,2,2,3
85,2,26,39,4,0,0,1,3,0
47,0,41,91,0,3,0,4,2,2
3,3,80,66,0,0,0,1,4,2
37,3,87,17,4,2,2,2,3,3
78,0,29,33,4,4,4,2,0,1
39,2,92,73,0,2,1,0,1,3
93,2,56,1,2,1,1,1,2,4
2,4,19,44,2,3,2,2,2,3
40,2,2,34,3,3,0,3,3,4
79,1,60,14,0,1,1,4,2,0
12,1,75,89,1,1,0,1,2,3
88,1,97,37,0,4,1,4,0,0
53,3,47,2,3,4,1,1,4,0
39,2,85,26,0,2,2,0,2,0
7,4,72,49,4,1,0,2,3,2
39,2,44,24,2,0,2,2,2,0
62,0,52,99,0,1,0,3,0,3
5,0,70,41,1,1,4,3,1,3
86,4,40,74,4,2,0,2,1,4
8,2,40,74,0,2,0,0,3,1
74,0,32,42,1,3,4,4,2,2
49,4,80,66,0,3,0,2,4,0
94,3,83,0,1,1,0,1,1,0
54,0,68,63,0,0,1,2,4,0
11,2,87,17,4,2,0,0,2,0
99,1,59,40,2,2,0,4,1,3
22,1,63,93,1,4,0,3,2,2
29,0,44,24,2,0,4,0,2,1
81,3,21,56,1,1,0,1,1,3
42,4,19,44,4,3,1,3,2,2
93,2,29,33,1,2,1,2,4,3
81,3,59,40,2,2,2,1,0,0
60,2,8,54,0,0,0,0,1,3
15,2,96,32,1,0,2,0,1,0
61,3,55,46,1,3,0,2,2,1
77,0,61,53,0,4,0,4,1,1
47,0,94,62,4,1,4,0,4,3
75,2,12,1,2,1,0,1,2,2
89,3,97,37,0,4,2,2,3,4
20,2,78,77,0,1,0,1,1,2
27,3,5,25,3,0,2,1,4,3
91,4,0,8,0,0,0,2,1,2
31,2,66,36,0,0,0,0,4,2
85,2,12,81,1,1,0,1,0,1
11,4,25,98,1,4,1,2,2,0
30,1,59,40,0,1,0,4,1,3
63,1,38,19,1,4,3,4,2,3
65,3,87,0,1,0,2,2,1,3
61,3,37,10,4,2,1,1,4,4
76,3,21,56,2,2,0,3,1,3
27,3,82,75,0,0,0,2,3,1
29,0,89,96,4,4,4,2,4,0
81,3,70,41,0,1,2,2,4,3
38,0,56,1,0,4,4,4,0,2
9,1,99,83,0,0,3,1,2,2
65,3,59,40,2,1,2,3,2,3
88,1,8,2,3,0,3,1,4,2
2,4,6,72,4,0,1,3,1,0
31,2,98,0,1,1,0,4,0,4
25,4,27,84,0,2,0,1,3,3
68,4,94,62,2,4,1,3,2,1
7,4,24,35,3,1,0,3,0,3
94,3,99,83,2,1,0,2,4,3
82,4,45,43,3,0,0,1,2,3
13,3,68,63,0,1,2,2,1,3
25,4,75,89,1,1,1,2,0,3
0,1,31,5,2,4,3,4,1,1
86,4,42,82,2,4,2,3,1,2
5,0,65,90,2,4,3,2,3,2
3,3,79,97,3,3,2,1,0,3
58,1,11,78,0,0,3,4,2,3
34,3,78,77,1,0,2,3,4,1
94,3,84,4,4,4,0,2,1,2
51,1,40,74,1,1,1,3,3,1
48,2,87,17,0,2,0,0,2,0
55,0,61,0,1,1,0,1,3,0
61,3,61,53,0,4,2,3,1,3
69,1,11,78,0,2,3,3,1,1
52,4,45,0,0,1,0,3,4,2
81,3,38,19,0,4,0,2,4,2
31,2,30,88,3,1,3,0,2,3
96,0,43,0,1,0,2,2,2,0
98,2,31,5,1,4,0,0,4,1
23,4,84,4,2,3,1,1,2,3
34,3,79,97,1,3,0,1,2,3
9,1,38,0,0,1,3,4,2,3
32,4,65,90,3,1,0,3,4,1
46,3,20,15,0,4,2,1,4,2
94,1,40,0,0,1,3,4,2,0
46,1,38,19,1,0,1,1,1,3
20,2,91,64,4,1,4,4,0,2
17,0,85,26,0,2,2,2,3,3
35,4,99,83,0,4,0,3,4,1
31,2,52,99,2,2,4,0,2,1
83,2,6,72,4,4,0,3,0,0
17,0,40,74,1,1,4,0,4,2
79,1,18,51,2,1,3,4,2,0
77,0,69,45,3,3,4,2,2,3
47,0,45,43,3,0,4,2,4,0
2,4,31,5,4,3,1,3,4,4
70,3,92,73,3,1,0,2,1,2
18,3,78,77,2,4,2,1,4,1
85,2,58,30,0,2,0,4,3,3
6,3,72,49,4,1,0,2,1,1
52,0,28,2,1,0,4,0,3,3
52,0,98,92,2,2,1,2,1,4
79,1,94,62,2,2,3,2,4,4
25,4,60,14,3,1,1,2,2,2
4,0,23,12,0,3,4,2,3,3
86,4,86,55,1,0,1,1,1,2
85,2,79,97,0,3,2,4,1,4
85,2,86,55,4,4,0,0,1,2
59,1,42,82,0,1,1,3,2,4
37,3,49,94,2,2,1,1,3,3
45,1,75,89,1,1,0,2,1,3
31,2,66,36,3,0,1,0,2,3
45,1,88,70,3,0,3,4,1,3
94,3,56,1,0,4,2,3,3,3
49,4,68,63,0,0,2,2,2,3
35,4,30,88,2,0,2,3,1,4
45,1,20,0,1,0,3,1,3,3
21,3,27,84,4,2,0,1,3,3
63,1,9,52,0,2,1,4,4,3
60,2,89,96,0,4,0,0,4,1
3,3,30,88,4,0,1,3,2,4
54,1,65,90,0,0,3,1,4,3
17,0,41,91,0,0,2,0,4,2
65,3,1,50,2,3,0,1,2,1
73,1,79,97,0,3,3,3,1,0
5,0,59,40,0,2,4,2,4,1
5,0,42,82,1,1,4,0,2,2
55,0,27,84,4,0,4,2,1,1
61,3,92,73,3,1,0,1,2,3
56,4,10,21,0,0,0,3,0,3
47,0,97,37,4,1,4,4,1,3
72,4,68,63,0,1,1,1,3,0
76,3,81,85,0,4,2,4,3,3
23,0,57,7,1,2,3,2,0,0
83,2,22,1,2,0,0,0,0,3
9,1,43,0,4,1,3,4,3,1
58,1,30,88,4,1,0,4,2,2
98,2,19,44,4,1,0,0,3,3
48,2,46,87,3,0,0,0,1,1
27,3,98,92,2,2,1,2,3,1
74,0,60,14,0,1,2,4,0,0
4,0,72,49,4,2,4,4,0,0
70,3,38,19,1,4,0,2,1,2
14,4,93,20,0,0,1,2,4,3
21,3,1,50,0,3,0,1,3,3
49,4,69,45,1,4,2,3,1,4
36,1,72,4,0,1,1,4,0,3
70,3,47,58,2,0,2,2,0,3
5,0,9,0,4,0,4,2,0,3
83,2,95,80,1,3,1,4,3,3
