ProviderNumber,HospitalName,City,State,ZIPCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Sample,StateAvg
360092,MEMORIAL HOSPITAL OF UNION COUNTY,MARYSVILLE,OH,43040,UNION,9375782289,Acute Care Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,52 patients,OH_SCIP-VTE-1
190241,PHYSICIANS MEDICAL CENTER,HOUMA,LA,70360,TERREBONNE,5048531390,Acute Care Hospitals,Proprietary,No,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,0 patients,LA_PN-3B
100157,LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,FL,33805,POLK,8636871100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,FL_AMI-7A
140206,NORWEGIAN-AMERICAN HOSPITAL,CHICAGO,IL,60622,COOK,7732928200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,10 patients,IL_AMI-4
150090,ST MARGARET MERCY HEALTHCARE CENTERS,DYER,IN,46311,LAKE,2198652141,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ?C not a razor),342 patients,IN_SCIP-INF-6
320016,GILA REGIONAL MEDICAL CENTER,SILVER CITY,NM,88061,GRANT,5055384000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,251 patients,NM_SCIP-INF-2
440133,BAPTIST HOSPITAL,NASHVILLE,TN,37236,DAVIDSON,6152845555,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,86 patients,TN_AMI-4
390097,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,MEADOWBROOK,PA,19046,MONTGOMERY,2159473000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,287 patients,PA_HF-1
330090,ARNOT OGDEN MEDICAL CENTER,ELMIRA,NY,14905,CHEMUNG,6077374100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,49 patients,NY_AMI-8A
280111,COLUMBUS COMMUNITY HOSPITAL,COLUMBUS,NE,68601,PLATTE,4025647118,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,4 patients,NE_AMI-1
140276,LOYOLA UNIVERSITY MEDICAL CENTER,MAYWOOD,IL,60153,COOK,7082169000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,140 patients,IL_AMI-1
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,KANSAS CITY,MO,64108,JACKSON,8164041000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,60 patients,MO_PN-7
360054,HOLZER MEDICAL CENTER,GALLIPOLIS,OH,45631,GALLIA,7404465000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,207 patients,OH_SCIP-INF-1
70031,GRIFFIN HOSPITAL,DERBY,CT,6418,NEW HAVEN,2037327500,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,31 patients,CT_AMI-2
390115,ARIA HEALTH,PHILADELPHIA,PA,19114,PHILADELPHIA,2156124129,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,373 patients,PA_AMI-2
10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,301 patients,AL_AMI-5
161356,HENRY COUNTY HEALTH CENTER,MOUNT PLEASANT,IA,52641,HENRY,3193853141,Critical Access Hospitals,Government - Local,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,2 patients,IA_PN-4
390039,SOMERSET HOSPITAL CENTER FOR HEALTH,SOMERSET,PA,15501,SOMERSET,8144435000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),25 patients,PA_AMI-3
10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ?C not a razor),1062 patients,AL_SCIP-INF-6
520063,ST JOSEPHS COM HSPTL WEST BEND,WEST BEND,WI,53095,WASHINGTON,2623345533,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,WI_AMI-8A
360151,AFFINITY MEDICAL CENTER,MASSILLON,OH,44646,STARK,3308376863,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,75 patients,OH_SCIP-CARD-2
380056,SANTIAM MEMORIAL HOSPITAL,STAYTON,OR,97383,MARION,5037692175,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,OR_AMI-7A
240115,MERCY HOSPITAL,COON RAPIDS,MN,55433,ANOKA,7632366000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,282 patients,MN_PN-5C
50747,COASTAL COMMUNITIES HOSPITAL,SANTA ANA,CA,92704,ORANGE,7147545454,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,45 patients,CA_PN-7
50300,ST MARY MEDICAL CENTER,APPLE VALLEY,CA,92307,SAN BERNARDINO,7602422311,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),173 patients,CA_PN-6
461301,FILLMORE COMMUNITY MEDICAL CENTER - CAH,FILLMORE,UT,84631,MILLARD,4357435591,Critical Access Hospitals,Voluntary non-profit - Private,No,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,5 patients,UT_PN-3B
281330,WARREN MEMORIAL HOSPITAL,FRIEND,NE,68359,SALINE,4029472541,Critical Access Hospitals,Government - Local,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,0 patients,NE_PN-3B
100180,ST PETERSBURG GENERAL HOSPITAL,SAINT PETERSBURG,FL,33710,PINELLAS,7273841414,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),122 patients,FL_PN-6
440120,ST MARY'S MEDICAL CENTER; INC,KNOXVILLE,TN,37917,KNOX,8655458000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,569 patients,TN_SCIP-VTE-1
160104,TRINITY AT TERRACE PARK,BETTENDORF,IA,52722,SCOTT,5637425000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,39 patients,IA_AMI-5
170014,RANSOM MEMORIAL HOSPITAL,OTTAWA,KS,66067,FRANKLIN,7852298308,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,80 patients,KS_PN-5C
250004,NORTH MISSISSIPPI MEDICAL CENTER,TUPELO,MS,38801,LEE,6623777176,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,757 patients,MS_HF-2
140174,PROVENA MERCY MEDICAL CENTER,AURORA,IL,60506,KANE,6308592222,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),20 patients,IL_AMI-3
250141,BAPTIST MEMORIAL HOSPITAL DESOTO,SOUTHAVEN,MS,38671,DESOTO,6623494000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,185 patients,MS_AMI-4
260195,CITIZENS MEMORIAL HOSPITAL,BOLIVAR,MO,65613,POLK,4173266000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),184 patients,MO_SCIP-INF-3
450723,METHODIST CHARLTON MEDICAL CENTER,DALLAS,TX,75237,DALLAS,2149477777,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,134 patients,TX_AMI-2
460015,LOGAN REGIONAL HOSPITAL,LOGAN,UT,84341,CACHE,4357161000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,244 patients,UT_SCIP-INF-2
330086,MOUNT VERNON HOSPITAL,MOUNT VERNON,NY,10550,WESTCHESTER,9146648000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,NY_SCIP-INF-4
281319,JEFFERSON COMMUNITY HEALTH CENTER,FAIRBURY,NE,68352,JEFFERSON,4027293351,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,16 patients,NE_PN-5C
501309,PROVIDENCE ST JOSEPH HOSPITAL,CHEWELAH,WA,99109,STEVENS,5099358211,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,29 patients,WA_PN-7
310041,COMMUNITY MEDICAL CENTER,TOMS RIVER,NJ,8755,OCEAN,7325578000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),179 patients,NJ_PN-6
34017F,W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENT,SALISBURY,NC,28144,ROWAN,7046389000,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,20 patients,NC_PN-2
180048,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,DANVILLE,KY,40422,BOYLE,8592364121,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),255 patients,KY_SCIP-INF-3
241351,REDWOOD AREA HOSPITAL,REDWOOD FALLS,MN,56283,REDWOOD,5076374511,Critical Access Hospitals,Government - Local,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,4 patients,MN_HF-1
50517,VICTOR VALLEY COMMUNITY HOSPITAL,VICTORVILLE,CA,92392,SAN BERNARDINO,7602458691,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),68 patients,CA_PN-6
161356,HENRY COUNTY HEALTH CENTER,MOUNT PLEASANT,IA,52641,HENRY,3193853141,Critical Access Hospitals,Government - Local,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,8 patients,IA_AMI-1
330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,NEW ROCHELLE,NY,10802,WESTCHESTER,9146325000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,141 patients,NY_PN-7
250072,CENTRAL MISSISSIPPI MEDICAL CENTER,JACKSON,MS,39204,HINDS,6013761000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,244 patients,MS_HF-2
371334,CARNEGIE TRI-COUNTY MUNICIPAL HOSPITAL,CARNEGIE,OK,73015,CADDO,5806541050,Critical Access Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,5 patients,OK_PN-5C
320074,LOVELACE WESTSIDE HOSPITAL,ALBUQUERQUE,NM,87114,BERNALILLO,5057272001,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,27 patients,NM_PN-4
240084,VIRGINIA REGIONAL MEDICAL CENTER,VIRGINIA,MN,55792,SAINT LOUIS,2187413340,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,34 patients,MN_HF-1
50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CONCORD,CA,94520,CONTRA COSTA,9256742002,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,135 patients,CA_PN-2
210002,UNIVERSITY OF MARYLAND MEDICAL CENTER,BALTIMORE,MD,21201,BALTIMORE CITY,4103288667,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),99 patients,MD_PN-6
220002,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,2138,MIDDLESEX,6174923500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,29 patients,MA_HF-4
390116,MERCY SUBURBAN HOSPITAL,NORRISTOWN,PA,19401,MONTGOMERY,2152782000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,136 patients,PA_SCIP-VTE-1
400005,HIMA SAN PABLO HUMACAO,HUMACAO,PR,791,HUMACAO,7878522424,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),84 patients,PR_SCIP-INF-3
41319,DE QUEEN MEDICAL CENTER; INC,DE QUEEN,AR,71832,SEVIER,8705844111,Critical Access Hospitals,Voluntary non-profit - Private,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,4 patients,AR_PN-4
420066,LAKE CITY COMMUNITY HOSPITAL,LAKE CITY,SC,29560,FLORENCE,8433742036,Acute Care Hospitals,Government - Hospital District or Authority,No,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0 patients,SC_AMI-3
420033,GREER MEMORIAL HOSPITAL,GREER,SC,29650,GREENVILLE,8648488200,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,18 patients,SC_AMI-1
110112,BERRIEN COUNTY HOSPITAL,NASHVILLE,GA,31639,BERRIEN,2295437100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,1 patients,GA_AMI-4
140034,ST MARYS HOSPITAL,CENTRALIA,IL,62801,MARION,6184368000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,140 patients,IL_PN-2
41321,BAPTIST HEALTH MED CTR-ARKADELPHIA,ARKADELPHIA,AR,71923,CLARK,8702452622,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,57 patients,AR_PN-5C
120027,HAWAII MEDICAL CENTER WEST,EWA BEACH,HI,96706,HONOLULU,8086787000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,57 patients,HI_PN-4
370222,MCBRIDE CLINIC ORTHOPEDIC HOSPITAL;  L L C,OKLAHOMA CITY,OK,73114,OKLAHOMA,4054781717,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,121 patients,OK_SCIP-VTE-1
340017,MARGARET R PARDEE MEMORIAL HOSPITAL,HENDERSONVILLE,NC,28791,HENDERSON,8286961000,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,34 patients,NC_AMI-5
340123,RANDOLPH HOSPITAL,ASHEBORO,NC,27204,RANDOLPH,3366255151,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,80 patients,NC_PN-7
360010,UNION HOSPITAL,DOVER,OH,44622,TUSCARAWAS,3303433311,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,62 patients,OH_SCIP-CARD-2
60001,NORTH COLORADO MEDICAL CENTER,GREELEY,CO,80631,WELD,9703524121,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,161 patients,CO_AMI-1
141315,ILLINI COMMUNITY HOSPITAL,PITTSFIELD,IL,62363,PIKE,2172852113,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,36 patients,IL_HF-2
151330,ADAMS  MEMORIAL HOSPITAL,DECATUR,IN,46733,ADAMS,2607242145,Critical Access Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,22 patients,IN_SCIP-INF-2
170074,GEARY COMMUNITY HOSPITAL,JUNCTION CITY,KS,66441,GEARY,9132384131,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,3 patients,KS_AMI-2
520035,AURORA SHEBOYGAN MEM MED CTR,SHEBOYGAN,WI,53083,SHEBOYGAN,9204515000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),207 patients,WI_SCIP-INF-3
110215,PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,30214,FAYETTE,7707197071,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),7 patients,GA_AMI-3
220101,NEWTON-WELLESLEY HOSPITAL,NEWTON,MA,2462,MIDDLESEX,6172436000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,47 patients,MA_AMI-5
131327,GRITMAN MEDICAL CENTER,MOSCOW,ID,83843,LATAH,2088832220,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,5 patients,ID_AMI-5
151318,DUKES MEMORIAL HOSPITAL,PERU,IN,46970,MIAMI,7654728000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),15 patients,IN_SCIP-INF-3
320059,NORTHERN NAVAJO PHS INDIAN HOSPITAL,SHIPROCK,NM,87420,SAN JUAN,5053686001,Acute Care Hospitals,Government - Federal,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),12 patients,NM_SCIP-INF-3
10146,JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,5 patients,AL_AMI-5
360078,ROBINSON MEMORIAL HOSPITAL,RAVENNA,OH,44266,PORTAGE,3302972300,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,309 patients,OH_HF-2
521324,MEMORIAL HEALTH CTR,MEDFORD,WI,54451,TAYLOR,7157488100,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,26 patients,WI_PN-5C
200009,MAINE MEDICAL CENTER,PORTLAND,ME,4102,CUMBERLAND,2078710111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,216 patients,ME_PN-7
450634,DENTON REGIONAL MEDICAL CENTER,DENTON,TX,76210,DENTON,9403843535,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,TX_AMI-7A
361316,BUCYRUS COMMUNITY HOSPITAL,BUCYRUS,OH,44820,CRAWFORD,4195624677,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,6 patients,OH_HF-4
50036,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,93301,KERN,6613271792,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),150 patients,CA_PN-6
171337,WAMEGO CITY HOSPITAL,WAMEGO,KS,66547,POTTAWATOMIE,7854587201,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),1 patients,KS_AMI-3
180141,UNIVERSITY OF LOUISVILLE HOSPITAL,LOUISVILLE,KY,40202,JEFFERSON,5025623000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,76 patients,KY_PN-4
170006,MT CARMEL REGIONAL MEDICAL CENTER,PITTSBURG,KS,66762,CRAWFORD,6202316100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),11 patients,KS_AMI-3
260214,RESEARCH BELTON HOSPITAL,BELTON,MO,64012,CASS,8163481236,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,16 patients,MO_PN-4
260027,RESEARCH MEDICAL CENTER,KANSAS CITY,MO,64132,JACKSON,8162764000,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,284 patients,MO_SCIP-VTE-1
