column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60
14,0,76,46,4,1,1,2,19,1,0,3,4,0,2,1,1,2,3,0,2,0,1,2,3,0,4,1,0,2,0,2,2,1,0,0,1,4,2,1,3,0,2,3,1,1,0,0,4,0,0,4,1,3,2,4,4,3,3,3
76,1,76,46,16,4,3,2,19,1,3,3,1,0,2,1,0,4,4,1,0,0,2,4,4,2,2,1,4,3,1,2,2,2,2,1,4,4,2,0,1,4,3,3,0,0,4,4,3,4,1,2,4,0,2,3,4,2,0,1
38,2,72,59,11,4,0,0,12,1,2,0,0,2,4,4,3,3,2,1,1,3,1,3,3,0,0,4,1,2,0,2,2,4,0,4,4,4,2,1,4,3,0,1,4,4,2,1,3,0,4,0,0,1,2,0,3,4,2,3
16,0,35,6,14,0,2,3,12,3,3,3,3,5,2,1,1,1,0,0,1,3,4,4,0,1,2,4,0,1,1,0,1,0,0,0,2,1,1,1,1,0,3,1,3,0,1,4,4,0,3,4,1,0,4,0,2,4,1,4
30,0,41,60,1,1,0,1,5,4,4,2,4,2,1,2,1,0,2,1,1,2,3,4,2,3,1,2,0,2,0,3,1,4,4,4,3,3,0,0,0,0,1,1,3,0,3,2,0,0,3,1,0,0,1,1,0,1,3,3
59,1,86,48,2,2,0,1,0,6,3,0,4,1,0,3,2,3,4,1,1,4,1,1,0,1,3,4,1,3,0,1,1,0,1,0,1,0,4,1,0,3,0,1,3,0,2,2,2,1,0,4,2,3,1,3,1,3,2,3
31,1,84,42,2,1,3,3,6,2,2,2,1,4,4,4,4,0,0,4,4,0,2,4,2,0,0,1,0,0,4,0,2,1,2,4,4,1,1,1,1,0,2,4,2,1,3,2,2,1,1,2,0,0,3,1,0,1,2,4
6,3,59,0,4,4,2,2,8,9,0,1,3,2,4,4,1,2,3,4,4,2,0,1,4,2,0,4,1,2,0,0,4,2,3,0,4,0,0,0,3,0,3,2,1,4,2,2,0,2,4,2,1,1,1,3,4,2,2,1
16,4,56,90,3,1,3,3,14,1,1,3,3,0,1,2,0,0,2,1,1,1,1,0,4,3,0,4,1,4,0,4,2,0,0,2,1,4,0,1,0,1,1,3,1,0,1,0,0,0,0,1,3,3,2,0,4,1,4,3
84,3,53,23,11,2,2,2,20,8,3,0,2,3,2,1,1,1,0,3,0,0,4,3,2,3,2,4,1,1,0,2,3,2,3,0,0,2,1,2,2,1,1,3,0,4,2,1,3,2,4,2,2,3,0,4,2,4,1,2
68,0,86,48,6,4,1,1,21,7,1,3,1,4,2,0,1,0,2,4,4,2,2,0,0,1,2,0,1,0,0,4,0,1,0,1,0,0,0,2,4,1,4,3,1,4,3,0,2,2,0,0,4,4,3,0,0,3,0,4
79,3,24,50,3,2,0,3,13,7,0,0,4,5,2,1,3,0,4,3,0,1,2,0,1,4,1,4,1,1,1,3,0,0,4,0,0,1,1,0,1,4,4,4,0,4,0,0,4,2,0,1,1,3,1,3,0,2,3,2
18,2,70,74,1,1,0,0,19,3,4,0,2,2,0,3,3,0,4,1,0,4,0,1,1,1,1,4,1,0,1,2,0,4,4,4,0,0,1,2,0,4,1,0,1,1,2,2,1,3,1,2,3,3,2,3,2,4,3,4
44,4,78,67,6,4,1,2,13,5,4,0,1,4,0,3,2,0,1,3,0,4,3,4,3,0,1,1,2,0,3,1,2,1,4,1,0,4,4,4,1,0,0,4,4,2,0,4,3,0,0,1,2,4,2,4,4,1,4,2
59,1,46,35,3,0,1,0,23,4,2,3,1,5,2,1,2,4,3,3,0,4,4,3,4,2,3,4,1,3,0,0,3,4,1,0,1,3,2,3,0,2,4,4,0,4,1,1,0,1,1,4,2,3,4,2,4,2,1,2
59,1,25,58,8,1,1,3,11,0,3,2,3,1,1,2,4,2,2,1,1,3,4,4,0,3,2,0,0,0,0,3,2,1,0,2,1,2,1,2,4,1,1,4,3,1,3,1,4,1,1,1,1,1,1,4,3,2,2,1
62,1,91,22,16,2,3,1,2,5,0,2,1,3,0,3,0,0,2,0,2,1,0,2,2,3,1,4,1,2,0,4,1,0,2,1,3,0,2,0,0,0,1,3,0,4,2,1,0,0,1,4,0,1,4,3,1,0,2,1
74,4,82,3,0,1,1,1,21,4,0,3,1,1,4,4,3,0,4,3,1,3,3,1,3,0,0,4,1,4,0,3,1,1,0,1,0,3,1,1,1,0,0,0,3,4,3,1,4,4,0,1,1,0,1,1,4,2,4,3
63,4,7,75,6,4,1,3,4,0,0,0,0,5,2,1,3,0,4,2,3,0,1,2,4,2,4,2,1,3,1,1,4,0,1,0,0,0,4,2,0,2,0,0,3,0,2,1,1,4,4,2,1,2,2,4,3,4,1,3
70,2,32,47,1,2,1,1,14,2,1,2,1,4,3,0,2,3,4,1,1,2,1,3,2,3,1,1,2,3,1,1,0,4,0,1,2,1,3,0,1,1,3,1,3,0,0,1,1,0,1,0,3,4,3,2,0,2,2,3
97,4,25,58,6,4,1,2,19,1,3,3,1,0,2,1,1,3,4,1,1,2,2,0,2,1,3,4,0,2,2,0,1,1,1,0,1,4,2,0,1,0,2,3,3,0,3,0,0,4,0,4,1,2,3,4,4,1,0,3
98,3,30,38,2,1,3,1,23,3,3,3,0,2,1,2,1,3,4,1,1,0,0,1,2,3,2,4,0,1,0,0,1,0,3,1,0,1,1,2,0,0,3,4,0,1,3,0,4,2,4,1,0,2,0,3,2,2,4,1
22,0,29,68,9,1,2,2,23,6,2,1,3,5,4,4,1,3,4,2,3,0,2,4,1,4,1,0,4,3,1,2,3,0,0,4,0,0,4,0,0,0,1,0,3,0,1,4,0,0,3,0,1,1,0,3,3,4,1,3
26,3,53,23,18,1,1,3,20,6,0,1,3,2,0,3,3,0,4,4,4,1,2,3,2,3,3,0,2,0,0,2,3,0,2,3,3,0,4,0,0,0,1,2,2,0,0,3,0,2,0,1,1,3,0,2,0,2,2,1
71,3,73,34,2,1,3,3,13,2,0,2,2,3,0,3,1,0,0,1,1,4,0,3,2,3,4,3,3,1,0,0,4,0,0,1,3,3,3,1,1,0,0,1,3,0,1,1,1,0,4,2,0,1,3,0,4,4,2,3
44,0,63,62,17,1,0,1,10,9,3,2,0,4,2,1,2,0,0,1,1,4,1,0,2,3,0,1,0,0,3,0,2,0,0,0,1,0,2,2,2,0,0,1,3,1,3,0,0,2,0,0,4,0,2,2,4,1,1,4
32,0,19,44,6,2,0,1,23,3,0,3,1,1,4,4,1,2,3,2,3,4,0,1,3,0,0,1,0,2,4,4,4,4,4,0,4,1,2,3,0,0,0,3,0,1,3,0,2,0,3,2,2,3,2,3,3,2,0,3
72,4,79,37,14,4,1,3,5,8,0,2,0,0,2,1,0,4,4,1,1,4,0,1,0,1,0,0,4,4,2,0,4,1,1,0,1,2,1,1,1,2,0,1,3,0,1,0,2,0,4,3,4,4,4,3,2,2,2,3
79,3,51,2,13,1,3,1,12,3,2,1,0,4,0,3,2,3,4,2,3,1,2,3,1,1,1,0,4,3,3,2,2,0,2,3,2,0,2,0,1,3,0,1,3,3,4,0,1,2,4,1,0,3,4,3,4,3,2,3
65,2,53,23,8,4,3,1,12,3,4,0,4,2,0,3,2,4,3,1,1,0,1,2,4,2,1,4,1,0,1,2,2,0,2,3,3,1,2,3,3,4,4,3,3,4,2,0,4,0,2,3,1,1,3,4,0,2,1,3
18,2,87,69,12,1,1,1,21,7,0,3,1,1,0,3,1,3,4,1,1,3,1,3,4,2,0,4,0,4,4,4,2,4,0,3,0,1,0,0,1,0,4,1,3,0,0,1,1,0,3,4,0,4,0,4,4,4,2,3
19,0,64,99,1,4,1,2,6,8,3,0,1,4,0,3,2,0,0,4,4,2,4,2,4,2,0,4,1,0,0,1,2,4,1,3,2,0,3,3,2,2,4,2,2,0,3,3,0,1,3,4,2,3,0,3,4,1,1,4
85,0,57,0,3,1,3,2,7,6,0,0,4,0,2,1,1,2,3,2,3,2,0,1,2,3,1,4,1,0,2,2,0,0,1,1,3,2,4,3,3,2,1,0,0,4,2,1,0,0,0,2,1,3,1,0,3,2,4,1
67,1,79,37,15,4,2,1,20,0,1,1,1,0,3,0,4,0,0,2,3,2,2,0,2,3,1,4,1,2,0,0,1,0,0,1,2,0,1,2,1,1,3,1,0,0,2,0,0,2,1,4,0,4,0,3,1,2,1,1
51,2,42,51,0,4,2,2,9,3,0,0,4,0,4,4,0,2,1,2,3,0,4,3,3,0,2,1,4,2,0,1,0,0,3,0,0,0,2,4,1,1,0,0,0,0,4,1,1,3,2,4,2,3,3,3,4,0,2,3
68,0,38,16,7,4,0,3,15,2,4,0,4,2,1,2,0,2,1,1,1,3,4,4,3,3,1,4,1,0,1,4,2,4,4,2,1,2,3,4,3,1,3,3,0,1,2,4,0,3,3,0,0,0,2,4,1,1,2,3
45,3,42,51,16,1,2,2,15,4,1,1,4,5,0,3,3,0,4,2,3,3,2,1,0,1,4,4,4,1,1,1,0,4,3,2,3,2,2,2,4,3,0,0,0,0,4,2,1,2,0,4,1,0,1,2,0,2,3,4
59,1,7,0,13,2,0,2,21,9,3,0,3,0,4,4,0,0,2,4,4,0,2,4,3,0,3,2,4,0,2,2,0,0,4,1,4,3,4,0,0,0,2,2,1,0,0,2,4,1,1,2,1,3,3,1,3,3,2,2
47,2,10,71,19,4,2,2,15,4,4,0,1,4,0,3,1,0,2,1,1,3,2,0,1,4,3,4,1,0,0,0,3,2,2,3,3,2,0,0,0,4,0,3,0,0,2,1,2,3,3,4,2,1,0,1,4,0,1,3
89,1,47,96,8,3,3,1,3,4,3,0,1,4,2,1,1,0,0,4,3,3,4,4,2,3,0,4,1,3,2,0,1,2,2,0,1,2,2,2,2,1,1,0,0,4,2,2,3,0,1,3,0,2,0,0,3,4,3,3
43,2,62,56,9,3,3,3,12,3,3,0,1,4,0,3,2,3,4,1,1,0,1,2,3,0,2,0,0,0,4,0,1,4,2,3,0,1,1,0,0,3,2,1,0,0,3,1,0,3,1,2,3,0,2,0,2,4,4,1
38,2,14,93,7,2,1,3,11,0,0,0,1,3,4,4,1,2,3,3,0,4,1,0,2,3,1,3,3,1,0,1,4,1,0,4,0,2,4,3,3,1,1,4,1,2,4,0,0,3,2,3,1,3,1,0,2,1,3,3
63,4,20,31,17,1,0,2,18,2,1,1,2,1,4,4,1,3,4,2,3,2,2,0,2,3,2,1,4,4,4,1,2,4,0,1,4,1,3,0,1,0,3,0,0,0,4,0,1,4,4,0,0,4,2,3,2,2,3,4
59,1,94,25,4,0,3,3,20,6,3,1,1,5,1,2,0,4,4,4,0,4,0,1,0,1,2,2,3,1,1,0,0,0,4,4,1,0,4,1,1,3,3,4,1,0,0,0,2,4,2,4,1,4,2,0,2,2,4,4
51,1,17,73,11,2,2,3,1,3,1,0,1,2,2,1,3,2,1,2,1,0,4,0,4,2,1,1,2,2,1,0,0,2,3,1,1,0,4,3,0,0,4,0,0,0,0,0,0,1,1,4,1,0,4,0,4,1,2,3
45,3,82,3,4,1,0,1,21,7,4,3,1,0,2,0,4,3,4,3,0,3,4,4,0,1,0,4,1,0,2,0,2,1,4,2,0,1,0,1,1,3,0,4,4,4,0,4,0,3,0,4,1,4,1,4,0,0,4,4
76,1,48,85,4,1,0,0,14,4,3,2,2,4,2,1,1,4,2,2,3,3,4,4,2,3,3,2,4,3,0,3,3,0,4,0,1,3,0,0,0,1,1,1,0,3,1,4,3,1,1,0,2,0,1,2,0,4,4,1
99,2,82,3,17,4,2,2,5,5,0,2,0,5,0,3,3,0,4,0,2,2,2,0,2,3,0,0,4,1,1,3,1,2,0,3,1,2,3,1,0,1,3,2,0,3,0,1,2,3,3,0,4,3,0,3,1,4,1,1
65,2,31,19,10,1,2,3,23,3,1,2,3,2,0,0,3,0,4,1,1,4,4,3,0,1,2,4,1,0,0,3,3,0,3,1,2,0,0,1,0,0,0,1,0,0,2,3,1,0,3,3,0,4,2,4,0,1,2,0
99,0,26,2,0,3,2,0,24,2,3,0,1,4,4,4,2,3,4,1,1,1,1,0,3,0,2,4,0,0,0,1,2,0,3,0,0,0,3,0,0,0,0,3,0,0,3,0,2,0,3,0,0,4,0,4,0,2,4,3
27,0,12,98,4,1,0,0,4,5,4,0,2,2,3,0,3,0,4,4,4,4,0,0,4,2,1,3,3,2,1,1,1,0,4,0,0,4,2,0,1,2,4,2,1,0,0,3,0,2,0,1,0,4,2,1,4,2,2,4
61,3,35,6,8,4,3,0,17,2,1,3,2,1,0,3,4,1,3,1,1,0,3,1,3,0,4,3,3,4,1,4,2,0,2,0,3,3,0,3,3,0,0,2,0,1,1,0,3,1,4,4,2,0,2,0,4,2,2,4
95,2,14,93,10,1,2,3,14,1,0,0,4,0,2,1,4,0,0,1,1,4,1,0,3,0,3,1,0,1,2,0,0,2,0,1,2,2,2,1,1,0,0,3,0,1,3,0,1,3,2,2,1,0,2,1,0,1,3,3
62,1,32,47,4,2,2,2,23,6,0,0,4,0,4,4,4,0,0,1,1,1,3,4,1,4,0,4,1,4,2,3,1,0,0,0,4,0,0,1,1,0,1,3,4,4,3,2,0,1,4,3,1,2,0,2,1,0,4,1
18,4,23,12,12,4,2,1,6,7,3,1,2,2,2,1,2,0,0,1,1,1,4,1,3,0,0,2,3,0,0,2,2,2,3,1,1,1,0,3,0,0,2,1,0,0,4,2,2,4,1,4,2,2,4,0,3,2,2,2
99,1,93,41,18,2,3,1,21,7,3,1,1,5,1,2,0,4,0,4,4,3,2,2,2,3,4,1,0,3,1,1,0,2,0,0,1,1,1,0,2,0,1,2,1,0,3,1,4,4,0,0,1,4,2,2,4,1,2,3
29,2,32,47,9,4,1,2,2,2,3,0,1,4,2,4,1,2,3,3,0,1,1,0,0,1,1,1,2,0,3,1,1,4,0,4,1,0,3,3,3,0,0,4,4,0,1,3,2,3,1,1,4,3,1,3,1,2,2,2
93,1,72,59,0,1,1,2,7,6,0,0,4,0,4,4,0,0,2,1,1,3,4,4,2,3,3,0,1,1,0,0,3,1,0,0,0,3,1,2,0,0,3,3,3,4,0,3,3,0,1,4,2,2,1,0,3,2,0,4
72,0,75,7,10,1,2,2,1,4,4,0,4,1,2,0,2,3,4,2,3,2,1,1,4,2,2,1,4,4,0,3,0,2,0,1,2,3,0,2,0,0,4,1,0,0,4,2,0,0,3,1,1,3,2,0,2,2,3,3
68,2,98,24,10,3,2,3,13,7,0,3,1,5,3,0,0,3,0,3,0,0,2,4,1,4,4,4,4,1,1,0,3,2,0,2,0,0,2,0,2,0,0,4,3,3,0,1,3,3,1,0,1,1,2,0,2,4,0,3
59,1,79,37,19,1,2,3,0,4,1,1,1,0,1,2,3,1,0,2,3,4,3,4,2,1,4,4,4,4,1,2,4,0,3,2,0,3,0,2,3,3,2,0,0,1,0,4,0,1,1,3,0,2,4,4,0,0,2,1
40,1,38,0,0,1,1,2,5,5,2,0,4,0,0,3,1,3,4,1,1,1,2,3,1,4,2,1,4,0,2,3,4,1,3,0,3,4,2,4,0,4,1,1,3,0,0,1,1,0,1,4,1,1,3,0,0,2,1,1
2,1,9,28,19,1,2,3,12,3,4,0,1,4,2,1,4,4,1,4,4,2,4,2,2,3,4,0,2,3,0,3,3,2,3,1,0,0,2,4,0,1,0,1,0,0,1,3,4,2,1,4,1,3,1,0,4,1,1,2
12,2,92,0,5,0,1,1,0,6,3,3,3,5,2,1,0,3,0,3,0,0,1,2,2,3,1,4,1,1,2,1,0,1,1,1,2,3,4,2,2,1,0,2,3,4,0,3,1,1,3,4,0,3,0,1,1,0,0,3
24,3,14,93,19,1,2,2,13,5,3,0,1,4,1,2,0,0,2,2,2,4,2,2,4,2,2,4,1,0,0,1,0,0,3,2,1,3,4,1,0,1,4,0,1,0,2,1,0,2,1,3,4,0,1,0,1,0,2,3
98,3,73,34,5,0,1,2,4,7,3,0,0,5,1,2,2,0,0,1,1,4,1,0,2,3,1,0,4,1,4,4,4,1,0,2,1,1,1,0,2,1,3,3,3,1,4,0,0,2,0,0,0,2,1,0,3,1,4,3
74,4,64,99,4,4,2,2,0,1,0,3,1,1,2,1,3,3,2,2,3,3,2,2,4,3,2,4,0,1,0,1,0,2,0,0,1,4,4,0,0,0,0,0,1,1,3,2,4,4,0,4,0,3,4,2,1,2,4,2
87,1,50,9,11,1,1,2,21,9,4,3,3,3,2,1,2,0,1,1,1,3,3,1,0,1,3,1,0,1,0,4,1,2,1,1,0,0,0,0,2,3,0,1,3,0,0,2,0,1,0,1,0,2,4,4,0,1,2,4
25,4,27,65,14,1,3,2,9,3,4,2,4,2,0,3,3,2,1,2,3,0,4,3,3,0,3,2,4,2,0,4,1,0,2,3,3,1,2,4,0,0,0,1,1,0,4,2,1,4,0,2,2,3,0,0,2,0,0,1
58,2,15,10,18,1,1,3,24,0,3,0,2,3,2,1,1,0,2,1,0,1,4,1,2,3,3,4,1,1,1,0,3,0,0,0,1,1,4,1,4,1,3,3,0,1,2,1,2,2,0,4,3,3,4,2,0,4,1,4
64,0,99,72,2,2,3,3,18,1,3,0,4,1,0,0,0,0,2,4,2,3,2,2,0,1,0,2,3,0,4,0,1,4,0,0,3,4,4,0,0,1,0,4,2,0,0,0,4,0,0,4,1,2,0,2,0,2,2,3
86,3,32,47,3,0,2,1,20,0,0,2,4,1,2,1,2,0,0,2,3,2,1,3,2,3,1,4,1,4,4,0,1,0,0,0,2,0,1,2,2,1,0,1,0,0,2,1,1,3,4,4,1,1,2,1,3,3,2,4
96,0,25,58,2,0,2,1,14,2,2,3,1,5,0,3,3,2,1,4,4,2,1,3,0,1,0,1,0,3,4,0,1,0,2,0,2,3,1,4,0,0,1,2,1,0,0,1,0,3,0,1,0,0,0,0,4,1,0,0
48,0,63,62,12,2,2,0,9,1,1,3,2,1,0,3,1,3,4,1,1,2,3,4,2,3,1,4,1,4,4,1,2,2,3,3,3,2,4,0,0,0,3,3,3,4,2,2,2,0,3,1,0,3,1,3,0,1,4,3
91,4,78,67,8,2,3,2,4,7,3,0,1,4,2,1,1,4,1,2,3,4,4,3,1,1,4,3,3,0,0,0,0,4,3,0,1,1,1,4,0,3,0,1,0,0,0,0,0,4,1,4,2,3,2,0,3,1,3,4
96,0,32,47,19,2,1,2,9,2,0,0,4,0,3,0,3,0,4,1,1,3,1,3,3,0,3,1,0,1,1,4,0,1,1,1,4,3,0,0,0,4,0,3,3,1,3,2,1,0,0,3,2,4,0,1,4,4,2,4
9,0,60,43,0,1,1,0,6,8,3,0,4,1,3,2,4,0,0,2,3,4,2,2,4,2,4,1,0,4,4,3,0,2,4,4,4,2,1,2,2,1,0,0,0,1,3,1,3,1,0,2,4,1,2,3,4,1,0,1
28,1,98,24,15,0,3,3,21,9,3,0,1,4,0,3,1,0,2,2,3,2,3,4,3,0,1,3,3,0,4,0,3,2,2,3,3,1,4,0,4,4,0,0,1,1,4,4,4,1,1,2,0,0,3,4,1,0,4,1
82,2,77,36,18,1,2,2,21,9,3,1,1,5,3,0,4,0,0,1,1,1,1,0,0,1,3,4,1,3,1,0,2,0,0,1,2,1,1,2,0,3,0,0,3,4,3,0,2,0,2,3,1,3,1,2,4,4,0,3
37,1,74,15,6,1,1,3,6,2,3,3,1,0,4,4,4,2,2,1,1,0,0,1,1,4,2,1,4,3,2,0,2,4,0,4,4,1,3,0,1,4,1,0,0,0,4,2,2,4,1,1,2,3,1,1,2,2,0,2
22,4,44,54,15,2,3,2,5,5,4,2,0,0,2,1,0,2,1,2,3,3,4,4,0,1,0,2,3,0,1,1,0,4,2,2,0,4,0,1,1,0,0,1,0,0,3,4,3,1,1,0,4,1,1,0,3,1,1,3
15,3,25,58,19,0,0,3,6,2,0,0,1,1,3,0,0,2,1,2,3,3,2,2,0,1,2,4,0,4,0,1,2,0,0,0,2,1,1,1,1,0,1,1,1,2,3,0,0,2,0,1,4,4,3,0,0,1,4,3
93,0,11,80,14,1,3,3,10,5,0,1,1,4,0,3,0,2,1,1,1,3,0,1,2,3,1,1,0,3,3,2,4,0,3,0,0,4,0,4,0,0,0,3,0,1,0,4,2,3,3,4,0,1,2,0,2,1,0,3
47,2,0,20,18,4,1,3,9,9,0,1,4,1,2,1,2,0,0,1,1,3,0,0,3,0,1,4,1,4,0,3,1,0,2,0,0,0,0,2,2,4,2,1,0,1,2,4,0,0,2,1,2,3,3,1,0,1,1,3
31,0,54,40,16,2,3,1,11,8,3,0,3,0,4,4,2,0,0,2,3,0,3,0,1,4,1,1,2,3,2,0,4,2,3,1,4,2,3,2,1,0,1,4,0,0,0,1,2,3,3,2,1,3,2,0,3,1,2,1
6,1,60,1,5,2,0,2,9,3,1,3,1,4,0,3,0,0,2,3,0,4,2,2,3,0,2,0,1,3,0,1,2,4,4,3,3,1,2,0,0,0,2,0,0,1,2,3,1,0,0,4,0,2,4,2,4,1,3,3
33,0,1,91,18,2,3,2,5,1,2,0,1,0,1,2,3,3,2,1,1,4,0,1,2,0,0,4,1,1,2,1,1,0,3,4,3,4,2,0,0,0,0,1,3,4,0,2,2,0,0,0,1,0,2,0,3,2,2,3
92,1,70,74,2,2,0,2,17,9,3,3,1,0,0,0,0,0,2,0,4,4,2,1,3,0,1,1,0,1,2,4,0,4,0,4,2,0,0,4,0,4,0,2,1,2,3,0,2,0,0,0,3,3,4,0,0,2,4,4
32,4,17,73,12,0,1,1,18,8,2,2,1,4,3,0,1,3,4,0,4,3,4,4,3,0,1,3,0,0,0,1,0,2,1,1,0,0,3,2,0,4,2,2,2,0,3,4,3,0,1,4,2,2,2,0,4,2,4,1
41,3,78,0,8,1,1,1,9,0,0,1,1,4,2,1,1,4,1,1,1,3,1,3,1,4,2,4,0,3,0,2,4,1,1,1,1,4,3,4,1,0,1,3,0,0,1,1,1,3,0,0,0,1,2,0,4,4,4,1
85,0,56,90,2,4,3,1,14,2,3,2,1,3,2,1,3,0,4,2,3,1,3,2,1,4,3,1,0,0,0,0,0,2,2,0,1,1,0,0,0,4,1,1,3,0,3,3,4,0,3,2,0,2,4,4,2,1,1,4
72,0,60,43,2,0,2,2,21,9,0,1,1,4,0,3,1,2,3,1,1,3,0,0,2,3,1,1,2,0,3,3,3,0,3,4,3,3,1,3,0,1,1,1,3,2,1,0,0,2,3,3,0,2,4,3,0,0,4,4
10,0,92,33,8,4,3,0,8,2,3,0,4,1,2,1,0,2,1,1,1,2,1,3,4,2,2,0,2,2,0,1,2,2,2,1,1,3,3,4,1,2,4,1,3,0,1,1,1,2,3,0,4,0,2,1,1,2,3,3
22,2,99,72,18,3,2,2,17,9,3,3,1,0,0,3,0,0,2,3,1,2,4,2,2,3,3,2,4,0,2,3,1,2,3,3,3,1,0,1,4,0,1,1,4,0,0,3,4,0,3,2,4,4,2,1,1,3,4,1
43,2,45,1,7,1,2,3,17,5,4,2,1,0,3,0,0,4,4,1,1,0,0,1,4,2,1,1,2,0,2,1,0,0,0,1,2,4,0,2,0,0,4,1,0,0,1,2,2,2,4,4,0,0,3,4,1,4,1,2
85,0,24,50,1,4,1,2,10,0,0,0,4,1,0,3,4,0,0,2,3,4,4,3,2,3,0,4,1,1,4,3,0,4,1,0,0,2,3,1,1,1,1,0,1,4,3,1,4,0,0,0,3,2,2,3,0,1,4,3
72,0,54,40,17,2,2,1,23,3,3,0,1,4,4,4,0,4,4,1,1,1,2,3,2,3,2,1,1,3,3,0,0,2,0,4,4,1,2,1,0,0,3,1,3,4,3,0,1,2,3,0,1,3,1,0,4,4,4,1
51,2,19,44,5,2,0,2,1,1,0,1,4,1,4,4,0,4,4,1,1,1,0,2,0,1,1,1,2,4,4,4,0,4,4,1,0,2,4,0,4,3,0,1,0,2,1,1,0,0,1,3,1,0,0,3,3,2,4,4
75,0,20,0,13,1,3,3,23,3,3,0,0,5,2,1,1,3,4,2,3,4,4,3,3,1,1,4,1,3,1,1,0,0,2,1,1,0,2,0,1,2,4,1,1,4,2,1,1,0,3,4,1,1,1,3,2,4,4,3
45,3,69,61,8,3,2,1,21,7,1,3,1,4,2,1,3,1,3,2,3,1,0,2,3,0,2,3,2,3,1,0,0,2,3,0,1,2,0,1,3,4,0,0,0,0,0,3,4,1,3,4,1,1,3,2,0,4,0,3
32,4,3,76,9,3,3,1,21,7,0,1,3,2,2,0,4,0,0,2,3,4,1,0,2,3,2,1,4,0,1,0,1,0,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,4,0,4,0,3,2,1,0,0,4,1
58,2,74,15,17,4,2,0,11,5,2,3,1,0,0,0,1,0,2,1,1,3,0,0,0,1,0,0,4,3,2,0,2,0,0,1,2,4,3,1,4,3,3,1,3,3,0,0,3,3,2,0,0,3,0,0,4,0,4,4
28,1,47,96,18,2,3,1,11,8,0,2,4,2,2,1,0,3,0,4,4,3,1,0,4,2,1,0,0,0,0,0,1,0,2,0,1,2,1,2,2,0,3,3,2,0,0,1,0,3,0,2,1,4,2,2,0,1,1,1
