ProviderNumber,HospitalName,City,State,ZIPCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Sample,StateAvg
390056,J C BLAIR MEMORIAL HOSPITAL,HUNTINGDON,PA,16652,HUNTINGDON,8146432290,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,81 patients,PA_HF-2
230080,CENTRAL MICHIGAN COMMUNITY HOSPITAL,MOUNT PLEASANT,MI,48858,ISABELLA,9897726700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,24 patients,MI_SCIP-CARD-2
210015,FRANKLIN SQUARE HOSPITAL CENTER,BALTIMORE,MD,21237,BALTIMORE,4437777000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,389 patients,MD_SCIP-VTE-1
511317,PLATEAU MEDICAL CENTER,OAK HILL,WV,25901,FAYETTE,3044698600,Critical Access Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,16 patients,WV_AMI-5
330023,VASSAR BROTHERS MEDICAL CENTER,POUGHKEEPSIE,NY,12601,DUTCHESS,8454548500,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ?C not a razor),663 patients,NY_SCIP-INF-6
50526,HUNTINGTON BEACH HOSPITAL,HUNTINGTON BEACH,CA,92647,ORANGE,7148435000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,101 patients,CA_HF-2
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFOR,FRESNO,CA,93703,FRESNO,5592285338,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,CA_SCIP-INF-4
370148,EDMOND MEDICAL CENTER,EDMOND,OK,73034,OKLAHOMA,4053416100,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,179 patients,OK_SCIP-VTE-1
380027,MERCY MEDICAL CENTER,ROSEBURG,OR,97471,DOUGLAS,5416730611,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,59 patients,OR_SCIP-CARD-2
230020,OAKWOOD HOSPITAL AND MEDICAL CENTER,DEARBORN,MI,48124,WAYNE,3135937125,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,1450 patients,MI_SCIP-INF-2
390035,ST LUKE'S QUAKERTOWN HOSPITAL,QUAKERTOWN,PA,18951,BUCKS,2155384500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,6 patients,PA_AMI-2
250051,KILMICHAEL HOSPITAL,KILMICHAEL,MS,39747,MONTGOMERY,6622624311,Acute Care Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,0 patients,MS_PN-3B
171341,HIAWATHA COMMUNITY HOSPITAL,HIAWATHA,KS,66434,BROWN,7857422131,Critical Access Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0 patients,KS_AMI-3
161343,REGIONAL MEDICAL CENTER,MANCHESTER,IA,52057,DELAWARE,5639273232,Critical Access Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,IA_SCIP-VTE-1
110064,MEDICAL CENTER; THE,COLUMBUS,GA,31901,MUSCOGEE,7065711000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ?C not a razor),434 patients,GA_SCIP-INF-6
250123,GARDEN PARK MEDICAL CENTER,GULFPORT,MS,39501,HARRISON,6018644210,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,3 patients,MS_AMI-2
161374,MYRTUE MEDICAL CENTER,HARLAN,IA,51537,SHELBY,7127555161,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),9 patients,IA_HF-3
140172,ST JAMES HOSP & HLTH CTR-OLYMPIA FLDS,OLYMPIA FIELDS,IL,60461,COOK,7087474000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,264 patients,IL_AMI-1
400003,HOSPITAL DR PILA,PONCE,PR,733,PONCE,7878485600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,60 patients,PR_SCIP-INF-1
241363,STEVENS COMMUNITY MEDICAL CENTER,MORRIS,MN,56267,STEVENS,3205891313,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,MN_AMI-3
510002,GREENBRIER VALLEY MEDICAL CENTER,RONCEVERTE,WV,24970,GREENBRIER,3046474411,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,30 patients,WV_SCIP-CARD-2
100081,HEALTHMARK REGIONAL MEDICAL CENTER,DEFUNIAK SPRINGS,FL,32435,WALTON,8509514500,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,,FL_SCIP-CARD-2
241338,LAKE CITY MEDICAL CENTER MAYO HEALTH SYSTEM,LAKE CITY,MN,55041,WABASHA,6513451114,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),13 patients,MN_SCIP-INF-3
450804,TEXAS ORTHOPEDIC HOSPITAL,HOUSTON,TX,77030,HARRIS,7137998600,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,,TX_PN-5C
50219,COAST PLAZA HOSPITAL,NORWALK,CA,90650,LOS ANGELES,5628683751,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,77 patients,CA_HF-1
451373,WARD MEMORIAL HOSPITAL,MONAHANS,TX,79756,WARD,4329432511,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,TX_SCIP-INF-3
390222,RIDDLE MEMORIAL HOSPITAL,MEDIA,PA,19063,DELAWARE,6105669400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,93 patients,PA_SCIP-CARD-2
281364,BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER; INC,BEATRICE,NE,68310,GAGE,4022283344,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,0 patients,NE_HF-4
440053,MIDDLE TENNESSEE MEDICAL CENTER INC,MURFREESBORO,TN,37130,RUTHERFORD,6153964100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,TN_SCIP-INF-4
501330,SUNNYSIDE COMMUNITY HOSPITAL,SUNNYSIDE,WA,98944,YAKIMA,5098371500,Critical Access Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,WA_AMI-7A
420005,MCLEOD MEDICAL CENTER - DILLON,DILLON,SC,29536,DILLON,8437744111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,SC_AMI-7A
50082,ST JOHN'S REGIONAL MEDICAL CENTER,OXNARD,CA,93030,VENTURA,8059882500,Acute Care Hospitals,Voluntary non-profit - Church,No,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,252 patients,CA_SCIP-VTE-1
50488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,198 patients,CA_SCIP-VTE-2
390146,WARREN GENERAL HOSPITAL,WARREN,PA,16365,WARREN,8147233300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,107 patients,PA_PN-3B
450563,BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,GRAPEVINE,TX,76051,TARRANT,8174811588,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,TX_AMI-7A
390256,MILTON S HERSHEY MEDICAL CENTER,HERSHEY,PA,17033,DAUPHIN,7175318521,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,198 patients,PA_PN-3B
520087,GUNDERSEN LUTH MED CTR,LA CROSSE,WI,54601,LA CROSSE,6087827300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,313 patients,WI_SCIP-VTE-1
150102,STARKE MEMORIAL HOSPITAL,KNOX,IN,46534,STARKE,5747726231,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,5 patients,IN_AMI-5
440180,JELLICO COMMUNITY HOSPITAL,JELLICO,TN,37762,CAMPBELL,4237847252,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,70 patients,TN_HF-2
250040,SINGING RIVER HOSPITAL,PASCAGOULA,MS,39581,JACKSON,2288095000,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,277 patients,MS_AMI-5
450746,KNOX COUNTY HOSPITAL,KNOX CITY,TX,79529,KNOX,9406573535,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,TX_SCIP-INF-4
40010,MERCY MEDICAL CENTER,ROGERS,AR,72758,BENTON,4793388000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,216 patients,AR_HF-2
450032,GOOD SHEPHERD MEDICAL CENTER MARSHALL,MARSHALL,TX,75670,HARRISON,9039276712,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,20 patients,TX_AMI-5
441316,CAMDEN GENERAL HOSPITAL,CAMDEN,TN,38320,BENTON,7315846135,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,,TN_AMI-5
260137,FREEMAN HEALTH SYSTEM - FREEMAN WEST,JOPLIN,MO,64804,JASPER,4173471111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ?C not a razor),800 patients,MO_SCIP-INF-6
241346,CANNON FALLS MED CTR MAYO,CANNON FALLS,MN,55009,GOODHUE,5072634221,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),5 patients,MN_HF-3
171350,RUSSELL REGIONAL HOSPITAL,RUSSELL,KS,67665,RUSSELL,7854833131,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,11 patients,KS_PN-2
450079,BAYLOR MEDICAL CENTER AT IRVING,IRVING,TX,75061,DALLAS,9725798100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),582 patients,TX_SCIP-INF-3
370023,DUNCAN REGIONAL HOSPITAL; INC,DUNCAN,OK,73533,STEPHENS,5802525300,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,165 patients,OK_SCIP-VTE-2
450024,UNIVERSITY MEDICAL CENTER OF EL PASO,EL PASO,TX,79905,EL PASO,9155217602,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,8 patients,TX_AMI-7A
360080,EAST OHIO REGIONAL HOSPITAL,MARTINS FERRY,OH,43935,BELMONT,7406334151,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,108 patients,OH_PN-7
510013,REYNOLDS MEMORIAL HOSPITAL,GLEN DALE,WV,26038,MARSHALL,3048433230,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,79 patients,WV_PN-7
431320,LEAD - DEADWOOD REGIONAL HOSPITAL - CAH,DEADWOOD,SD,57732,LAWRENCE,6057226101,Critical Access Hospitals,Government - Local,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,,SD_PN-4
450808,NORTHWEST HILLS SURGICAL HOSPITAL,AUSTIN,TX,78731,TRAVIS,5123461994,Acute Care Hospitals,Proprietary,No,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,TX_AMI-7A
261329,COX MONETT HOSPITAL,MONETT,MO,65708,BARRY,4173541400,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,69 patients,MO_PN-5C
440137,HERITAGE MEDICAL CENTER,SHELBYVILLE,TN,37160,BEDFORD,9316855433,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,60 patients,TN_HF-1
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,WEST ISLIP,NY,11795,SUFFOLK,6313763000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,39 patients,NY_PN-4
50764,SHASTA REGIONAL MEDICAL CENTER,REDDING,CA,96001,SHASTA,5302445454,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,13 patients,CA_PN-3B
330306,LUTHERAN MEDICAL CENTER,BROOKLYN,NY,11220,KINGS,7186308000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,319 patients,NY_HF-1
50633,TWIN CITIES COMMUNITY HOSPITAL,TEMPLETON,CA,93465,SAN LUIS OBISPO,8054343500,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,116 patients,CA_PN-2
330221,WYCKOFF HEIGHTS MEDICAL CENTER,BROOKLYN,NY,11237,KINGS,7189637272,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,172 patients,NY_SCIP-INF-2
361329,WYANDOT MEMORIAL HOSPITAL,UPPER SANDUSKY,OH,43351,WYANDOT,4192944991,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,28 patients,OH_PN-5C
171364,OSBORNE COUNTY MEMORIAL HOSPITAL,OSBORNE,KS,67473,OSBORNE,7853462121,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,KS_AMI-8A
190014,TECHE REGIONAL MEDICAL CENTER,MORGAN CITY,LA,70381,SAINT MARY,5043842200,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,44 patients,LA_SCIP-INF-2
341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,LINVILLE,NC,28646,AVERY,8287377000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,,NC_AMI-5
450890,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,PLANO,TX,75093,COLLIN,4698142000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,1 patients,TX_AMI-4
250079,SHARKEY ISSAQUENA COMMUNITY HOSPITAL,ROLLING FORK,MS,39159,SHARKEY,6628734395,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,1 patients,MS_AMI-2
40020,ST BERNARDS MEDICAL CTR,JONESBORO,AR,72401,CRAIGHEAD,8709724100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,82 patients,AR_HF-4
50425,KAISER FOUNDATION HOSPITAL - SACRAMENTO/ROSEVILLE,SACRAMENTO,CA,95825,SACRAMENTO,9169735000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,225 patients,CA_PN-7
180128,THREE RIVERS MEDICAL CENTER,LOUISA,KY,41230,LAWRENCE,6066389451,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,67 patients,KY_SCIP-INF-2
40142,HEALTHPARK HOSPITAL,HOT SPRINGS,AR,71913,GARLAND,5015202000,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,171 patients,AR_SCIP-INF-2
320062,CROWNPOINT PHS INDIAN HOSPITAL,CROWNPOINT,NM,87313,MCKINLEY,5057865291,Acute Care Hospitals,Government - Federal,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,NM_AMI-8A
150022,ST CLARE MEDICAL CENTER,CRAWFORDSVILLE,IN,47933,MONTGOMERY,7653622800,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,3 patients,IN_AMI-2
450446,RIVERSIDE GENERAL HOSPITAL,HOUSTON,TX,77004,HARRIS,7135262441,Acute Care Hospitals,Voluntary non-profit - Private,No,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),0 patients,TX_PN-6
110035,WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,30060,COBB,7707935000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,456 patients,GA_SCIP-VTE-2
161339,WAVERLY HEALTH CENTER,WAVERLY,IA,50677,BREMER,3193524120,Critical Access Hospitals,Government - Local,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,47 patients,IA_PN-3B
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Children&#8217;s Asthma Care,CAC-1,Children Who Received Reliever Medication While Hospitalized for Asthma,13 patients,CA_CAC-1
181314,CAVERNA MEMORIAL HOSPITAL,HORSE CAVE,KY,42749,HART,2707862191,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,KY_SCIP-VTE-2
31311,LITTLE COLORADO MEDICAL CENTER,WINSLOW,AZ,86047,NAVAJO,9282894691,Critical Access Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,AZ_SCIP-VTE-1
360351,CRYSTAL CLINIC ORTHOPAEDIC CENTER,AKRON,OH,44310,SUMMIT,3306684040,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,,OH_HF-1
140164,MEMORIAL HOSPITAL OF CARBONDALE,CARBONDALE,IL,62902,JACKSON,6185490721,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),70 patients,IL_PN-6
421304,EDGEFIELD COUNTY HOSPITAL,EDGEFIELD,SC,29824,EDGEFIELD,8036371150,Critical Access Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ?C not a razor),,SC_SCIP-INF-6
161375,BUENA VISTA REGIONAL MEDICAL CENTER,STORM LAKE,IA,50588,BUENA VISTA,7127324030,Critical Access Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,26 patients,IA_SCIP-VTE-1
40003F,SAN JUAN VA MEDICAL CENTER,SAN JUAN,PR,921,SAN JUAN,8004498729,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),244 patients,PR_SCIP-INF-3
340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,PINEHURST,NC,28374,MOORE,9107151000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,640 patients,NC_AMI-2
